Date,BRAZIL IMI MINIMUM VOLATILITY (BRL)
2002-05-31,1000.0
2002-06-03,992.3116710209644
2002-06-04,982.3277605695195
2002-06-05,966.6339576371554
2002-06-06,924.7604254224498
2002-06-07,908.5791529538134
2002-06-10,944.582995217984
2002-06-11,928.6215490303506
2002-06-12,890.3035610923554
2002-06-13,893.1162908901429
2002-06-14,863.2209334847806
2002-06-17,888.9269182716073
2002-06-18,885.5568441227806
2002-06-19,852.517981684178
2002-06-20,793.2833206776913
2002-06-21,754.6086122433182
2002-06-24,749.5148498017783
2002-06-25,787.7157423422012
2002-06-26,762.0515476948524
2002-06-27,782.2477298858043
2002-06-28,791.6625220876604
2002-07-01,786.7712035560896
2002-07-02,770.6980084116352
2002-07-03,776.0628237432377
2002-07-04,788.0321519392924
2002-07-05,777.867951156893
2002-07-08,769.9008602662307
2002-07-09,768.8089378432142
2002-07-10,764.0104045877476
2002-07-11,768.3827283962802
2002-07-12,787.0214786464098
2002-07-15,753.0398649424056
2002-07-16,748.7508965856595
2002-07-17,757.8062467450357
2002-07-18,759.2830230204089
2002-07-19,751.4267924268839
2002-07-22,719.7962509945913
2002-07-23,707.7336840656506
2002-07-24,707.743234199764
2002-07-25,668.1065883801006
2002-07-26,647.9998793664082
2002-07-29,642.7637660311758
2002-07-30,605.1569695346159
2002-07-31,582.0829624260244
2002-08-01,613.101736343444
2002-08-02,695.1021188818484
2002-08-05,668.0348575514146
2002-08-06,660.118538317988
2002-08-07,693.9087933718861
2002-08-08,763.1137658785528
2002-08-09,726.8039443722189
2002-08-12,688.0269303469752
2002-08-13,651.5284971877483
2002-08-14,639.0538382092479
2002-08-15,633.2008333782661
2002-08-16,650.3283715371194
2002-08-19,662.882316697271
2002-08-20,662.2065618434203
2002-08-21,665.7934798881683
2002-08-22,671.661546748901
2002-08-23,675.1260531038226
2002-08-26,704.5417627721478
2002-08-27,715.109646880764
2002-08-28,694.5940281197446
2002-08-29,686.7655493880771
2002-08-30,708.7024912149627
2002-09-02,705.9643686301466
2002-09-03,682.157611293172
2002-09-04,674.7776622529854
2002-09-05,666.3332198217563
2002-09-06,665.5843048287456
2002-09-09,683.0852329074428
2002-09-10,697.930999417641
2002-09-11,713.1211656501808
2002-09-12,700.5085000519156
2002-09-13,696.2133914467745
2002-09-16,678.548207245001
2002-09-17,663.941698086334
2002-09-18,631.1389072129001
2002-09-19,616.0783788951367
2002-09-20,608.6675931697413
2002-09-23,586.6002473974875
2002-09-24,581.3310122508448
2002-09-25,554.3331088182522
2002-09-26,558.874251649152
2002-09-27,532.0455378031912
2002-09-30,513.775246907177
2002-10-01,549.1069241101353
2002-10-02,571.8874365703506
2002-10-03,566.9705646282033
2002-10-04,575.3360896662781
2002-10-07,563.2037365352827
2002-10-08,558.6659320019576
2002-10-09,526.5108726885454
2002-10-10,529.1187382822053
2002-10-11,521.592391839935
2002-10-14,516.7615507444904
2002-10-15,519.2710014311872
2002-10-16,517.4009314090733
2002-10-17,533.1252325539614
2002-10-18,545.9874113973617
2002-10-21,539.6114167433398
2002-10-22,546.6395261862349
2002-10-23,579.0274768695463
2002-10-24,588.3712064925472
2002-10-25,610.206573157067
2002-10-28,605.0679922980361
2002-10-29,589.1292426631591
2002-10-30,624.4546816440559
2002-10-31,645.438801857368
2002-11-01,644.3822288512282
2002-11-04,646.6391555515813
2002-11-05,623.9234683107625
2002-11-06,618.5223097508589
2002-11-07,614.2552714789804
2002-11-08,630.7273061331526
2002-11-11,641.7824679445798
2002-11-12,622.8101520219287
2002-11-13,607.8101057143834
2002-11-14,614.644301015372
2002-11-15,611.85760023624
2002-11-18,639.7554592833385
2002-11-19,627.5066989856714
2002-11-20,642.4245314366765
2002-11-21,658.7757569294284
2002-11-22,647.357289754141
2002-11-25,655.8528806068448
2002-11-26,639.9969789350702
2002-11-27,647.6647641589537
2002-11-28,641.5833881646992
2002-11-29,650.7460373742314
2002-12-02,662.2644984234205
2002-12-03,649.4668033752691
2002-12-04,637.7048811748172
2002-12-05,624.2598834173353
2002-12-06,629.0268957111169
2002-12-09,611.9386546142844
2002-12-10,619.0275004620137
2002-12-11,628.6890707257959
2002-12-12,631.2975785428456
2002-12-13,625.7896037370991
2002-12-16,646.6203717267324
2002-12-17,650.5152554659595
2002-12-18,663.9555371006601
2002-12-19,684.1717612869381
2002-12-20,698.3504625407514
2002-12-23,684.8619455037477
2002-12-24,680.6768046894516
2002-12-25,680.476246898528
2002-12-26,671.9496298110491
2002-12-27,660.4507662883522
2002-12-30,670.3465610604715
2002-12-31,667.350273564527
2003-01-01,667.3611748883258
2003-01-02,681.3836440954204
2003-01-03,690.1759963627234
2003-01-06,715.82928896554
2003-01-07,709.6077370211614
2003-01-08,717.5938103890973
2003-01-09,720.2982056249343
2003-01-10,726.4560916834035
2003-01-13,717.0536430893204
2003-01-14,721.8375328247782
2003-01-15,713.5312328719942
2003-01-16,717.2020489900099
2003-01-17,684.7494926901348
2003-01-20,673.5521546746351
2003-01-21,660.063092052867
2003-01-22,639.1477341207486
2003-01-23,632.9497870178099
2003-01-24,605.174617356978
2003-01-27,594.7399747927826
2003-01-28,587.9253559821709
2003-01-29,600.8435499127107
2003-01-30,617.4177782104256
2003-01-31,632.1620922585877
2003-02-03,640.8582624408142
2003-02-04,618.6829115198706
2003-02-05,619.3425984354799
2003-02-06,611.9849369385676
2003-02-07,613.523970763952
2003-02-10,615.7710628752188
2003-02-11,630.3072889538723
2003-02-12,621.7323291764757
2003-02-13,592.7465437510958
2003-02-14,594.9409903873649
2003-02-17,604.9457194470943
2003-02-18,619.5645439106972
2003-02-19,607.6364171298168
2003-02-20,599.053146891933
2003-02-21,605.538300332755
2003-02-24,607.9974221755315
2003-02-25,603.9924057363706
2003-02-26,602.8662006369257
2003-02-27,610.028119014028
2003-02-28,617.8958795008106
2003-03-03,614.1940154898913
2003-03-04,611.3290008245394
2003-03-05,602.8124392862641
2003-03-06,620.8275743220837
2003-03-07,621.4222310092796
2003-03-10,606.8018117442163
2003-03-11,611.587263777405
2003-03-12,625.4387057771054
2003-03-13,650.0162203778788
2003-03-14,670.3708835631836
2003-03-17,670.034781164053
2003-03-18,679.584341611315
2003-03-19,677.1430393882897
2003-03-20,676.7937670838006
2003-03-21,699.5165898925833
2003-03-24,682.2657594550874
