Date,TAIWAN IMI MINIMUM VOLATILITY (TWD)
2001-05-31,1000.0
2001-06-01,990.2531149204355
2001-06-04,980.699534394216
2001-06-05,999.7361726475754
2001-06-06,1032.5027992130154
2001-06-07,1011.5136134943757
2001-06-08,1024.379043377815
2001-06-11,1042.1637304381863
2001-06-12,1037.5978014560596
2001-06-13,1020.3373697479938
2001-06-14,991.5629832390443
2001-06-15,993.424236654308
2001-06-18,978.5865395207273
2001-06-19,982.5181599976275
2001-06-20,987.0191730300188
2001-06-21,978.0555262787976
2001-06-22,966.8784503042525
2001-06-25,959.689471849779
2001-06-26,932.1184190505902
2001-06-27,936.1455677323459
2001-06-28,938.8164163631457
2001-06-29,963.7833313698003
2001-07-02,957.3367250888716
2001-07-03,948.3166313876412
2001-07-04,926.8684667977052
2001-07-05,930.5834670265217
2001-07-06,927.3623049494759
2001-07-09,914.1287062735204
2001-07-10,892.8557080716866
2001-07-11,862.8524917744395
2001-07-12,887.300293202157
2001-07-13,854.1428379167227
2001-07-16,826.8260562880276
2001-07-17,832.246183254985
2001-07-18,784.5984981406853
2001-07-19,785.5649698211346
2001-07-20,787.610982287312
2001-07-23,779.0014221592498
2001-07-24,749.5684856585292
2001-07-25,762.8347453781935
2001-07-26,799.6688529110208
2001-07-27,802.2340346673527
2001-07-30,800.5840075149774
2001-07-31,798.8005324711423
2001-08-01,788.6264006750315
2001-08-02,812.6009375377396
2001-08-03,824.2579679807926
2001-08-06,820.4129606696506
2001-08-07,816.1480331154806
2001-08-08,836.7551801039551
2001-08-09,814.3574794212577
2001-08-10,806.449657768522
2001-08-13,815.0626233723534
2001-08-14,828.2117051931856
2001-08-15,828.5207953065376
2001-08-16,842.8621645522514
2001-08-17,830.4111900413965
2001-08-20,817.2228655158544
2001-08-21,818.9379616243085
2001-08-22,802.3400932754652
2001-08-23,801.6597385353555
2001-08-24,777.2393965334307
2001-08-27,790.6295146789952
2001-08-28,787.5302806161809
2001-08-29,813.715159258822
2001-08-30,817.1645407994821
2001-08-31,815.6754981552975
2001-09-03,803.8751365266768
2001-09-04,819.8052270247001
2001-09-05,806.2853514467795
2001-09-06,787.4616142833615
2001-09-07,767.0242097170176
2001-09-10,764.040240993414
2001-09-11,737.4213301683501
2001-09-12,743.3919501965704
2001-09-13,701.435222825439
2001-09-14,662.9523189931607
2001-09-17,662.9733873381485
2001-09-18,661.3191006108603
2001-09-19,661.1146342379188
2001-09-20,650.5526105240152
2001-09-21,640.4942257363919
2001-09-24,636.271125507824
2001-09-25,623.3095842124465
2001-09-26,649.4305021671503
2001-09-27,642.3029076472169
2001-09-28,660.2846649462999
2001-10-01,655.9190447358075
2001-10-02,628.5968701966708
2001-10-03,619.3989955770403
2001-10-04,632.6464174032564
2001-10-05,640.5840290374774
2001-10-08,626.4863270436965
2001-10-09,639.8690915442386
2001-10-10,644.6785536357271
2001-10-11,678.7254725634872
2001-10-12,674.0588126768399
2001-10-15,657.1532652623879
2001-10-16,669.3714674805855
2001-10-17,671.9128492122996
2001-10-18,672.855692332527
2001-10-19,685.9246921948867
2001-10-22,703.3657875381205
2001-10-23,699.903031090719
2001-10-24,711.593433753301
2001-10-25,710.9904091375804
2001-10-26,720.8259077699217
2001-10-29,709.70891551707
2001-10-30,686.1635005566194
2001-10-31,692.2657854906904
2001-11-01,692.7645916906811
2001-11-02,703.96110971037
2001-11-05,721.3227312018839
2001-11-06,721.7490380473146
2001-11-07,730.3454688039915
2001-11-08,730.9784094601944
2001-11-09,726.7761692945778
2001-11-12,737.9995179637734
