Date,WORLD ex EMU ESG LEADERS
2007-09-28,1000.0
2007-10-01,1009.8388960806346
2007-10-02,1011.1868630745653
2007-10-03,1009.5499846162558
2007-10-04,1010.6540494898233
2007-10-05,1019.9736727257576
2007-10-08,1015.3656978174648
2007-10-09,1023.4112426707483
2007-10-10,1024.7599040239886
2007-10-11,1025.3153283477752
2007-10-12,1024.8820719549658
2007-10-15,1016.9829217877885
2007-10-16,1006.1126515527002
2007-10-17,1008.6636903380489
2007-10-18,1011.8454235451065
2007-10-19,993.0859508891442
2007-10-22,989.7131125230134
2007-10-23,1000.0109807496203
2007-10-24,998.2444735217937
2007-10-25,1001.8145564632468
2007-10-26,1014.779342161089
2007-10-29,1023.2400763675575
2007-10-30,1017.764178982708
2007-10-31,1030.1883301113744
2007-11-01,1014.6156495926929
2007-11-02,1012.52168785073
2007-11-05,1006.311230551982
2007-11-06,1015.9801444577129
2007-11-07,999.9461737030491
2007-11-08,991.9688140144546
2007-11-09,976.9091789564651
2007-11-12,964.345744858231
2007-11-13,981.858909806193
2007-11-14,984.4270866300774
2007-11-15,971.7028758073957
2007-11-16,970.3927702553506
2007-11-19,957.0201464684567
2007-11-20,965.2482949636882
2007-11-21,949.5604459490391
2007-11-22,953.5569469695638
2007-11-23,964.940466621593
2007-11-26,957.3295932813935
2007-11-27,964.2353698294138
2007-11-28,983.0147801267924
2007-11-29,988.9322503816446
2007-11-30,993.018919340621
2007-12-03,990.4505098059757
2007-12-04,984.8537510599892
2007-12-05,994.5722929402393
2007-12-06,1004.2735573605337
2007-12-07,1006.1670248044026
2007-12-10,1013.1660856818002
2007-12-11,997.7897796993979
2007-12-12,999.7930251613433
2007-12-13,989.1105869520153
2007-12-14,976.0713369234946
2007-12-17,959.0906380882649
2007-12-18,961.7434164797567
2007-12-19,959.2465561563383
2007-12-20,962.9167778587179
2007-12-21,977.0782695446779
2007-12-24,982.2597882693693
2007-12-25,984.931665236572
2007-12-26,987.3857161905248
2007-12-27,980.6134539987723
2007-12-28,981.934535458343
2007-12-31,978.5905469813359
2008-01-01,978.5905469813359
2008-01-02,970.9850586089485
2008-01-03,969.910724871367
2008-01-04,946.319341266906
2008-01-07,942.7456824179318
2008-01-08,936.375267696029
2008-01-09,940.7418356324409
2008-01-10,941.4398467882197
2008-01-11,929.4026448322878
2008-01-14,938.1619287888233
2008-01-15,918.0169705568378
2008-01-16,903.5469244713112
2008-01-17,891.450227546413
2008-01-18,887.1424868937014
2008-01-21,868.7522672088382
2008-01-22,862.6290763249585
2008-01-23,873.8814232698571
2008-01-24,892.6887949001425
2008-01-25,893.0752339886958
2008-01-28,894.244756403859
2008-01-29,902.1882942996847
2008-01-30,896.3663016525077
2008-01-31,908.5106420304837
2008-02-01,920.7935703466842
2008-02-04,917.7285972448117
2008-02-05,892.0563382863379
2008-02-06,882.4546080173063
2008-02-07,880.6857953092509
