Date,EMU ESG LEADERS
2007-09-28,1000.0
2007-10-01,1009.0413315877119
2007-10-02,1007.9951218549048
2007-10-03,1007.948250411163
2007-10-04,1004.6961438476659
2007-10-05,1013.3459641147158
2007-10-08,1004.708201490017
2007-10-09,1009.4939683844647
2007-10-10,1014.5375270096627
2007-10-11,1025.9630001366731
2007-10-12,1020.1742235765145
2007-10-15,1013.5487676703419
2007-10-16,1001.9028175999846
2007-10-17,1012.5096230998172
2007-10-18,1015.0717765909287
2007-10-19,1010.8168381419571
2007-10-22,991.0723493338473
2007-10-23,1006.6183015078625
2007-10-24,999.9703287629953
2007-10-25,1018.349815429134
2007-10-26,1029.5382240657937
2007-10-29,1038.9321903646637
2007-10-30,1037.4733674529189
2007-10-31,1047.3291949758443
2007-11-01,1032.237158385242
2007-11-02,1035.402328301702
2007-11-05,1030.3078962549946
2007-11-06,1041.2379708649346
2007-11-07,1043.6572863508313
2007-11-08,1035.3817244046877
2007-11-09,1018.5171472447215
2007-11-12,1009.8778378026707
2007-11-13,1015.6448573697926
2007-11-14,1029.5270821974814
2007-11-15,1017.1433820946772
2007-11-16,1013.8866992642189
2007-11-19,999.8626753352477
2007-11-20,1019.1771382124391
2007-11-21,998.1579641075353
2007-11-22,1002.4567921815056
2007-11-23,1013.846607194519
2007-11-26,1011.5896312713817
2007-11-27,1008.5403051444464
2007-11-28,1024.328452392769
2007-11-29,1029.6583719967039
2007-11-30,1034.7041891025517
2007-12-03,1031.4718858314081
2007-12-04,1026.5287176193074
2007-12-05,1035.3278610232678
2007-12-06,1032.0418405562973
2007-12-07,1041.2691982566205
2007-12-10,1050.2132727395192
2007-12-11,1046.6400456615709
2007-12-12,1047.145275006013
2007-12-13,1020.0980253967144
2007-12-14,1012.5353090402754
2007-12-17,991.0853986919786
2007-12-18,992.3572647113415
2007-12-19,988.5930247734858
2007-12-20,987.6408398594334
2007-12-21,1004.7148178603967
2007-12-24,1008.3856427506227
2007-12-25,1008.3856427506227
2007-12-26,1015.3166094345752
2007-12-27,1020.9095799353114
2007-12-28,1030.7103538636238
2007-12-31,1024.6282983617004
2008-01-01,1024.6282983617004
2008-01-02,1018.5061105082723
2008-01-03,1012.846428895144
2008-01-04,999.0589066382903
2008-01-07,992.1774624879247
2008-01-08,996.8687420289218
2008-01-09,980.2775449455901
2008-01-10,977.4833122869738
2008-01-11,979.300821330834
2008-01-14,989.8141790565944
2008-01-15,958.5187927911768
2008-01-16,936.0542634000478
2008-01-17,931.5205863159784
2008-01-18,915.4641674256009
2008-01-21,848.8185902683326
2008-01-22,873.3700521472537
2008-01-23,838.4054934781055
2008-01-24,903.6946263024919
2008-01-25,903.6466035792716
2008-01-28,903.2114419354067
2008-01-29,915.445019740146
2008-01-30,911.8031740313436
2008-01-31,912.557400827476
2008-02-01,931.9022266104373
2008-02-04,933.3277702433996
2008-02-05,885.260942100992
2008-02-06,894.6553939749725
2008-02-07,869.9818414126726
2008-02-08,871.140285620743
2008-02-11,865.4530236439242
2008-02-12,899.5760531996997
2008-02-13,900.3987220781974
2008-02-14,903.2744900964079
