Date,WORLD ex USA ESG LEADERS
2007-09-28,100.0
2007-10-01,100.601401
2007-10-02,100.69707
2007-10-03,100.838739
2007-10-04,100.832361
2007-10-05,101.705551
2007-10-08,100.982289
2007-10-09,101.649444
2007-10-10,102.090381
2007-10-11,103.156512
2007-10-12,102.694398
2007-10-15,102.165939
2007-10-16,100.591296
2007-10-17,101.152496
2007-10-18,101.495174
2007-10-19,100.456895
2007-10-22,98.796979
2007-10-23,100.095808
2007-10-24,99.595385
2007-10-25,100.473935
2007-10-26,101.98052
2007-10-29,103.133018
2007-10-30,102.876507
2007-10-31,104.109274
2007-11-01,103.118713
2007-11-02,102.452276
2007-11-05,101.714403
2007-11-06,102.509077
2007-11-07,102.452115
2007-11-08,101.096209
2007-11-09,99.449639
2007-11-12,97.924464
2007-11-13,98.578881
2007-11-14,99.918276
2007-11-15,98.341592
2007-11-16,97.384272
2007-11-19,95.989989
2007-11-20,97.267752
2007-11-21,95.359437
2007-11-22,96.05676
2007-11-23,96.878475
2007-11-26,97.092854
2007-11-27,96.861051
2007-11-28,98.052613
2007-11-29,98.869912
2007-11-30,99.258193
2007-12-03,99.005279
2007-12-04,98.122091
2007-12-05,98.862989
2007-12-06,99.122746
2007-12-07,99.919079
2007-12-10,100.611421
2007-12-11,100.308745
2007-12-12,100.215887
2007-12-13,97.702189
2007-12-14,96.786332
2007-12-17,94.881877
2007-12-18,94.816362
2007-12-19,94.481372
2007-12-20,94.506253
2007-12-21,95.903622
2007-12-24,96.248188
2007-12-25,96.556655
2007-12-26,97.142444
2007-12-27,97.404876
2007-12-28,97.876727
2007-12-31,97.690791
2008-01-01,97.690791
2008-01-02,97.574292
2008-01-03,97.375358
2008-01-04,95.575057
2008-01-07,94.627924
2008-01-08,94.94483
2008-01-09,94.16569
2008-01-10,93.623586
2008-01-11,93.20443
2008-01-14,93.871374
2008-01-15,91.788621
2008-01-16,89.576932
2008-01-17,89.614088
2008-01-18,88.721054
2008-01-21,83.889124
2008-01-22,84.600218
2008-01-23,83.584234
2008-01-24,87.809852
2008-01-25,88.806437
2008-01-28,88.043204
2008-01-29,89.18149
2008-01-30,88.559726
2008-01-31,89.058167
2008-02-01,90.461439
2008-02-04,90.82215
2008-02-05,87.606086
2008-02-06,87.054186
2008-02-07,85.35238
2008-02-08,85.46418
2008-02-11,84.879371
2008-02-12,87.045169
2008-02-13,86.878394
2008-02-14,87.937543
2008-02-15,86.993321
2008-02-18,87.702281
2008-02-19,88.594468
2008-02-20,86.835831
2008-02-21,88.323568
2008-02-22,87.953168
2008-02-25,89.622182
2008-02-26,90.998928
2008-02-27,92.295728
2008-02-28,91.574569
2008-02-29,90.099877
2008-03-03,88.415192
2008-03-04,87.593693
2008-03-05,88.695425
2008-03-06,88.607083
2008-03-07,87.273482
2008-03-10,86.228875
2008-03-11,87.061226
2008-03-12,88.765215
2008-03-13,88.076221
2008-03-14,87.108848
2008-03-17,84.638835
2008-03-18,86.944259
2008-03-19,86.103666
2008-03-20,84.99067
2008-03-21,85.294082
2008-03-24,85.274176
2008-03-25,88.772476
2008-03-26,89.166662
2008-03-27,89.685729
2008-03-28,89.263529
2008-03-31,89.101599
2008-04-01,89.9003
2008-04-02,91.670379
2008-04-03,92.046978
2008-04-04,92.632482
2008-04-07,92.933263
2008-04-08,91.881131
2008-04-09,91.233194
2008-04-10,91.106246
2008-04-11,90.577372
2008-04-14,89.556565
2008-04-15,89.778233
2008-04-16,92.015514
2008-04-17,91.511851
2008-04-18,92.090564
2008-04-21,93.098423
2008-04-22,92.564649
2008-04-23,92.305481
2008-04-24,91.693056
2008-04-25,92.972627
2008-04-28,93.6248
2008-04-29,92.987365
2008-04-30,93.426455
2008-05-01,92.830986
2008-05-02,94.36484
2008-05-05,94.571305
2008-05-06,94.599349
2008-05-07,94.464136
2008-05-08,94.640102
2008-05-09,93.69353
2008-05-12,94.328881
2008-05-13,94.315249
2008-05-14,94.554833
2008-05-15,95.410609
2008-05-16,96.518426
2008-05-19,97.166047
2008-05-20,96.581153
2008-05-21,96.071089
2008-05-22,96.122129
2008-05-23,95.424444
2008-05-26,94.763486
2008-05-27,94.379028
2008-05-28,94.39044
2008-05-29,94.584271
2008-05-30,95.196924
2008-06-02,94.749493
2008-06-03,94.39314
2008-06-04,93.995294
2008-06-05,94.126496
2008-06-06,94.079027
2008-06-09,93.006915
2008-06-10,90.833654
2008-06-11,90.334738
2008-06-12,89.377584
2008-06-13,89.76775
2008-06-16,90.419339
2008-06-17,90.936573
2008-06-18,90.209545
2008-06-19,89.123414
2008-06-20,88.23681
2008-06-23,87.608368
2008-06-24,87.49791
2008-06-25,88.171229
2008-06-26,87.385427
2008-06-27,86.8476
2008-06-30,87.211297
2008-07-01,85.743135
2008-07-02,85.33142
2008-07-03,85.228644
2008-07-04,84.680501
2008-07-07,84.934837
2008-07-08,84.0052
2008-07-09,85.222446
2008-07-10,84.477863
2008-07-11,83.396888
2008-07-14,83.460891
2008-07-15,82.182662
2008-07-16,82.293873
2008-07-17,84.202444
2008-07-18,84.577991
2008-07-21,85.198769
2008-07-22,85.213616
2008-07-23,85.956537
2008-07-24,85.40547
2008-07-25,84.622652
2008-07-28,83.917131
2008-07-29,83.061636
2008-07-30,84.347475
2008-07-31,84.193454
2008-08-01,82.9978
2008-08-04,82.397525
2008-08-05,83.139837
2008-08-06,83.809806
2008-08-07,82.964386
2008-08-08,82.017676
2008-08-11,83.076725
2008-08-12,82.582405
2008-08-13,80.873118
2008-08-14,80.951951
2008-08-15,80.305253
2008-08-18,80.555445
2008-08-19,78.751179
2008-08-20,79.110176
2008-08-21,79.558667
2008-08-22,79.888898
2008-08-25,79.836273
2008-08-26,79.287023
2008-08-27,79.744265
2008-08-28,80.647043
2008-08-29,81.296902
2008-09-01,80.289669
2008-09-02,79.951442
2008-09-03,79.091877
2008-09-04,77.196367
2008-09-05,75.233876
