Date,WORLD ex AUSTRALIA ESG LEADERS
2007-09-28,1000.0
2007-10-01,1009.811513578911
2007-10-02,1010.5425537421296
2007-10-03,1008.7988377975126
2007-10-04,1009.5026667184562
2007-10-05,1018.4728609734767
2007-10-08,1012.8272197639659
2007-10-09,1020.184265489715
2007-10-10,1021.9894445095035
2007-10-11,1024.2903791934255
2007-10-12,1023.0825410593163
2007-10-15,1015.3485366372039
2007-10-16,1005.1325258641943
2007-10-17,1008.9964594600582
2007-10-18,1011.6377185768016
2007-10-19,995.3059790973442
2007-10-22,989.8501370819034
2007-10-23,1000.2828653885883
2007-10-24,997.4539060711365
2007-10-25,1003.5608226427566
2007-10-26,1015.840167165964
2007-10-29,1024.178047611779
2007-10-30,1019.5412700794674
2007-10-31,1031.4083727598709
2007-11-01,1015.41636295339
2007-11-02,1014.8835789115127
2007-11-05,1009.1174065290068
2007-11-06,1018.9767686388053
2007-11-07,1005.0509109056158
2007-11-08,997.9500335903695
2007-11-09,982.5353475190803
2007-11-12,972.1742781826578
2007-11-13,987.1782302094616
2007-11-14,990.9586652086174
2007-11-15,978.6345507469179
2007-11-16,977.4311705810619
2007-11-19,963.1875175103097
2007-11-20,974.1447914322292
2007-11-21,958.1580663201114
2007-11-22,962.4755336013211
2007-11-23,974.3825213225133
2007-11-26,966.7303621181012
2007-11-27,972.2519100271153
2007-11-28,991.0595998803303
2007-11-29,996.8911992606359
2007-11-30,1000.6949382228969
2007-12-03,997.9849516158786
2007-12-04,992.6285343527751
2007-12-05,1002.7262589451001
2007-12-06,1009.8394488203248
2007-12-07,1012.5361685961474
2007-12-10,1020.1679696589888
2007-12-11,1006.070742099093
2007-12-12,1008.0589689802216
2007-12-13,994.3701629658487
2007-12-14,982.8381328361857
2007-12-17,965.4508598951206
2007-12-18,967.8799623643614
2007-12-19,965.513432457469
2007-12-20,968.7254635009591
2007-12-21,983.1171714038611
2007-12-24,987.8301063072779
2007-12-25,990.101094001545
2007-12-26,993.3841129021599
2007-12-27,988.4580346653426
2007-12-28,991.2822677309823
2007-12-31,987.219164064203
2008-01-01,987.219164064203
2008-01-02,979.4705872299942
2008-01-03,977.7312806533641
2008-01-04,955.4089455293116
2008-01-07,952.0762778824576
2008-01-08,947.0514779510429
2008-01-09,947.9519175802546
2008-01-10,947.8748194034689
2008-01-11,938.1806953504324
2008-01-14,947.3879713854772
2008-01-15,924.7784143848904
2008-01-16,909.6368551916729
2008-01-17,898.1875375593805
2008-01-18,891.5418568564633
2008-01-21,864.92930097977
2008-01-22,866.0997860790267
2008-01-23,868.2374056605015
2008-01-24,895.2967271123988
2008-01-25,893.826349721675
2008-01-28,894.675494887623
2008-01-29,904.3946446993012
2008-01-30,899.5011222996917
2008-01-31,909.7815987494198
2008-02-01,922.5492056507719
2008-02-04,920.0354323461876
2008-02-05,890.154847100478
2008-02-06,884.5943538287532
2008-02-07,878.8470904433937
2008-02-08,877.2926815496742
2008-02-11,879.1375611702045
2008-02-12,894.3380710771752
2008-02-13,899.9310566398333
2008-02-14,899.5225160653587
2008-02-15,895.3999747480676
2008-02-18,899.6357178936094
2008-02-19,903.7845725643111
2008-02-20,898.5562622836657
2008-02-21,901.9681987051116
2008-02-22,902.8770302194296
2008-02-25,917.087232867193
2008-02-26,927.8215041996208
2008-02-27,934.1599841971399
2008-02-28,926.5959792964837
2008-02-29,909.1122018044359
2008-03-03,900.8736711408102
2008-03-04,895.9304520728443
2008-03-05,904.236901138993
2008-03-06,895.8632811600888
2008-03-07,884.9306452763542
2008-03-10,874.0032287569401
2008-03-11,893.4469700746215
2008-03-12,899.8940363150781
2008-03-13,898.087303663418
2008-03-14,885.0450473174493
2008-03-17,869.1768680413802
2008-03-18,897.386838884825
2008-03-19,881.9695947605505
2008-03-20,885.6666924331878
2008-03-21,887.6276415503816
2008-03-24,893.5577776373763
