Date,WORLD ESG LEADERS
2007-09-28,100.0
2007-10-01,100.854097
2007-10-02,100.87059
2007-10-03,100.75329
2007-10-04,100.805553
2007-10-05,101.755666
2007-10-08,101.222532
2007-10-09,101.948085
2007-10-10,102.148562
2007-10-11,102.496187
2007-10-12,102.388999
2007-10-15,101.68585
2007-10-16,100.4832
2007-10-17,100.945733
2007-10-18,101.163222
2007-10-19,99.516321
2007-10-22,98.785977
2007-10-23,99.842054
2007-10-24,99.446243
2007-10-25,100.010334
2007-10-26,101.562615
2007-10-29,102.376682
2007-10-30,102.053147
2007-10-31,103.283882
2007-11-01,101.672064
2007-11-02,101.406521
2007-11-05,100.797805
2007-11-06,101.769924
2007-11-07,100.50407
2007-11-08,99.573542
2007-11-09,97.969892
2007-11-12,96.885611
2007-11-13,98.403536
2007-11-14,98.862621
2007-11-15,97.467663
2007-11-16,97.151609
2007-11-19,95.742991
2007-11-20,96.594687
2007-11-21,94.880886
2007-11-22,95.284751
2007-11-23,96.421418
2007-11-26,95.677745
2007-11-27,96.125073
2007-11-28,97.975944
2007-11-29,98.456063
2007-11-30,98.941765
2007-12-03,98.572574
2007-12-04,97.840294
2007-12-05,98.882705
2007-12-06,99.605525
2007-12-07,99.932473
2007-12-10,100.681366
2007-12-11,99.364722
2007-12-12,99.572151
2007-12-13,98.191378
2007-12-14,97.064332
2007-12-17,95.364793
2007-12-18,95.550635
2007-12-19,95.341846
2007-12-20,95.527642
2007-12-21,96.985494
2007-12-24,97.542327
2007-12-25,97.72174
2007-12-26,98.024243
2007-12-27,97.591612
2007-12-28,97.911102
2007-12-31,97.518398
2008-01-01,97.518398
2008-01-02,96.785466
2008-01-03,96.58242
2008-01-04,94.43327
2008-01-07,93.992612
2008-01-08,93.472936
2008-01-09,93.55631
2008-01-10,93.551522
2008-01-11,92.743684
2008-01-14,93.564573
2008-01-15,91.406105
2008-01-16,89.834438
2008-01-17,88.797797
2008-01-18,88.079189
2008-01-21,85.269132
2008-01-22,85.356075
2008-01-23,85.591831
2008-01-24,88.526316
2008-01-25,88.541438
2008-01-28,88.71705
