Date,PACIFIC ex JAPAN ESG LEADERS
2007-09-28,1000.0
2007-10-01,1006.2211494895208
2007-10-02,1017.6290286985508
2007-10-03,1021.102644276232
2007-10-04,1008.8048703534675
2007-10-05,1027.4535283346922
2007-10-08,1031.0959487472537
2007-10-09,1041.9557686976636
2007-10-10,1047.3081864117744
2007-10-11,1057.3095027249472
2007-10-12,1050.7880107124731
2007-10-15,1046.2683748383997
2007-10-16,1015.4670079306281
2007-10-17,1022.6449846658112
2007-10-18,1035.6852314231166
2007-10-19,1025.829567802245
2007-10-22,997.3227518784862
2007-10-23,1026.790455806584
2007-10-24,1029.0253860396404
2007-10-25,1038.1046927932289
2007-10-26,1060.671101244899
2007-10-29,1077.6492214118716
2007-10-30,1073.0789837123657
2007-10-31,1082.5714595151765
2007-11-01,1083.9848904502846
2007-11-02,1064.9210053162055
2007-11-05,1046.903447607389
2007-11-06,1058.1027787405708
2007-11-07,1075.850616848386
2007-11-08,1045.3645858622376
2007-11-09,1032.2055693133702
2007-11-12,982.5361969730928
2007-11-13,1002.9606495444033
2007-11-14,1032.1879217017258
2007-11-15,1014.4098740135877
2007-11-16,996.1006086070907
2007-11-19,1000.6523832242419
2007-11-20,992.7749159592296
2007-11-21,958.8347829997269
2007-11-22,950.2451973437738
2007-11-23,951.3194293059271
2007-11-26,977.0471494956903
2007-11-27,971.3288010898476
2007-11-28,975.0044594873665
2007-11-29,986.8481899205813
2007-11-30,1000.0201824826104
2007-12-03,999.9488164657366
2007-12-04,993.3798574427922
2007-12-05,993.1666957684885
2007-12-06,1006.879051746695
2007-12-07,1013.7056175616369
2007-12-10,1013.7497336429242
2007-12-11,1024.6770131544324
2007-12-12,1015.3220181403557
2007-12-13,1000.9121820220515
2007-12-14,979.9305006187582
2007-12-17,950.2811075408767
2007-12-18,954.9204865854525
2007-12-19,946.5769358217033
2007-12-20,940.5409711264416
2007-12-21,965.0761381008988
2007-12-24,975.5913354028181
2007-12-25,975.5913354028181
2007-12-26,977.7564871705789
2007-12-27,980.5508593719072
2007-12-28,981.3245572155341
2007-12-31,986.1474771293446
2008-01-01,986.1474771293446
2008-01-02,987.2710776195709
2008-01-03,978.9826898493574
2008-01-04,976.5029306543697
2008-01-07,951.1878303187011
2008-01-08,960.7175981118974
2008-01-09,955.946587507048
2008-01-10,954.5506080378118
2008-01-11,946.1265579359288
2008-01-14,947.6638669391593
2008-01-15,937.767860855073
2008-01-16,900.0443916648406
2008-01-17,912.5107171632362
2008-01-18,912.1037964936299
2008-01-21,871.4466316315892
2008-01-22,822.4044158150532
2008-01-23,852.0645668559717
2008-01-24,876.0995386901997
2008-01-25,926.0343043825799
2008-01-28,921.8763163060903
2008-01-29,909.850058912357
2008-01-30,890.1652543069537
2008-01-31,894.4536767698282
2008-02-01,926.1528107557075
2008-02-04,934.548942586736
2008-02-05,911.5217258221762
2008-02-06,884.7359353529366
2008-02-07,876.6491483449607
2008-02-08,892.3466465736337
2008-02-11,873.7246868248252
2008-02-12,884.5574793944472
2008-02-13,851.8175557633422
2008-02-14,880.5122686457105
2008-02-15,869.9577729769597
2008-02-18,862.8594193858087
2008-02-19,881.2416767413371
2008-02-20,858.826293349866
2008-02-21,871.6001622563607
2008-02-22,860.4482159318142
2008-02-25,878.5078689096455
2008-02-26,896.7461253106305
2008-02-27,924.4594705440254
2008-02-28,910.4543939520149
2008-02-29,886.1406010024795
2008-03-03,863.7481811858472
