Date,WORLD ex UK ESG LEADERS
2007-09-28,1000.0
2007-10-01,1009.7890102478256
2007-10-02,1010.7088536547479
2007-10-03,1008.636094067601
2007-10-04,1008.250978737688
2007-10-05,1017.9447130751922
2007-10-08,1013.4355807835524
2007-10-09,1020.8684481595691
2007-10-10,1022.2515744141729
2007-10-11,1023.8195141682356
2007-10-12,1022.9974589143342
2007-10-15,1015.5270443899564
2007-10-16,1004.6628870161145
2007-10-17,1007.1187841430799
2007-10-18,1011.5800776598921
2007-10-19,994.9312869003822
2007-10-22,989.4705520751725
2007-10-23,1000.0797594696655
2007-10-24,997.9163180178462
2007-10-25,1002.5883280562675
2007-10-26,1015.4079693829075
2007-10-29,1023.6288306294763
2007-10-30,1018.7135141877678
2007-10-31,1030.1611672050306
2007-11-01,1014.9645182662756
2007-11-02,1014.790001088987
2007-11-05,1009.3999074370929
2007-11-06,1020.2294832059517
2007-11-07,1007.2088252899424
2007-11-08,998.5389959511992
2007-11-09,983.389215001318
2007-11-12,970.9023443022265
2007-11-13,985.589059690668
2007-11-14,990.057379756522
2007-11-15,978.3962703888421
2007-11-16,977.9579206088575
2007-11-19,965.4191958189346
2007-11-20,974.4447098897314
2007-11-21,959.4047765069763
2007-11-22,961.4222855722128
2007-11-23,972.8169207814863
2007-11-26,966.0214459030855
2007-11-27,972.4584937140244
2007-11-28,989.5749247268529
2007-11-29,996.123284134199
2007-11-30,999.3799292133137
2007-12-03,996.0903602692813
2007-12-04,992.1001445580686
2007-12-05,1001.4563506579536
2007-12-06,1009.7957964028116
2007-12-07,1011.9119194030056
2007-12-10,1018.8287188947888
2007-12-11,1004.837868998457
2007-12-12,1006.1198735295947
2007-12-13,994.6172718932905
2007-12-14,981.2119434936656
2007-12-17,963.7643884030698
2007-12-18,966.3384138261853
2007-12-19,964.0061515650011
2007-12-20,967.2853954950015
2007-12-21,982.0609587486856
2007-12-24,987.2582127769292
2007-12-25,989.7159404489004
2007-12-26,992.9745595620053
2007-12-27,987.1636944642413
2007-12-28,990.5435140748149
2007-12-31,986.7411485408985
2008-01-01,986.7411485408985
2008-01-02,980.1935072059478
2008-01-03,978.0220722801428
2008-01-04,955.5327133071472
2008-01-07,950.5443648096166
2008-01-08,945.2893934044426
2008-01-09,948.4751280516109
2008-01-10,949.5189528723364
2008-01-11,939.2519856540632
2008-01-14,949.4854662487757
2008-01-15,927.2239096780003
2008-01-16,910.652310707477
2008-01-17,897.828658671255
2008-01-18,891.9656540664812
2008-01-21,867.6003592684112
2008-01-22,862.8502596623979
2008-01-23,868.7826298582925
2008-01-24,894.0337714880518
