Date,WORLD ex EMU EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,993.3594908725051
1999-01-05,999.6127796461602
1999-01-06,1023.3341871651976
1999-01-07,1032.5053112598946
1999-01-08,1045.579031592196
1999-01-11,1052.3506707673187
1999-01-12,1034.9268560754888
1999-01-13,1004.4227126825783
1999-01-14,1001.7759830625986
1999-01-15,1019.9068452916806
1999-01-18,1021.5850677707368
1999-01-19,1021.0446842608928
1999-01-20,1026.6744805723738
1999-01-21,1022.6087504008526
1999-01-22,1007.7899424103797
1999-01-25,1011.572583270768
1999-01-26,1016.8593101150548
1999-01-27,1019.5057048670789
1999-01-28,1024.987647623196
1999-01-29,1039.2097040615843
1999-02-01,1048.9663542710925
1999-02-02,1049.434715176267
1999-02-03,1048.5799811590664
1999-02-04,1051.4786338669217
1999-02-05,1047.0382426454414
1999-02-08,1048.707513721886
1999-02-09,1029.9185944050716
1999-02-10,1025.2098382857625
1999-02-11,1036.8303385840322
1999-02-12,1035.6263593187525
1999-02-15,1038.1373501112782
1999-02-16,1039.9835668394192
1999-02-17,1024.9168843580367
1999-02-18,1025.3746425827574
1999-02-19,1035.5885867263924
1999-02-22,1053.5198245606703
1999-02-23,1056.822154977249
1999-02-24,1053.5937927482792
1999-02-25,1047.5828759351866
1999-02-26,1055.1199074480348
1999-03-01,1055.3551510225238
1999-03-02,1047.6072041969624
1999-03-03,1049.4860388112932
1999-03-04,1057.5991601804265
1999-03-05,1080.8118449894698
1999-03-08,1078.7624088075127
1999-03-09,1082.7747683501466
1999-03-10,1092.6672445198228
1999-03-11,1111.6042627439904
1999-03-12,1108.0429224471334
1999-03-15,1117.3491747744147
1999-03-16,1130.3629091996477
1999-03-17,1119.3917436553102
1999-03-18,1116.4559995614006
1999-03-19,1135.0330718511689
1999-03-22,1133.4037355790535
1999-03-23,1122.5765221463805
1999-03-24,1115.8688382878152
1999-03-25,1134.8246693095273
1999-03-26,1142.816390042171
1999-03-29,1152.4569929683114
1999-03-30,1138.3224750742716
1999-03-31,1143.557689095072
1999-04-01,1147.0621543854588
1999-04-02,1146.4496754854877
1999-04-05,1156.4900716096586
1999-04-06,1158.6709733148266
1999-04-07,1160.74088032079
1999-04-08,1170.0605135956107
1999-04-09,1181.1922292962643
1999-04-12,1176.6446570652079
1999-04-13,1192.0613995668245
1999-04-14,1205.0024252980909
1999-04-15,1221.374912609676
1999-04-16,1244.2342745711032
1999-04-19,1263.9254566624622
1999-04-20,1247.8371452138263
1999-04-21,1251.4856592748508
1999-04-22,1259.7780353953597
1999-04-23,1260.3957672757458
1999-04-26,1267.243817768195
1999-04-27,1268.0390480902008
1999-04-28,1275.593351236114
1999-04-29,1283.5978026936655
1999-04-30,1284.1336399010584
1999-05-03,1295.3997551055838
1999-05-04,1288.3781510009514
1999-05-05,1281.8566064079264
1999-05-06,1285.8469337974668
1999-05-07,1280.2213392837584
1999-05-10,1278.1663903444578
1999-05-11,1283.3016615503784
1999-05-12,1288.993663234418
1999-05-13,1292.784922491555
1999-05-14,1270.9924370731817
1999-05-17,1255.3121327999618
1999-05-18,1255.9345937956382
1999-05-19,1249.8123092796088
1999-05-20,1254.4382059562404
1999-05-21,1263.8626961936193
1999-05-24,1259.0677361004139
1999-05-25,1242.4064973097684
1999-05-26,1259.3566013770096
1999-05-27,1253.0656194539947
1999-05-28,1257.238607805074
1999-05-31,1261.5865769843126
1999-06-01,1266.4757988799024
1999-06-02,1282.8829133424508
1999-06-03,1282.2729247531652
1999-06-04,1295.8508092091283
1999-06-07,1308.6221074643938
1999-06-08,1297.1495134090023
1999-06-09,1300.4352059714963
1999-06-10,1299.9901713444954
1999-06-11,1307.8826356571935
1999-06-14,1307.6452828771567
1999-06-15,1309.7975767145526
1999-06-16,1328.6667920969637
1999-06-17,1338.2116474367208
1999-06-18,1329.6986439552531
1999-06-21,1340.2507219490592
1999-06-22,1339.5249821400475
1999-06-23,1331.520086527313
1999-06-24,1318.5076808591768
1999-06-25,1305.5729491972372
1999-06-28,1323.2257446086335
1999-06-29,1333.0474737202046
1999-06-30,1333.638496699891
1999-07-01,1355.9820794535576
1999-07-02,1369.5565833494052
1999-07-05,1372.4806246887963
1999-07-06,1368.531617796512
1999-07-07,1365.5581304144343
1999-07-08,1369.3740798831027
1999-07-09,1372.493270312616
1999-07-12,1379.303155852489
1999-07-13,1369.169203662817
1999-07-14,1372.9405744663566
1999-07-15,1375.266833307234
1999-07-16,1372.6472400939876
1999-07-19,1382.4656619641962
1999-07-20,1345.7707520455872
1999-07-21,1333.2952195793623
1999-07-22,1325.015927239654
1999-07-23,1320.8067040907558
1999-07-26,1293.0851443269216
1999-07-27,1299.3898665574352
1999-07-28,1305.9908975656526
1999-07-29,1295.2948978368204
1999-07-30,1303.9418882595921
1999-08-02,1306.0969546142867
