Date,EUROPE EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0002438144628
1999-01-04,1021.7062345386826
1999-01-05,1026.458670291066
1999-01-06,1044.1512742192692
1999-01-07,1034.387860056508
1999-01-08,1040.4330787804868
1999-01-11,1035.894831058649
1999-01-12,1022.6591046046236
1999-01-13,987.5253002686795
1999-01-14,988.4013238686259
1999-01-15,994.8335050436267
1999-01-18,1007.5441333435149
1999-01-19,1003.6586245616011
1999-01-20,1006.0322147445361
1999-01-21,1000.1942223052698
1999-01-22,984.1337088380054
1999-01-25,986.051238420215
1999-01-26,988.5079103851068
1999-01-27,997.4145468937999
1999-01-28,1007.2635283548472
1999-01-29,1014.3197909698154
1999-02-01,1025.3463750092856
1999-02-02,1027.685290562418
1999-02-03,1023.7190957243357
1999-02-04,1025.7339064367977
1999-02-05,1027.8230415996993
1999-02-08,1027.3948790641573
1999-02-09,1015.272268949061
1999-02-10,1005.9851644136118
1999-02-11,1014.3962300485413
1999-02-12,1020.0850863727173
1999-02-15,1020.9712618020501
1999-02-16,1026.735353118505
1999-02-17,1019.0109010365402
1999-02-18,1017.8250021371954
1999-02-19,1023.8330710766429
1999-02-22,1030.1137830048906
1999-02-23,1035.265874726083
1999-02-24,1039.36157129268
1999-02-25,1031.9999655153515
1999-02-26,1032.3896212525958
1999-03-01,1028.8527811435388
1999-03-02,1032.3185163790556
1999-03-03,1030.7519849770633
1999-03-04,1035.0924324528698
1999-03-05,1049.6983177687
1999-03-08,1046.853353930039
1999-03-09,1046.4908657067829
1999-03-10,1044.7781853569954
1999-03-11,1058.1514476132288
1999-03-12,1060.8457830209072
1999-03-15,1057.4997047056856
1999-03-16,1060.2456085161843
1999-03-17,1055.1034454109622
1999-03-18,1053.9838159207534
1999-03-19,1064.4849589989974
1999-03-22,1059.8955533170638
1999-03-23,1050.1078591342746
1999-03-24,1043.2203735445214
1999-03-25,1056.6394237966165
1999-03-26,1056.2585778377775
1999-03-29,1064.6236213740897
1999-03-30,1062.1093647509824
1999-03-31,1068.3362646703292
1999-04-01,1065.6311109130665
1999-04-02,1066.0417382809255
1999-04-05,1067.2322366581088
1999-04-06,1072.9508523819852
1999-04-07,1078.2925260101947
1999-04-08,1082.1102330944882
1999-04-09,1089.5498140745426
1999-04-12,1084.97355021557
1999-04-13,1096.5112692452847
1999-04-14,1100.5880876712274
1999-04-15,1108.8377237908264
1999-04-16,1115.3038414344678
1999-04-19,1135.4217905699968
1999-04-20,1117.6120908940286
1999-04-21,1121.546309498568
1999-04-22,1127.6912661132196
1999-04-23,1127.3701290794313
1999-04-26,1133.4206567925153
1999-04-27,1145.341252970801
1999-04-28,1143.2276254450765
1999-04-29,1144.9054221345432
1999-04-30,1150.2605723921308
1999-05-03,1156.181222268391
1999-05-04,1160.6070910070207
1999-05-05,1150.3366641006644
1999-05-06,1148.984465147255
1999-05-07,1146.8265909001036
1999-05-10,1146.5104688792665
1999-05-11,1149.8863674136153
1999-05-12,1144.6135016653286
1999-05-13,1150.163248678689
1999-05-14,1136.3625206678846
1999-05-17,1120.647078119909
1999-05-18,1126.040576259134
1999-05-19,1135.3761659996057
1999-05-20,1144.3926682115273
1999-05-21,1142.8921035183714
1999-05-24,1140.1858019668748
1999-05-25,1129.417491839928
1999-05-26,1130.477401143058
1999-05-27,1124.480589945852
1999-05-28,1123.253466676724
1999-05-31,1126.9721328793019
1999-06-01,1129.0419396246534
1999-06-02,1134.4763652155793
1999-06-03,1139.926068736852
1999-06-04,1146.5875884216925
1999-06-07,1154.0895433656601
1999-06-08,1153.3857659188584
1999-06-09,1155.9911828853426
1999-06-10,1149.5203534726481
1999-06-11,1158.1861012433733
1999-06-14,1154.3628845104445
1999-06-15,1155.4278111678632
1999-06-16,1162.6651702403706
1999-06-17,1165.6123389642603
1999-06-18,1169.4136711015185
1999-06-21,1178.9914245025934
1999-06-22,1173.885347296214
1999-06-23,1163.1808939501213
1999-06-24,1157.596972366178
1999-06-25,1151.3995208783763
1999-06-28,1155.0035582045182
1999-06-29,1156.3658108918646
1999-06-30,1154.6498455954036
1999-07-01,1169.7276470348281
1999-07-02,1173.1814443533817
1999-07-05,1186.5985622173928
1999-07-06,1183.3893733971936
1999-07-07,1181.2196929523013
1999-07-08,1181.2936714882442
1999-07-09,1183.8086740083004
1999-07-12,1187.225701689616
1999-07-13,1173.7246053134197
1999-07-14,1176.7607494562205
1999-07-15,1186.4852552052848
1999-07-16,1184.2872048083661
1999-07-19,1184.2443675310506
1999-07-20,1167.165983818021
1999-07-21,1153.9187286184124
1999-07-22,1150.4157279715253
1999-07-23,1142.9085232597124
1999-07-26,1131.6623907853434
1999-07-27,1134.1136666432515
1999-07-28,1135.2732584754306
