Date,WORLD ex AUSTRALIA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0000959504787
1999-01-04,1001.857534079333
1999-01-05,1007.5323443380611
1999-01-06,1028.5619556852646
1999-01-07,1032.5714328650831
1999-01-08,1043.0981799116505
1999-01-11,1045.854187054217
1999-01-12,1028.566589179839
1999-01-13,996.7181039722926
1999-01-14,994.9436451307276
1999-01-15,1010.2651729907478
1999-01-18,1014.5563290983683
1999-01-19,1012.644202726709
1999-01-20,1017.3851692825124
1999-01-21,1013.232119886061
1999-01-22,997.6904663957516
1999-01-25,1001.0540222889005
1999-01-26,1005.6086013292604
1999-01-27,1008.7300941604658
1999-01-28,1015.048369045702
1999-01-29,1026.7951708875096
1999-02-01,1034.861563504441
1999-02-02,1034.00246222697
1999-02-03,1032.2775608591785
1999-02-04,1034.2426527989246
1999-02-05,1031.148698240561
1999-02-08,1032.324413762125
1999-02-09,1014.8601945988228
1999-02-10,1009.748847355552
1999-02-11,1021.193659671784
1999-02-12,1021.2732594602305
1999-02-15,1023.4008479202699
1999-02-16,1025.8346615514424
1999-02-17,1012.4768677856156
1999-02-18,1012.7991491818723
1999-02-19,1021.2281394771326
1999-02-22,1036.8297164018336
1999-02-23,1040.6971771818717
1999-02-24,1039.1193698077116
1999-02-25,1033.795833818752
1999-02-26,1039.653500956406
1999-03-01,1037.90255501891
1999-03-02,1031.8914971791357
1999-03-03,1031.6359522379064
1999-03-04,1038.7653550078232
1999-03-05,1060.3835132538497
1999-03-08,1058.0914881981762
1999-03-09,1060.428528805104
1999-03-10,1067.573454414965
1999-03-11,1084.1618283315838
1999-03-12,1082.0385829038776
1999-03-15,1090.296221827463
1999-03-16,1101.8095503070263
1999-03-17,1093.1408791201736
1999-03-18,1090.157074207901
1999-03-19,1106.6475987469803
1999-03-22,1104.034673057125
1999-03-23,1091.779006704607
1999-03-24,1084.7645658001532
1999-03-25,1103.2173296406368
1999-03-26,1108.1132453914624
1999-03-29,1117.4749058801763
1999-03-30,1106.5906392694753
1999-03-31,1112.9036569459786
1999-04-01,1115.3570318655036
1999-04-02,1114.993265853062
1999-04-05,1122.8766253810295
