Date,WORLD EX UK EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.000101938028
1999-01-04,1004.1754444934229
1999-01-05,1009.6587332971227
1999-01-06,1030.114189913205
1999-01-07,1036.05782083821
1999-01-08,1046.3989972167853
1999-01-11,1049.731255677001
1999-01-12,1032.6618089976027
1999-01-13,999.8178251399504
1999-01-14,998.015326891423
1999-01-15,1013.6605859674977
1999-01-18,1017.2661380352589
1999-01-19,1016.4690533143327
1999-01-20,1021.9077398387093
1999-01-21,1017.4705075872997
1999-01-22,1001.7808871966652
1999-01-25,1004.2334737279338
1999-01-26,1008.1619734456401
1999-01-27,1010.4261552328682
1999-01-28,1015.7722540100158
1999-01-29,1027.642116163572
1999-02-01,1034.0669998339642
1999-02-02,1030.916327971409
1999-02-03,1030.5268002124897
1999-02-04,1032.6669981221564
1999-02-05,1030.3867718217352
1999-02-08,1031.605643964561
1999-02-09,1013.6407484992214
1999-02-10,1008.1417052652782
1999-02-11,1019.976212259859
1999-02-12,1019.4589404871706
1999-02-15,1021.140383399139
1999-02-16,1021.5168795869655
1999-02-17,1007.6628231666552
1999-02-18,1008.4543965583229
1999-02-19,1018.1415633315524
1999-02-22,1034.5812356623344
1999-02-23,1038.5702965133405
1999-02-24,1035.8271144445077
1999-02-25,1030.0680128691947
1999-02-26,1034.5359560307252
1999-03-01,1032.8392033662751
1999-03-02,1025.5610096323003
1999-03-03,1024.9841416480995
1999-03-04,1031.8868660537858
1999-03-05,1054.413376128647
1999-03-08,1052.407773821029
1999-03-09,1054.6931673742013
1999-03-10,1061.0322645207893
1999-03-11,1076.6275165444354
1999-03-12,1073.9816231144778
1999-03-15,1084.8015348158708
1999-03-16,1096.0899213754553
1999-03-17,1088.045431255504
1999-03-18,1085.4728771716393
1999-03-19,1101.738503604823
1999-03-22,1099.550541817482
1999-03-23,1087.5420135603083
1999-03-24,1079.7278865704773
1999-03-25,1098.8794792949932
1999-03-26,1103.696919046918
1999-03-29,1112.4558360418582
1999-03-30,1101.0783424706697
1999-03-31,1107.3663597487132
1999-04-01,1111.665310350141
1999-04-02,1110.9810018541598
1999-04-05,1118.9615987423813
1999-04-06,1123.9978797130073
1999-04-07,1125.2352903436124
1999-04-08,1132.8758827211598
1999-04-09,1140.9817395955806
1999-04-12,1136.5651443365205
1999-04-13,1150.1909248049062
1999-04-14,1161.1848311884041
1999-04-15,1174.2018582205972
1999-04-16,1191.7294635445505
1999-04-19,1210.0716142186488
1999-04-20,1194.83719925182
1999-04-21,1199.9208391363522
1999-04-22,1205.9074480285756
1999-04-23,1206.1817030846414
1999-04-26,1212.2227321305543
1999-04-27,1216.1551514475057
1999-04-28,1222.0061165590027
1999-04-29,1229.6627635802452
1999-04-30,1230.0112847450318
1999-05-03,1240.7102760756773
1999-05-04,1234.6357596715652
1999-05-05,1228.3916989115892
1999-05-06,1232.022096928223
1999-05-07,1228.877864737214
1999-05-10,1228.4826371442487
1999-05-11,1233.1623785233096
1999-05-12,1237.319957220747
1999-05-13,1240.334261989511
1999-05-14,1222.1891907897036
1999-05-17,1206.5791973798207
1999-05-18,1208.0167459857314
1999-05-19,1204.598697902751
1999-05-20,1209.9956088611946
1999-05-21,1218.1252706610999
1999-05-24,1215.0142021124002
1999-05-25,1200.4911841964556
1999-05-26,1213.236022665806
1999-05-27,1205.4958413761935
1999-05-28,1207.8327544831345
1999-05-31,1211.6903439437272
1999-06-01,1215.1044264712866
1999-06-02,1225.9117056675911
1999-06-03,1226.1681052749168
1999-06-04,1237.2814965584466
1999-06-07,1249.3890252525953
1999-06-08,1241.8434884454305
1999-06-09,1245.5842448213234
1999-06-10,1244.2684749009866
1999-06-11,1250.5373535477963
1999-06-14,1248.0370530661357
1999-06-15,1251.62437575833
