Date,WORLD ex USA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0001250569876
1999-01-04,1003.9102388767595
1999-01-05,1007.2991478274992
1999-01-06,1026.6233175507841
1999-01-07,1032.509622171326
1999-01-08,1039.5739932045426
1999-01-11,1045.9622207221498
1999-01-12,1029.9509061792144
1999-01-13,994.5510513018538
1999-01-14,997.6631961143307
1999-01-15,1007.4414545578403
1999-01-18,1013.3582935717401
1999-01-19,1011.6278614236699
1999-01-20,1018.1930294265144
1999-01-21,1016.7308804755855
1999-01-22,999.0930258982214
1999-01-25,1000.9901161155701
1999-01-26,1006.0681025848518
1999-01-27,1011.9448185549707
1999-01-28,1014.4334744664314
1999-01-29,1026.1526621398311
1999-02-01,1037.4174327324406
1999-02-02,1040.7961168421741
1999-02-03,1035.4134020012814
1999-02-04,1039.258243212885
1999-02-05,1036.2028482285818
1999-02-08,1035.792169307838
1999-02-09,1020.5747179445004
1999-02-10,1013.2484401196958
1999-02-11,1023.5353599065286
1999-02-12,1028.0864441458198
1999-02-15,1029.4673761654865
1999-02-16,1028.301718292443
1999-02-17,1016.3580858985437
1999-02-18,1013.3272532249297
1999-02-19,1020.7284633546703
1999-02-22,1031.5270160599466
1999-02-23,1035.3805578162196
1999-02-24,1035.1543443431076
1999-02-25,1032.8905462431771
1999-02-26,1038.2645290795401
1999-03-01,1034.826714010366
1999-03-02,1027.8571769561418
1999-03-03,1027.8958523258718
1999-03-04,1030.8605036999227
1999-03-05,1054.6635790608054
1999-03-08,1052.7214829212658
1999-03-09,1058.3438100210465
1999-03-10,1066.8980150710493
1999-03-11,1082.433745767856
1999-03-12,1083.3994374496324
1999-03-15,1091.9961750759242
1999-03-16,1105.4894848330375
1999-03-17,1097.3260905392879
1999-03-18,1088.6547852060132
1999-03-19,1111.46823893273
1999-03-22,1108.8880117889576
1999-03-23,1101.6199343015962
1999-03-24,1090.4300769974964
1999-03-25,1107.8376833038776
1999-03-26,1111.4211514856072
1999-03-29,1117.737751192496
1999-03-30,1108.5858016867644
1999-03-31,1119.2555737848206
1999-04-01,1121.9282093617396
1999-04-02,1120.6953146701308
1999-04-05,1123.6194616770274
1999-04-06,1132.4238254893523
1999-04-07,1136.2844943909013
1999-04-08,1143.8439601965024
1999-04-09,1151.6185685216894
1999-04-12,1145.0901077460558
1999-04-13,1161.3205492036084
1999-04-14,1171.6587495275933
1999-04-15,1181.105375700382
1999-04-16,1199.1026207898212
1999-04-19,1218.909117088594
1999-04-20,1200.4143929953561
1999-04-21,1197.9200737620154
1999-04-22,1205.3202309138344
1999-04-23,1207.6544399237557
1999-04-26,1214.6800248743004
1999-04-27,1219.3583627492646
1999-04-28,1222.597569262854
1999-04-29,1227.9053384710571
1999-04-30,1232.0786742834134
1999-05-03,1235.9755227596115
1999-05-04,1234.731418385891
1999-05-05,1225.7010611222265
1999-05-06,1234.9004126039615
1999-05-07,1227.4399022659038
1999-05-10,1226.148471947615
1999-05-11,1226.8741022317981
1999-05-12,1229.3241229846994
1999-05-13,1231.8691101710242
