Date,EAFE ex JAPAN EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0001977073405
1999-01-04,1016.9499361860311
1999-01-05,1021.2749231492588
1999-01-06,1042.528644620672
1999-01-07,1040.59911230463
1999-01-08,1049.3639522979663
1999-01-11,1047.4814346879093
1999-01-12,1036.5930988547059
1999-01-13,999.8054922353876
1999-01-14,998.68004953916
1999-01-15,1007.7821708490748
1999-01-18,1019.501448265541
1999-01-19,1016.2731000606391
1999-01-20,1019.7900498652942
1999-01-21,1011.6568426431324
1999-01-22,994.1698636903951
1999-01-25,990.9701614596775
1999-01-26,994.6166692551166
1999-01-27,1004.8418780216252
1999-01-28,1011.3232753003616
1999-01-29,1019.354342372356
1999-02-01,1030.4491100595878
1999-02-02,1030.96256411451
1999-02-03,1027.7645569339927
1999-02-04,1031.71452316136
1999-02-05,1032.739161203272
1999-02-08,1031.9705725813112
1999-02-09,1020.1375609082075
1999-02-10,1008.6496498119003
1999-02-11,1019.88730261078
1999-02-12,1025.570587158808
1999-02-15,1026.8522306418677
1999-02-16,1030.7316752903234
1999-02-17,1023.1648704217275
1999-02-18,1021.3928209833915
1999-02-19,1030.9985564807087
1999-02-22,1037.692367202573
1999-02-23,1042.3194568710694
1999-02-24,1045.6185865286207
1999-02-25,1037.915613655599
1999-02-26,1039.170400021154
1999-03-01,1038.0527492866115
1999-03-02,1039.8588035918692
1999-03-03,1039.0778621618695
1999-03-04,1044.2228932866558
1999-03-05,1058.502587303261
1999-03-08,1056.5706129263897
1999-03-09,1058.3691301493154
1999-03-10,1057.9111760809212
1999-03-11,1070.8602431688853
1999-03-12,1073.3345861668026
1999-03-15,1071.4679772846878
1999-03-16,1073.2617160913176
1999-03-17,1066.191331049532
1999-03-18,1064.8082218871
1999-03-19,1077.2999691694042
1999-03-22,1075.3583823014112
1999-03-23,1068.8929633759244
1999-03-24,1060.3845944009233
1999-03-25,1073.381214787852
1999-03-26,1075.6296061469063
1999-03-29,1082.015246564665
1999-03-30,1080.126367073004
1999-03-31,1085.0156049192074
1999-04-01,1084.7596910365387
1999-04-02,1084.9408349069672
1999-04-05,1087.8361375859095
1999-04-06,1092.2326248772347
1999-04-07,1098.1541833235385
1999-04-08,1101.3081827130857
1999-04-09,1111.8666665790847
1999-04-12,1106.5570538093841
1999-04-13,1120.910364678285
1999-04-14,1126.067413018963
1999-04-15,1136.8351358439327
1999-04-16,1150.9436167704373
1999-04-19,1175.0782121478198
1999-04-20,1154.636439992138
1999-04-21,1160.3887490166123
1999-04-22,1170.6727818691547
1999-04-23,1169.0636917582149
1999-04-26,1175.2720303471508
1999-04-27,1187.462415923506
1999-04-28,1184.058150376194
1999-04-29,1187.8726252758693
1999-04-30,1198.1917457309305
1999-05-03,1205.2864417476574
1999-05-04,1210.1721038819996
1999-05-05,1201.4795157573153
1999-05-06,1201.4623737261657
1999-05-07,1193.4808777385356
1999-05-10,1190.005007223781
1999-05-11,1194.4002898950487
1999-05-12,1192.7896879982698
1999-05-13,1197.8934348939122
1999-05-14,1186.1717170263755
1999-05-17,1171.6498673439128
1999-05-18,1178.9454097095957
1999-05-19,1182.3895361363584
1999-05-20,1189.0126690980296
1999-05-21,1190.3053276903993
1999-05-24,1189.8267224486624
1999-05-25,1176.0546564426027
