Date,NORTH AMERICA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1000.7206696910274
1999-01-05,1013.1204355946245
1999-01-06,1042.106345781634
1999-01-07,1044.1716414209268
1999-01-08,1064.6555427869382
1999-01-11,1062.1051956898582
1999-01-12,1043.0708694744562
1999-01-13,1017.2484498405746
1999-01-14,1001.8503466491769
1999-01-15,1033.5753475567155
1999-01-18,1032.7404139061473
1999-01-19,1029.9597582545946
1999-01-20,1028.3904406611443
1999-01-21,1018.1082714525937
1999-01-22,1007.5802323475357
1999-01-25,1012.7858995469076
1999-01-26,1013.4686527413097
1999-01-27,1009.8702105284489
1999-01-28,1023.9054409836785
1999-01-29,1039.6274388578875
1999-02-01,1042.1079829150692
1999-02-02,1028.1686755096366
1999-02-03,1037.0598544495351
1999-02-04,1038.5176971122398
1999-02-05,1038.945340072381
1999-02-08,1044.8865599544022
1999-02-09,1019.6697427243251
1999-02-10,1018.1445248608179
1999-02-11,1034.8236836184446
1999-02-12,1023.3862556431897
1999-02-15,1027.3494349822963
1999-02-16,1033.5891624649753
1999-02-17,1016.4096540997622
1999-02-18,1026.3925888834412
1999-02-19,1041.665509226859
1999-02-22,1066.9564675572321
1999-02-23,1069.3495705075882
1999-02-24,1061.6923141320772
1999-02-25,1045.791719981057
1999-02-26,1050.7665070858127
1999-03-01,1053.328834624074
1999-03-02,1049.3402821441255
1999-03-03,1048.7834803490728
1999-03-04,1069.3115583782308
1999-03-05,1085.539208997431
1999-03-08,1086.2999087775208
1999-03-09,1080.3998648603624
1999-03-10,1081.8785162723823
1999-03-11,1100.3838126819908
1999-03-12,1088.893079706528
1999-03-15,1093.4655084909477
1999-03-16,1095.4454487971516
1999-03-17,1084.60554447788
1999-03-18,1098.0652003136177
1999-03-19,1098.1415306227814
1999-03-22,1098.2883972153384
1999-03-23,1074.9843586354193
1999-03-24,1080.1181455622811
1999-03-25,1097.8626263944957
1999-03-26,1109.2595632628068
1999-03-29,1123.574941820571
1999-03-30,1106.4441207028235
1999-03-31,1098.5213674647985
1999-04-01,1100.7340192596307
1999-04-02,1104.0577484534144
1999-04-05,1124.608929733842
1999-04-06,1111.8856290286087
1999-04-07,1109.2568739932128
1999-04-08,1115.707383672501
1999-04-09,1126.3705000339032
1999-04-12,1129.9061457565776
1999-04-13,1137.5293394711389
1999-04-14,1146.6614433590446
1999-04-15,1174.9636757357687
1999-04-16,1191.449707105596
1999-04-19,1207.824589279291
1999-04-20,1198.1658004301346
1999-04-21,1222.3091234559897
1999-04-22,1228.5354013446479
1999-04-23,1223.994882209211
1999-04-26,1225.4731627680103
1999-04-27,1228.8521284950016
1999-04-28,1241.631020924319
1999-04-29,1253.3218463681612
1999-04-30,1248.0661353612838
1999-05-03,1274.1179037724473
1999-05-04,1260.689305529934
1999-05-05,1258.4443846763475
1999-05-06,1243.69952155795
1999-05-07,1245.2475853932244
1999-05-10,1241.9547830801541
1999-05-11,1257.7746896362607
1999-05-12,1261.724175265969
1999-05-13,1271.5749549452612
1999-05-14,1242.031502754898
1999-05-17,1240.5550816518341
1999-05-18,1235.0950692149393
1999-05-19,1246.1210601310959
1999-05-20,1250.5255698267365
1999-05-21,1258.9785635765556
1999-05-24,1244.8218600565922
1999-05-25,1222.345770901757
1999-05-26,1243.0708852159141
1999-05-27,1225.4210745612822
1999-05-28,1237.9628534295216
1999-05-31,1242.0357646915793
1999-06-01,1238.8377949983592
1999-06-02,1255.1468848446302
1999-06-03,1261.550598109344
1999-06-04,1284.635255231247
1999-06-07,1293.3867994059692
1999-06-08,1266.1661382946193
1999-06-09,1262.1027404546717
1999-06-10,1249.8790298388374
1999-06-11,1246.8760006758532
1999-06-14,1256.82766717622
1999-06-15,1262.5000417124106
1999-06-16,1288.3169871724328
1999-06-17,1292.0378000243636
1999-06-18,1288.592438524764
1999-06-21,1294.5634051231948
1999-06-22,1287.2436388373908
1999-06-23,1284.1561327784118
1999-06-24,1263.857232379449
1999-06-25,1252.7877605627523
1999-06-28,1274.6576762084233
1999-06-29,1289.3689688922948
1999-06-30,1301.416139383289
1999-07-01,1316.7301693380225
1999-07-02,1331.649215740922
1999-07-05,1334.1508396367167
1999-07-06,1326.8811660108508
1999-07-07,1327.2006745166857
1999-07-08,1331.797840378138
1999-07-09,1339.6796464335807
1999-07-12,1341.1477947480873
1999-07-13,1328.1739318092548
1999-07-14,1331.7328297809431
1999-07-15,1330.3682838839018
1999-07-16,1338.2309069686946
1999-07-19,1336.4149564143672
1999-07-20,1288.209292613394
1999-07-21,1276.2840480369193
1999-07-22,1271.4876644403912
1999-07-23,1270.8699806342895
1999-07-26,1240.0462171753402
1999-07-27,1252.0477055180163
1999-07-28,1254.308386927119
1999-07-29,1225.7468295201638
1999-07-30,1224.4380451054628
1999-08-02,1228.5937035583433
