Date,WORLD ex EUROPE EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,990.3408545927813
1999-01-05,996.1695572923495
1999-01-06,1019.699775458012
1999-01-07,1033.1542989286252
1999-01-08,1046.1975193525316
1999-01-11,1054.3986975339644
1999-01-12,1035.8305340428838
1999-01-13,1005.6049182703015
1999-01-14,1002.1856200367575
1999-01-15,1022.9445379864648
1999-01-18,1021.9631742215017
1999-01-19,1021.9401749546126
1999-01-20,1028.5133540289546
1999-01-21,1025.0663174202605
1999-01-22,1009.8022369664303
1999-01-25,1013.3270440885007
1999-01-26,1018.6875268374263
1999-01-27,1018.5907195407591
1999-01-28,1022.5163576395777
1999-01-29,1037.3492671476945
1999-02-01,1044.3929335549378
1999-02-02,1041.6447619376972
1999-02-03,1042.1425041407833
1999-02-04,1044.9454369675593
1999-02-05,1039.3935478021922
1999-02-08,1041.7836442444266
1999-02-09,1021.4009630594428
1999-02-10,1017.7808909708643
1999-02-11,1031.0055857396246
1999-02-12,1027.7748256722716
1999-02-15,1030.4562061824854
1999-02-16,1029.9948612913806
1999-02-17,1013.3269801067229
1999-02-18,1014.7348833611253
1999-02-19,1026.22732032905
1999-02-22,1047.0688010748227
1999-02-23,1050.2160812745092
1999-02-24,1044.7985296820148
1999-02-25,1039.4340388205085
1999-02-26,1047.483102482229
1999-03-01,1047.5343159146682
1999-03-02,1036.034091502956
1999-03-03,1036.9761293269632
1999-03-04,1045.7724878128931
1999-03-05,1071.2386654505488
1999-03-08,1069.8012534909153
1999-03-09,1074.3339454456514
1999-03-10,1085.9670721824466
1999-03-11,1104.5890141165746
1999-03-12,1099.4225430920787
1999-03-15,1114.4759451749478
1999-03-16,1130.1080068330875
1999-03-17,1118.731314777743
1999-03-18,1115.2772311450585
1999-03-19,1135.1107511493522
1999-03-22,1134.4614107127477
1999-03-23,1122.0095179135851
1999-03-24,1114.8035527688107
1999-03-25,1135.6182846224556
1999-03-26,1144.2664621293316
1999-03-29,1153.4399550482653
1999-03-30,1137.1348264633446
1999-03-31,1142.571024533317
1999-04-01,1148.78441494691
1999-04-02,1147.7681732788346
1999-04-05,1159.552559652013
1999-04-06,1162.031379503526
1999-04-07,1162.502815368923
1999-04-08,1172.5832831049456
1999-04-09,1182.7748988816993
1999-04-12,1178.463827262513
1999-04-13,1194.3049695794182
1999-04-14,1208.926789615172
1999-04-15,1226.2140445439654
1999-04-16,1250.7264566576248
1999-04-19,1269.1887024501532
1999-04-20,1254.3611278715853
1999-04-21,1258.7727814820412
1999-04-22,1265.7444036299023
1999-04-23,1266.5552024592034
1999-04-26,1273.0611896692833
1999-04-27,1272.3530103035807
1999-04-28,1282.1953333570382
1999-04-29,1291.8873433677293
1999-04-30,1290.5692690547803
1999-05-03,1302.9431943438703
1999-05-04,1292.3338898053048
1999-05-05,1287.4944648943601
1999-05-06,1293.7647968733718
1999-05-07,1288.534612435059
1999-05-10,1286.7684843371953
1999-05-11,1292.102968328084
1999-05-12,1300.894786124366
1999-05-13,1303.754181649582
1999-05-14,1281.475831297077
1999-05-17,1265.5345765783047
1999-05-18,1265.0266729430464
1999-05-19,1255.4090598243736
1999-05-20,1258.6958717814687
1999-05-21,1271.023828727088
1999-05-24,1266.6242819800866
1999-05-25,1249.504448829155
1999-05-26,1269.0125926543715
1999-05-27,1261.6831691939587
1999-05-28,1266.4469800008246
1999-05-31,1270.4153533332606
1999-06-01,1275.3406107757526
1999-06-02,1291.8498113483647
1999-06-03,1289.3975647836107
1999-06-04,1303.8239823240244
1999-06-07,1318.3825127389607
1999-06-08,1305.4426515277269
1999-06-09,1309.2864327212083
1999-06-10,1310.5572803963137
1999-06-11,1316.8464867926477
1999-06-14,1316.2531843357922
1999-06-15,1320.14507771989
1999-06-16,1340.2925183606362
1999-06-17,1351.5820294554135
1999-06-18,1340.3688117220672
1999-06-21,1350.4701293885448
1999-06-22,1351.1574758613262
1999-06-23,1344.9130527861746
1999-06-24,1330.6521154618672
1999-06-25,1317.498273572333
1999-06-28,1337.8445605116872
1999-06-29,1350.4736014751531
1999-06-30,1352.3575126907624
1999-07-01,1375.0406997567873
1999-07-02,1390.540686644504
1999-07-05,1390.9312854626842
1999-07-06,1386.3506009322846
1999-07-07,1383.6502076234717
1999-07-08,1387.438098670906
1999-07-09,1391.5993766960369
1999-07-12,1398.5182522448115
1999-07-13,1389.793548262473
1999-07-14,1393.0546132714592
1999-07-15,1393.2277289658784
1999-07-16,1390.0516605197638
1999-07-19,1403.319174965306
1999-07-20,1363.558787660984
1999-07-21,1352.538954761315
1999-07-22,1341.5380859950214
1999-07-23,1338.7543734197955
1999-07-26,1307.465572328992
1999-07-27,1313.4181642198505
1999-07-28,1321.0283727798353
1999-07-29,1309.8409177456138
1999-07-30,1316.001562036852
1999-08-02,1318.3056856381131
