Date,EAFE EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0001350047025
1999-01-04,1002.915303251962
1999-01-05,1005.1193500448641
1999-01-06,1022.9019779392198
1999-01-07,1028.7434698476702
1999-01-08,1034.481310438834
1999-01-11,1040.5785364679105
1999-01-12,1025.1803793688318
1999-01-13,990.2076627110638
1999-01-14,994.685290820197
1999-01-15,1002.4549115229
1999-01-18,1008.9906578219953
1999-01-19,1008.099059835798
1999-01-20,1016.0879543520338
1999-01-21,1014.4586614432407
1999-01-22,996.5762657933631
1999-01-25,998.4371648018345
1999-01-26,1004.3383497978203
1999-01-27,1010.8396182537383
1999-01-28,1013.4060766990248
1999-01-29,1023.5204998508061
1999-02-01,1034.8715741026817
1999-02-02,1040.0970007305318
1999-02-03,1034.2572267925666
1999-02-04,1037.244542724474
1999-02-05,1033.161924334567
1999-02-08,1032.3547804370696
1999-02-09,1018.7753369449707
1999-02-10,1011.053076974504
1999-02-11,1020.0226608617968
1999-02-12,1025.5104690533788
1999-02-15,1026.606904650958
1999-02-16,1026.5011850616834
1999-02-17,1015.0180698978594
1999-02-18,1011.036537016765
1999-02-19,1017.753316394258
1999-02-22,1028.4850328672003
1999-02-23,1033.0903557030001
1999-02-24,1033.9700849997294
1999-02-25,1032.3583884611467
1999-02-26,1037.5872757021352
1999-03-01,1034.5165405001321
1999-03-02,1027.873092796649
1999-03-03,1028.1098750362003
1999-03-04,1029.1199788260928
1999-03-05,1052.779180270581
1999-03-08,1049.5668130706542
1999-03-09,1056.12956002397
1999-03-10,1064.9757379782195
1999-03-11,1080.7496934692706
1999-03-12,1082.7817620729545
1999-03-15,1092.4037553875926
1999-03-16,1107.0870296816734
1999-03-17,1098.9118556691724
1999-03-18,1089.1094617208457
1999-03-19,1112.6849717789485
1999-03-22,1109.499875503976
1999-03-23,1103.409783546838
1999-03-24,1090.820812563781
1999-03-25,1108.9307128869148
1999-03-26,1111.3503499699907
1999-03-29,1117.7574541395188
1999-03-30,1109.4582116708186
1999-03-31,1121.363673937426
1999-04-01,1124.4478588356812
1999-04-02,1122.2650983258666
1999-04-05,1124.235719340972
1999-04-06,1135.3497443995814
1999-04-07,1139.9114071794509
