Date,KOKUSAI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0001179463467
1999-01-04,1010.402569648787
1999-01-05,1017.9796070566243
1999-01-06,1042.3464371061114
1999-01-07,1042.0253448736232
1999-01-08,1055.510505032775
1999-01-11,1053.3584369139694
1999-01-12,1039.188277202913
1999-01-13,1006.8179194888345
1999-01-14,999.9444256907856
1999-01-15,1018.1588404016392
1999-01-18,1024.8213348953059
1999-01-19,1021.7729282753187
1999-01-20,1023.2441816987514
1999-01-21,1014.2469823121164
1999-01-22,999.5599239777075
1999-01-25,999.7426174204941
1999-01-26,1002.196519064377
1999-01-27,1006.8630341304072
1999-01-28,1016.3815549571755
1999-01-29,1027.5088545273566
1999-02-01,1035.1335224439167
1999-02-02,1029.8191949459206
1999-02-03,1031.494001265104
1999-02-04,1034.4381024601478
1999-02-05,1035.222002959916
1999-02-08,1037.16177922477
1999-02-09,1019.9249863859861
1999-02-10,1012.4595545685771
1999-02-11,1025.8939095793764
1999-02-12,1024.6682739230785
1999-02-15,1027.0324854600583
1999-02-16,1031.863695406189
1999-02-17,1020.4180979908389
1999-02-18,1023.3900013423411
1999-02-19,1035.281624313576
1999-02-22,1049.48073921313
1999-02-23,1053.2049388619437
1999-02-24,1052.0815519714488
1999-02-25,1041.0708037902282
1999-02-26,1043.8298842646775
1999-03-01,1044.183763463944
1999-03-02,1043.6721379914973
1999-03-03,1042.9808347804658
1999-03-04,1054.2786037108633
1999-03-05,1069.3377167967471
1999-03-08,1068.4824666456948
1999-03-09,1067.2021804244616
1999-03-10,1067.516505975958
1999-03-11,1082.6819038374063
1999-03-12,1079.58713103809
1999-03-15,1080.288166826675
1999-03-16,1082.1562697289837
1999-03-17,1073.5815999119257
1999-03-18,1078.1176774713854
1999-03-19,1085.6664931968683
1999-03-22,1084.5563450584148
1999-03-23,1071.3844448617613
1999-03-24,1068.3087544709315
1999-03-25,1083.1964963718435
1999-03-26,1089.0882203734586
1999-03-29,1098.6319088763146
1999-03-30,1090.673033871639
1999-03-31,1090.4547398939776
1999-04-01,1091.1827797574067
1999-04-02,1092.6149929756139
1999-04-05,1102.5391985664598
1999-04-06,1100.1263645397892
1999-04-07,1102.646407175146
1999-04-08,1107.1120970473073
1999-04-09,1117.7129297888544
1999-04-12,1115.9219313938008
1999-04-13,1127.5981523928342
1999-04-14,1134.33738369126
1999-04-15,1152.0845163337408
1999-04-16,1167.140171256219
1999-04-19,1188.1866202163667
1999-04-20,1172.03728229688
1999-04-21,1185.1191297520734
1999-04-22,1193.7864817314064
1999-04-23,1191.009133548935
1999-04-26,1195.338404465768
1999-04-27,1204.0275682410063
1999-04-28,1207.0587327826677
1999-04-29,1214.005630933959
1999-04-30,1218.132036726864
1999-05-03,1232.7681423940078
1999-05-04,1230.368197242371
1999-05-05,1224.239769698753
1999-05-06,1218.3663935296495
1999-05-07,1214.1782340139976
1999-05-10,1210.7754440202398
1999-05-11,1219.7205968720655
1999-05-12,1220.323529814643
1999-05-13,1227.319763951957
1999-05-14,1208.4936945549941
1999-05-17,1199.1815803807003
1999-05-18,1201.383765024309
1999-05-19,1207.8558321861265
1999-05-20,1213.593171003616
1999-05-21,1217.7454184161577
1999-05-24,1211.8076160804803
1999-05-25,1194.5604105323175
1999-05-26,1204.2880841491228
1999-05-27,1194.9195719535564
1999-05-28,1198.7479897645364
1999-05-31,1201.6507717247616
1999-06-01,1201.1318078526472
1999-06-02,1212.1744025195335
1999-06-03,1218.468320918462
1999-06-04,1231.9098052482766
1999-06-07,1240.9428812998835
1999-06-08,1229.3710832185814
1999-06-09,1229.765698023328
1999-06-10,1221.5360568677374
1999-06-11,1226.1185990168663
1999-06-14,1228.9064742581918
1999-06-15,1230.8182396486716
1999-06-16,1246.5537793040135
1999-06-17,1250.7212150567088
1999-06-18,1249.8535118837397
1999-06-21,1260.1544993807852
1999-06-22,1256.036460887275
1999-06-23,1250.423617141138
1999-06-24,1238.3839207243998
1999-06-25,1229.4906364932735
1999-06-28,1241.292124097158
1999-06-29,1248.395286841634
1999-06-30,1251.778996079655
1999-07-01,1269.00081544362
1999-07-02,1280.0953156330654
1999-07-05,1288.6063363652104
1999-07-06,1283.5402463056341
1999-07-07,1280.891890569559
1999-07-08,1284.534711871202
1999-07-09,1288.6778163883416
1999-07-12,1290.8701880188737
1999-07-13,1276.772842244917
1999-07-14,1277.9834032402914
1999-07-15,1282.9039741652016
1999-07-16,1283.0163732634655
1999-07-19,1282.3592230832853
1999-07-20,1252.780330429454
1999-07-21,1238.5760280013728
1999-07-22,1234.4203594959731
1999-07-23,1228.8111328056934
1999-07-26,1206.649315159253
1999-07-27,1213.2624131856087
1999-07-28,1217.4958423556498
1999-07-29,1199.4778485535207
1999-07-30,1206.9777952820905
1999-08-02,1206.5567217998855
1999-08-03,1206.6491054292203
1999-08-04,1198.0671418319512
1999-08-05,1186.7196412139613
1999-08-06,1184.4662835322297
1999-08-09,1192.0632178933688
1999-08-10,1177.9037127740633
1999-08-11,1191.6734322612772
1999-08-12,1201.5819960785075
1999-08-13,1218.251823675672
1999-08-16,1223.0618056612436
1999-08-17,1228.6208030904181
1999-08-18,1224.6149610884656
1999-08-19,1215.0742825010539
1999-08-20,1223.02763067644
1999-08-23,1237.936142423299
1999-08-24,1238.3935593301157
1999-08-25,1247.23862584412
1999-08-26,1244.8176521544694
1999-08-27,1239.8331302467893
1999-08-30,1233.9104814081365
1999-08-31,1214.7728538969898
1999-09-01,1220.3274283117726
1999-09-02,1203.570347468441
1999-09-03,1226.8387553722112
1999-09-06,1233.1721176366077
1999-09-07,1230.852659518746
1999-09-08,1228.0081497947656
1999-09-09,1237.7256296268786
1999-09-10,1246.1825842118762
1999-09-13,1246.8152466330766
1999-09-14,1237.4330760490586
1999-09-15,1229.674328020794
1999-09-16,1222.558708330131
1999-09-17,1227.839561207076
1999-09-20,1227.0296849551287
1999-09-21,1208.0044089959952
1999-09-22,1200.0673957573038
1999-09-23,1200.3007427398584
1999-09-24,1188.388955108341
1999-09-27,1199.392006629809
1999-09-28,1191.4355050961003
1999-09-29,1179.518197011039
1999-09-30,1182.064530123566
1999-10-01,1177.4538633373916
1999-10-04,1187.691706920808
1999-10-05,1189.0515499478236
1999-10-06,1192.2888777721735
1999-10-07,1192.7993492394353
1999-10-08,1199.9015792955265
1999-10-11,1197.932788468168
1999-10-12,1180.6392975208976
1999-10-13,1164.4948212635393
1999-10-14,1162.863814597508
1999-10-15,1136.2569289690462
1999-10-18,1130.4308000518467
1999-10-19,1139.8725450064778
1999-10-20,1147.8676566719118
1999-10-21,1140.6983391349322
1999-10-22,1159.3789382155114
1999-10-25,1159.0829176906802
1999-10-26,1162.8005801045783
1999-10-27,1165.919032498174
1999-10-28,1184.6961797208883
1999-10-29,1202.1261228762362
1999-11-01,1202.128069347762
1999-11-02,1202.5122807225462
1999-11-03,1205.4203937137809
1999-11-04,1211.5160873055988
1999-11-05,1215.6645310291235
1999-11-08,1216.615471127741
1999-11-09,1211.6440145531703
1999-11-10,1214.441651667767
1999-11-11,1221.7899663406743
1999-11-12,1235.4259969155303
1999-11-15,1243.0079042768584
1999-11-16,1250.4028295443425
1999-11-17,1243.5644239702592
1999-11-18,1253.1951669039695
1999-11-19,1251.9389768250826
1999-11-22,1242.7634068742104
1999-11-23,1242.8215289049954
1999-11-24,1248.373737787465
1999-11-25,1256.605550194535
1999-11-26,1263.2436110398826
1999-11-29,1263.9768625397828
1999-11-30,1253.5708646928326
1999-12-01,1256.815976421441
1999-12-02,1268.7324675527545
1999-12-03,1286.568721618059
1999-12-06,1267.6301082026168
1999-12-07,1264.8690640262687
1999-12-08,1261.7802840579714
1999-12-09,1269.495942115169
1999-12-10,1270.764282802581
1999-12-13,1274.61120995248
1999-12-14,1277.4771254431623
1999-12-15,1277.598690903546
1999-12-16,1273.325871064936
1999-12-17,1286.5076684589546
