Date,EUROPE ex UK EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0003242792855
1999-01-04,1034.3506418201332
1999-01-05,1039.08328974478
1999-01-06,1052.838011132431
1999-01-07,1042.4083463435563
1999-01-08,1046.861536020459
1999-01-11,1039.582854448611
1999-01-12,1025.7785618286316
1999-01-13,987.2276198366949
1999-01-14,988.9483246897505
1999-01-15,993.4509062999774
1999-01-18,1007.0543291015965
1999-01-19,1004.5707020312996
1999-01-20,1007.5402293325225
1999-01-21,1000.9464200336917
1999-01-22,984.3296562578165
1999-01-25,984.4479819197965
1999-01-26,985.2599943950667
1999-01-27,992.6576856808762
1999-01-28,1001.0916514101654
1999-01-29,1006.5246937691019
1999-02-01,1011.6056956066788
1999-02-02,1007.5791891312678
1999-02-03,1005.2563510821717
1999-02-04,1005.9518390197802
1999-02-05,1010.7900916206127
1999-02-08,1009.4612426110599
1999-02-09,996.7525472951454
1999-02-10,987.1659695044466
1999-02-11,995.9726925434708
1999-02-12,1001.3574140487785
1999-02-15,1000.8645387321922
1999-02-16,1003.0637502248982
1999-02-17,995.3286522330967
1999-02-18,994.7796694822867
1999-02-19,1000.5373734901087
1999-02-22,1007.4047448726634
1999-02-23,1013.2241302234436
1999-02-24,1016.2956832605134
1999-02-25,1009.6804343298165
1999-02-26,1006.3514440485922
1999-03-01,1000.9750763375097
1999-03-02,1002.5972827022723
1999-03-03,998.8214832780866
1999-03-04,1001.7297094394291
1999-03-05,1018.0446534322493
1999-03-08,1014.8449459125304
1999-03-09,1012.3986888998019
1999-03-10,1007.6175691452399
1999-03-11,1016.8434593065786
1999-03-12,1019.4915328927453
1999-03-15,1021.4135327198675
1999-03-16,1023.5714261310848
1999-03-17,1022.5303419563159
1999-03-18,1021.8087344780741
1999-03-19,1030.584932730948
1999-03-22,1025.1785644393121
1999-03-23,1014.1122427463055
1999-03-24,1005.0344196653115
1999-03-25,1020.6823708956975
1999-03-26,1017.479451131853
1999-03-29,1025.3607244936097
1999-03-30,1024.286004990373
1999-03-31,1032.3445592115104
1999-04-01,1032.642692394776
1999-04-02,1032.6514819013216
1999-04-05,1032.6893564629993
1999-04-06,1043.0468364439687
1999-04-07,1045.8832194568795
1999-04-08,1048.4157047890951
1999-04-09,1052.1524807725893
1999-04-12,1047.5213254154537
1999-04-13,1056.5000728239197
1999-04-14,1059.89781208011
1999-04-15,1063.970414491364
1999-04-16,1066.8735710706517
1999-04-19,1084.9431975805958
1999-04-20,1068.8745229981955
1999-04-21,1075.3569272845332
1999-04-22,1079.2758968272913
1999-04-23,1078.427935703748
1999-04-26,1083.490512825969
1999-04-27,1097.082571328016
1999-04-28,1094.6035452196083
1999-04-29,1098.0046653024738
1999-04-30,1101.828451136342
1999-05-03,1109.0145870744295
1999-05-04,1112.4095266532463
1999-05-05,1103.2461906032802
1999-05-06,1101.364089072723
1999-05-07,1102.57666235776
1999-05-10,1105.0424832645508
1999-05-11,1108.3504086994499
1999-05-12,1102.8244054920076
1999-05-13,1106.1563413273182
1999-05-14,1096.6699275147728
1999-05-17,1081.7657008705214
1999-05-18,1087.2856701984401
1999-05-19,1096.8910562847047
1999-05-20,1106.7155784125584
1999-05-21,1106.019004998197
1999-05-24,1105.6113247369633
1999-05-25,1096.5482534674125
1999-05-26,1095.086232529766
1999-05-27,1086.4907066878534
1999-05-28,1083.7412714639734
1999-05-31,1087.362736642117
1999-06-01,1087.9023970952423
1999-06-02,1087.8939303192496
1999-06-03,1093.2276979545586
1999-06-04,1097.996246910418
1999-06-07,1105.3631619349117
1999-06-08,1108.023321529359
1999-06-09,1111.5269983263195
1999-06-10,1105.3770346378271
1999-06-11,1111.533693681924
1999-06-14,1105.4896401331216
1999-06-15,1108.463903339745
1999-06-16,1111.9341462825175
1999-06-17,1114.6254489181551
1999-06-18,1119.709018225749
1999-06-21,1127.5583302581833
1999-06-22,1123.250390348765
1999-06-23,1115.4291448832128
1999-06-24,1111.1752987598315
1999-06-25,1107.1803953771155
1999-06-28,1110.5255793006313
1999-06-29,1114.6499284012748
1999-06-30,1112.3137798394405
1999-07-01,1124.6731373792152
1999-07-02,1127.3668996333417
1999-07-05,1141.653520073041
1999-07-06,1136.8639113086767
1999-07-07,1134.2380787119214
1999-07-08,1133.4630112283446
1999-07-09,1138.5379335778794
1999-07-12,1141.1275519228384
1999-07-13,1129.2290672967702
1999-07-14,1132.577249215644
1999-07-15,1142.6408837494107
1999-07-16,1139.5080521455334
1999-07-19,1141.2295364580732
1999-07-20,1127.7615168475238
1999-07-21,1116.0688783484463
1999-07-22,1109.0368626041745
1999-07-23,1102.7589436161459
1999-07-26,1092.644911140554
1999-07-27,1093.724137603842
1999-07-28,1094.479851411004
1999-07-29,1079.20212960013
1999-07-30,1093.5082116915817
1999-08-02,1087.0745337853314
1999-08-03,1087.507370766411
1999-08-04,1087.0682241506377
1999-08-05,1074.8731248067177
1999-08-06,1075.469561197332
1999-08-09,1084.4970343530115
1999-08-10,1076.4512779565669
1999-08-11,1084.1860748771858
1999-08-12,1100.1423624637348
