Date,EAFE ex UK EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0001565084456
1999-01-04,1006.0248868127894
1999-01-05,1007.8116011531891
1999-01-06,1023.7083933009823
1999-01-07,1031.7254649483866
1999-01-08,1036.6459136741298
1999-01-11,1043.1226631175057
1999-01-12,1027.1038223236374
1999-01-13,990.5070607798934
1999-01-14,995.9687827294807
1999-01-15,1003.0213458889176
1999-01-18,1008.9998080389176
1999-01-19,1009.2637441356436
1999-01-20,1018.4389993092864
1999-01-21,1017.1185190280022
1999-01-22,998.6757687436294
1999-01-25,999.6592772956159
1999-01-26,1005.3180817245988
1999-01-27,1010.7060891562231
1999-01-28,1011.4236340759368
1999-01-29,1021.2401613671342
1999-02-01,1029.7691121477146
1999-02-02,1032.3802318012677
1999-02-03,1027.0355852321754
1999-02-04,1029.5402328288203
1999-02-05,1025.814321645864
1999-02-08,1024.512602367945
1999-02-09,1010.4201593523491
1999-02-10,1002.7991684419025
1999-02-11,1012.0479610126755
1999-02-12,1017.3574904388787
1999-02-15,1017.8210504262195
1999-02-16,1015.0702584386153
1999-02-17,1002.9906187733321
1999-02-18,998.877056471569
1999-02-19,1005.5843496855941
1999-02-22,1017.299738174131
1999-02-23,1022.141686397093
1999-02-24,1022.0215036711917
1999-02-25,1021.6735560430797
1999-02-26,1025.8692384010901
1999-03-01,1021.9644944181385
1999-03-02,1012.9824524633744
1999-03-03,1012.3953201836883
1999-03-04,1012.2324918000716
1999-03-05,1038.019182542566
1999-03-08,1034.5802931750939
1999-03-09,1041.1069113335434
1999-03-10,1049.950628015471
1999-03-11,1064.0403671360439
1999-03-12,1065.9565608132082
1999-03-15,1079.9945895013502
1999-03-16,1096.081025189943
1999-03-17,1089.481019221783
1999-03-18,1078.6444560675345
1999-03-19,1103.2290254827133
1999-03-22,1099.8413307616272
1999-03-23,1093.6448678035308
1999-03-24,1079.1751895896175
1999-03-25,1099.043690645149
1999-03-26,1100.4773991581244
1999-03-29,1106.372272014492
1999-03-30,1097.9600534801798
1999-03-31,1111.5634793140182
1999-04-01,1116.9362857409697
1999-04-02,1114.1914589630803
1999-04-05,1115.706452531056
1999-04-06,1129.8592704275184
1999-04-07,1133.0838421715303
1999-04-08,1141.3336765801175
1999-04-09,1148.1224239828991
1999-04-12,1139.6198248270057
1999-04-13,1156.3269662542132
1999-04-14,1168.2744642746609
1999-04-15,1173.4276940160764
1999-04-16,1191.4850883312665
1999-04-19,1210.8331914980392
1999-04-20,1192.7356319725525
1999-04-21,1188.0027215036896
1999-04-22,1193.8639657532312
1999-04-23,1196.617480055726
1999-04-26,1204.995370141208
1999-04-27,1209.2101631979315
1999-04-28,1211.5041698504822
1999-04-29,1217.0883529564953
1999-04-30,1220.3127032162054
1999-05-03,1223.137905836274
1999-05-04,1220.8361214582035
1999-05-05,1212.544312221161
1999-05-06,1225.5872399350897
1999-05-07,1220.035999802362
1999-05-10,1221.128008584946
1999-05-11,1220.0873651722488
1999-05-12,1224.3502778841041
1999-05-13,1223.8571438962704
1999-05-14,1211.5676998350252
1999-05-17,1188.6944446547857
1999-05-18,1193.6785768656907
1999-05-19,1182.8343650358213
1999-05-20,1188.7397559176127
1999-05-21,1196.7003697842392
1999-05-24,1199.2671140530588
1999-05-25,1188.838197796473
1999-05-26,1197.4754077574562
1999-05-27,1194.8307452568479
1999-05-28,1191.9109679966618
1999-05-31,1195.656314185606
1999-06-01,1202.4317163699102
1999-06-02,1210.4361179550363
1999-06-03,1207.5636525270413
1999-06-04,1212.5778144556605
1999-06-07,1226.3848932851377
1999-06-08,1228.8321903344718
1999-06-09,1236.5319956430653
1999-06-10,1240.7530846019224
1999-06-11,1251.7147072153243
1999-06-14,1242.9098725838473
1999-06-15,1245.4392643438146
1999-06-16,1254.0562726675794
1999-06-17,1264.7188780597378
1999-06-18,1258.0769157316236
1999-06-21,1269.1428954174105
1999-06-22,1271.2668055018848
1999-06-23,1262.5547619174943
1999-06-24,1256.5459130585823
1999-06-25,1247.0835714210434
1999-06-28,1257.8233416972541
1999-06-29,1264.992610527594
1999-06-30,1259.5329227550621
1999-07-01,1280.6414666880391
1999-07-02,1289.7807162723925
1999-07-05,1296.4126536389347
1999-07-06,1293.056613015937
1999-07-07,1288.8526585985082
1999-07-08,1289.8532935772737
1999-07-09,1292.637864277709
1999-07-12,1300.0710997179651
1999-07-13,1291.7724753916154
1999-07-14,1294.9476216322744
1999-07-15,1301.1076014876396
1999-07-16,1292.356591746228
1999-07-19,1307.2448549517023
1999-07-20,1285.3665952051206
1999-07-21,1274.3863408474206
1999-07-22,1262.2765309077467
1999-07-23,1256.5411961858374
1999-07-26,1235.9978043137328
1999-07-27,1236.3695369701566
1999-07-28,1243.1016551746995
1999-07-29,1238.433559214057
1999-07-30,1252.688261992523
1999-08-02,1249.470996391032
1999-08-03,1252.5776518746268
1999-08-04,1244.449936738196
1999-08-05,1227.2914957717558
1999-08-06,1220.7561398438645
1999-08-09,1226.2991202972014
1999-08-10,1221.8349256164379
1999-08-11,1224.4945342716933
1999-08-12,1240.5630554912302
1999-08-13,1248.8879710703159
1999-08-16,1268.3424709652638
1999-08-17,1273.2045771499395
1999-08-18,1275.6332361495515
1999-08-19,1268.097860929094
1999-08-20,1281.7001801236665
1999-08-23,1298.2130393092893
1999-08-24,1298.2948857514089
1999-08-25,1302.5074749434004
1999-08-26,1297.7908651637524
1999-08-27,1293.9473104151134
1999-08-30,1302.415513477357
1999-08-31,1277.21826732466
1999-09-01,1295.3719640112151
1999-09-02,1280.1661887857144
1999-09-03,1290.077984464407
1999-09-06,1300.089923948292
1999-09-07,1291.8068060051028
1999-09-08,1287.1393320988054
1999-09-09,1308.375404430041
1999-09-10,1317.502360365444
1999-09-13,1336.1853639304497
1999-09-14,1328.8156033001005
1999-09-15,1329.785728144964
1999-09-16,1311.9831557872224
1999-09-17,1304.9474407766468
1999-09-20,1310.1710397910563
1999-09-21,1314.0965493611695
1999-09-22,1295.2927848282877
1999-09-23,1302.371683381523
1999-09-24,1278.3645828437252
1999-09-27,1273.2212240155259
1999-09-28,1278.7525337307475
1999-09-29,1263.607437469875
1999-09-30,1277.3531615332813
1999-10-01,1281.8442407372554
1999-10-04,1281.2580125950024
1999-10-05,1280.8221635568834
1999-10-06,1279.0493916585933
1999-10-07,1284.7345270524777
1999-10-08,1289.4526670468088
1999-10-11,1291.4937738522538
1999-10-12,1283.500347460946
1999-10-13,1263.1620924334181
1999-10-14,1262.8723129574944
1999-10-15,1248.0982450333086
1999-10-18,1232.4038881337196
1999-10-19,1240.2429519111288
1999-10-20,1249.5084802781378
1999-10-21,1241.765643359941
1999-10-22,1256.3545900139607
1999-10-25,1264.3128095930965
1999-10-26,1271.4791712066556
1999-10-27,1269.2074366593968
1999-10-28,1272.2041660061975
1999-10-29,1294.1749147489545
1999-11-01,1294.8996942897077
1999-11-02,1298.1305066469663
1999-11-03,1297.9341052482187
1999-11-04,1309.730077173614
1999-11-05,1303.7134778949953
1999-11-08,1300.1689968092521
1999-11-09,1299.4697564139244
1999-11-10,1306.3720944356621
1999-11-11,1299.8821894811545
1999-11-12,1304.199936432213
1999-11-15,1301.838725784081
1999-11-16,1301.3615865156153
1999-11-17,1315.3384402409972
1999-11-18,1330.1520211167062
1999-11-19,1331.2448424435909
1999-11-22,1328.271955796298
1999-11-23,1332.2367575549342
1999-11-24,1327.690469505973
1999-11-25,1328.613552278793
1999-11-26,1348.4038885213106
1999-11-29,1356.7178797044633
1999-11-30,1344.8732982022048
1999-12-01,1352.4889448721196
1999-12-02,1363.8704702067384
1999-12-03,1374.372727525288
1999-12-06,1355.5482002188962
1999-12-07,1360.617834602879
1999-12-08,1354.004648896225
1999-12-09,1361.3702269617304
1999-12-10,1364.218945462747
1999-12-13,1361.698240148852
1999-12-14,1364.9048345432082
1999-12-15,1362.1695510742795
1999-12-16,1357.4236376966226
1999-12-17,1365.1897455838862
1999-12-20,1370.1184325117435
1999-12-21,1366.8276365340944
1999-12-22,1382.8002511912105
1999-12-23,1383.476646908985
1999-12-24,1385.7167630409124
1999-12-27,1389.5486752564289
1999-12-28,1390.6041258288562
1999-12-29,1394.9861726338142
1999-12-30,1403.1440935833705
1999-12-31,1403.1440935833705
2000-01-03,1403.0060445983343
2000-01-04,1361.2751415795954
2000-01-05,1334.84530213023
2000-01-06,1321.1538711286823
2000-01-07,1344.1914445889313
2000-01-10,1360.3285011566043
2000-01-11,1363.678141900854
2000-01-12,1356.634805014853
2000-01-13,1370.4565631873666
2000-01-14,1397.0810760153822
2000-01-17,1417.1044966805337
2000-01-18,1401.2011983450457
