Date,EUROPE ex EMU SMALL CAP
2000-12-29,1000.0
2001-01-01,1000.0
2001-01-02,1004.6706068219054
2001-01-03,995.9304022828184
2001-01-04,1008.7897093955014
2001-01-05,1017.3837138121174
2001-01-08,1017.8356096358539
2001-01-09,1013.04611134484
2001-01-10,1018.3443202923393
2001-01-11,1026.6495374723138
2001-01-12,1027.6748408248693
2001-01-15,1027.9435228429006
2001-01-16,1024.9753189146097
2001-01-17,1032.397077101131
2001-01-18,1043.518337830584
2001-01-19,1050.2455394390886
2001-01-22,1045.9209762494613
2001-01-23,1051.777901850876
2001-01-24,1043.9588615135813
2001-01-25,1046.1029207337967
2001-01-26,1043.5232667167093
2001-01-29,1046.8321428098825
2001-01-30,1051.8064567997587
2001-01-31,1058.597620382938
2001-02-01,1069.7835554235694
2001-02-02,1062.4569119236205
2001-02-05,1063.159049689826
2001-02-06,1060.0633397784168
2001-02-07,1059.5712829101253
2001-02-08,1046.6506030415007
2001-02-09,1042.5007700267017
2001-02-12,1043.6455406317987
2001-02-13,1041.1067302914182
2001-02-14,1033.2151498479454
2001-02-15,1027.5356444978781
2001-02-16,1028.2156568239625
2001-02-19,1026.3347188042867
2001-02-20,1021.5167272781993
2001-02-21,1016.6799249057486
2001-02-22,1010.1793445334376
2001-02-23,1009.5920397222949
2001-02-26,1008.6274670523293
2001-02-27,1014.9026821698362
2001-02-28,1013.1066410555965
2001-03-01,1015.2915803592628
2001-03-02,1026.937794948881
2001-03-05,1026.5958345265533
2001-03-06,1036.8572431169673
2001-03-07,1037.7429345502987
2001-03-08,1040.6040143903251
2001-03-09,1029.8177726010654
2001-03-12,1011.5527648527826
2001-03-13,985.2464460765333
2001-03-14,968.9144918421792
2001-03-15,968.3755447995568
2001-03-16,955.3761595965501
2001-03-19,945.1671717852698
2001-03-20,949.0079700722247
2001-03-21,931.7505578825176
2001-03-22,894.9873784927356
2001-03-23,908.0933817590178
2001-03-26,921.3507917251405
2001-03-27,927.0076863023014
2001-03-28,924.0514689633131
2001-03-29,920.000615951582
2001-03-30,919.7153662654156
