Date,EU SMALL CAP
2007-05-31,1000.0
2007-06-01,1003.3758865570146
2007-06-04,1004.1289452447825
2007-06-05,1003.5502207339421
2007-06-06,982.7529023342715
2007-06-07,963.4250253702019
2007-06-08,954.6649551948061
2007-06-11,963.7743116326242
2007-06-12,956.799619982051
2007-06-13,956.2677705313345
2007-06-14,969.2986192386023
2007-06-15,982.1011551763916
2007-06-18,983.4425189804085
2007-06-19,981.5495586929222
2007-06-20,984.9155416464954
2007-06-21,972.6537750556537
2007-06-22,973.6443280245919
2007-06-25,970.8806271097567
2007-06-26,967.7813066856885
2007-06-27,960.691824415888
2007-06-28,974.4716925668249
2007-06-29,981.392683460434
2007-07-02,990.1775269877994
2007-07-03,999.3836967797914
2007-07-04,1006.2691934278383
2007-07-05,1001.53705181975
2007-07-06,1007.9728140261118
2007-07-09,1010.5366482350424
2007-07-10,1010.1533927307181
2007-07-11,1010.2523814110216
2007-07-12,1019.7997452500877
2007-07-13,1025.2091277007105
2007-07-16,1024.123939918144
2007-07-17,1021.0914663666258
2007-07-18,1016.5631005068132
2007-07-19,1025.8019705356514
2007-07-20,1021.3635952740849
2007-07-23,1020.9020500401185
2007-07-24,1007.6480454738576
2007-07-25,987.3860093066669
2007-07-26,961.6278652770866
2007-07-27,947.8946581488674
2007-07-30,952.7064566470007
2007-07-31,972.1246949510181
2007-08-01,955.8940807825605
2007-08-02,960.7849040243821
2007-08-03,958.7409824568512
2007-08-06,942.1759585091604
2007-08-07,949.4375946769567
2007-08-08,969.2308078441055
2007-08-09,944.6251836904564
2007-08-10,917.9169415378213
2007-08-13,928.945405365803
2007-08-14,917.1370576903327
2007-08-15,902.1081839600787
2007-08-16,861.1181212472325
2007-08-17,876.375915412984
2007-08-20,881.3396451905184
2007-08-21,878.1342940295518
2007-08-22,901.2601740490534
2007-08-23,910.5352049310819
2007-08-24,917.4549414722044
2007-08-27,920.7548424825167
2007-08-28,906.4123055921758
2007-08-29,913.1264827527103
2007-08-30,923.4181859510946
2007-08-31,937.7336140229628
2007-09-03,941.6661956924985
2007-09-04,947.4705944521355
2007-09-05,937.0651597201173
2007-09-06,939.9009018150771
2007-09-07,927.7518732356697
2007-09-10,916.9229389299015
2007-09-11,934.7635438628147
2007-09-12,937.3428463646679
2007-09-13,934.0746947883181
2007-09-14,918.7871735520007
2007-09-17,899.6512511985521
2007-09-18,906.6507276948996
2007-09-19,933.4555588887482
2007-09-20,934.3226172590953
2007-09-21,942.2306552064334
2007-09-24,941.9202170610574
2007-09-25,928.453774128942
2007-09-26,932.6783101044142
2007-09-27,942.7003376824792
2007-09-28,948.1655162716166
2007-10-01,954.7295825111911
2007-10-02,959.9736948396595
2007-10-03,964.6542511774605
2007-10-04,966.544406854458
2007-10-05,973.003110073273
2007-10-08,969.2092876332906
2007-10-09,974.6232609689332
2007-10-10,983.9451677950649
2007-10-11,994.8341974101388
2007-10-12,989.4138646050018
2007-10-15,988.0549107086653
2007-10-16,975.6358738013746
