Date,EAFE ex ISRAEL SMALL CAP
2010-05-26,1000.0
2010-05-27,1023.857165039179
2010-05-28,1030.71795235133
2010-05-31,1034.0203339783648
2010-06-01,1033.177583249184
2010-06-02,1022.083022946113
2010-06-03,1041.5510582753611
2010-06-04,1024.5447713528545
2010-06-07,998.8674889142554
2010-06-08,995.4863528971748
2010-06-09,1010.1449413490272
2010-06-10,1027.5566091903388
2010-06-11,1033.0750098239348
2010-06-14,1058.0582101197972
2010-06-15,1064.985756217364
2010-06-16,1068.7787470526093
2010-06-17,1070.3155705726283
2010-06-18,1077.3793314438385
2010-06-21,1089.485344797457
2010-06-22,1084.2491993401816
2010-06-23,1072.0261303077982
2010-06-24,1066.7146300565832
2010-06-25,1056.9054176596467
2010-06-28,1062.079250224152
2010-06-29,1033.5564735024075
2010-06-30,1029.814269222275
2010-07-01,1021.564893422791
2010-07-02,1033.4725828104058
2010-07-05,1032.982634837367
2010-07-06,1058.8069280288391
2010-07-07,1058.5113959450005
2010-07-08,1072.27057164872
2010-07-09,1074.1329837666692
2010-07-12,1073.234078534429
2010-07-13,1086.0633623059834
2010-07-14,1094.3147817968995
2010-07-15,1095.237262009238
2010-07-16,1086.9687623215254
2010-07-19,1076.929125914166
2010-07-20,1071.5993616381406
2010-07-21,1079.4270241728393
2010-07-22,1093.2730733026403
2010-07-23,1101.183512595872
2010-07-26,1117.0396954795924
2010-07-27,1119.3036418704817
2010-07-28,1122.5537006604338
2010-07-29,1127.538471747184
2010-07-30,1118.955636168174
2010-08-02,1144.085737957373
2010-08-03,1151.9525743949032
2010-08-04,1140.8992120111725
2010-08-05,1147.4456995667804
2010-08-06,1154.7565442436178
2010-08-09,1158.016770980277
2010-08-10,1136.5050651453246
2010-08-11,1106.322380310325
2010-08-12,1091.4095352744405
2010-08-13,1092.348631175937
2010-08-16,1099.1383354411275
2010-08-17,1110.4067031686448
2010-08-18,1111.186979671836
2010-08-19,1110.2660777673805
2010-08-20,1085.6713600459702
2010-08-23,1088.525769374911
2010-08-24,1077.8927201483243
2010-08-25,1064.168041974738
2010-08-26,1077.6327920233193
2010-08-27,1084.6376095636874
2010-08-30,1092.1691793917062
2010-08-31,1086.1623320264434
2010-09-01,1109.481741039216
2010-09-02,1116.7565739778004
2010-09-03,1126.971625416098
