Date,WORLD ex CANADA SMALL CAP
1994-05-31,517.3400084152045
1994-06-30,524.5239924840016
1994-07-29,527.0283025810976
1994-08-31,537.7228834373473
1994-09-30,527.8813726135986
1994-10-31,532.5147648450862
1994-11-30,502.6686414566497
1994-12-30,511.9073175471437
1995-01-31,501.1119980041762
1995-02-28,501.0629812680932
1995-03-31,517.29104331874
1995-04-28,526.2929359265352
1995-05-31,521.099908369435
1995-06-30,526.3602686096422
1995-07-31,555.5865961419707
1995-08-31,552.2957081222153
1995-09-29,558.3509060459118
1995-10-31,539.6046474371649
1995-11-30,551.7980125008897
1995-12-29,570.1039897917369
1996-01-31,574.0506165667829
1996-02-29,585.9339983489019
1996-03-29,598.458556543724
1996-04-30,632.0152778159404
1996-05-31,639.3467437949458
1996-06-28,630.2306426931087
1996-07-31,593.314735793963
1996-08-30,606.9555923654765
1996-09-30,615.795910933371
1996-10-31,607.4261127346513
1996-11-29,618.8565489362088
1996-12-31,614.9409041369612
1997-01-01,614.9740673326218
1997-01-02,611.3615951743831
1997-01-03,613.195555105806
1997-01-06,614.8151365099427
1997-01-07,617.3196047385401
1997-01-08,615.7983376499074
1997-01-09,614.6529635502317
1997-01-10,611.9943155389813
1997-01-13,613.6905703141433
1997-01-14,615.6263013753173
1997-01-15,616.3901190216588
1997-01-16,618.6888865717323
1997-01-17,618.6295439226965
1997-01-20,617.5071125323312
1997-01-21,616.8821782568538
1997-01-22,616.8560957033699
1997-01-23,614.9675401472258
1997-01-24,612.8838555793142
1997-01-27,608.3170555488789
1997-01-28,606.0755877660362
1997-01-29,606.2563128291087
1997-01-30,607.9924489725298
1997-01-31,611.0808315824764
1997-02-03,611.5532741876616
1997-02-04,611.7572373902315
1997-02-05,608.156171868789
1997-02-06,607.6175487247217
1997-02-07,605.5646484484729
1997-02-10,606.9421812488355
1997-02-11,605.1266714290343
1997-02-12,605.7034203777772
1997-02-13,607.3640999587549
1997-02-14,608.4126278568382
1997-02-17,608.0181706837129
1997-02-18,608.263005577712
1997-02-19,607.9097582410482
1997-02-20,608.298254274516
1997-02-21,608.7026917617167
1997-02-24,611.6587867187701
1997-02-25,612.3345549615975
1997-02-26,609.0641729129837
1997-02-27,606.9880592806712
1997-02-28,605.3505640883866
1997-03-03,603.9012424039131
1997-03-04,604.0558572018163
1997-03-05,605.534847129798
1997-03-06,605.1453965954676
1997-03-07,606.091825370362
1997-03-10,608.5742598433696
1997-03-11,608.9900552763338
1997-03-12,604.6611219166955
1997-03-13,599.9704844545611
1997-03-14,598.7203253097834
1997-03-17,595.9126556649325
1997-03-18,594.7601160603837
1997-03-19,591.4026641874685
1997-03-20,588.9551857460926
1997-03-21,590.9813265265603
1997-03-24,588.2612471301184
1997-03-25,589.2484588479971
1997-03-26,591.404710918201
1997-03-27,590.0103697394657
1997-03-28,590.0917912335767
1997-03-31,585.4518795355351
1997-04-01,580.2255873913213
1997-04-02,578.2020736911984
1997-04-03,575.8342832365782
1997-04-04,577.4857098014082
1997-04-07,576.3304987631719
1997-04-08,575.7586453420511
1997-04-09,574.8754000084577
1997-04-10,572.7163078177188
1997-04-11,567.804187377349
1997-04-14,565.679511632583
1997-04-15,567.5297493045036
1997-04-16,568.7358575511907
1997-04-17,570.69785221114
1997-04-18,574.4888242652482
1997-04-21,574.9343620306678
1997-04-22,574.3973758060786
1997-04-23,575.3313193124142
1997-04-24,575.2240574640458
1997-04-25,571.8663603415436
1997-04-28,570.7640021324748
1997-04-29,574.3036726297972
1997-04-30,577.3860340434613
1997-05-01,581.9736364341613
1997-05-02,588.6635690970583
1997-05-05,595.937558590112
1997-05-06,600.183533846645
1997-05-07,600.1251844854045
1997-05-08,601.0907552916658
1997-05-09,605.1597390872379
