Date,EUROPE ex SWITZERLAND SMALL CAP
2000-12-29,1000.0
2001-01-01,1000.0
2001-01-02,1005.4696436894291
2001-01-03,994.6661021112706
2001-01-04,1009.9913864742467
2001-01-05,1018.8121667714878
2001-01-08,1014.6543279559994
2001-01-09,1002.4815654281455
2001-01-10,1003.8635778011841
2001-01-11,1019.2193529655333
2001-01-12,1025.8494716521498
2001-01-15,1025.77784777553
2001-01-16,1022.7179158867924
2001-01-17,1030.4376700328062
2001-01-18,1044.7710937430243
2001-01-19,1048.4893007435662
2001-01-22,1047.995563589317
2001-01-23,1052.4425064138566
2001-01-24,1041.418984034604
2001-01-25,1041.3894152522678
2001-01-26,1037.507169795504
2001-01-29,1038.92089685395
2001-01-30,1046.363247745239
2001-01-31,1056.3779143281904
2001-02-01,1070.6821605572813
2001-02-02,1063.3680419810598
2001-02-05,1065.0155728106627
2001-02-06,1060.0823978320352
2001-02-07,1056.1257860071692
2001-02-08,1042.2518928611782
2001-02-09,1038.9510771888242
2001-02-12,1040.563109331515
2001-02-13,1035.0590927240253
2001-02-14,1026.182498364713
2001-02-15,1019.5260099177931
2001-02-16,1023.3973460834239
2001-02-19,1022.9022550023828
2001-02-20,1014.6701191651106
2001-02-21,1010.7798599816869
2001-02-22,1002.4011405804008
2001-02-23,999.9397648612539
2001-02-26,1004.4330457001829
2001-02-27,1014.3729889556226
2001-02-28,1012.7735114412422
2001-03-01,1014.8038963401046
2001-03-02,1024.3516498563824
2001-03-05,1027.48887035207
2001-03-06,1039.4835491191045
2001-03-07,1037.62091511474
2001-03-08,1043.5550607998323
2001-03-09,1034.550602468282
2001-03-12,1016.1849145362048
2001-03-13,990.3839690449075
2001-03-14,971.8458883588133
2001-03-15,969.2336932270574
2001-03-16,954.6589706460733
2001-03-19,945.4784531468681
2001-03-20,953.6159276299112
2001-03-21,932.7958760181064
2001-03-22,893.1091018596957
2001-03-23,909.6285908477538
2001-03-26,923.6047729922191
2001-03-27,930.2217169694235
2001-03-28,924.5972847805895
2001-03-29,917.1879432921105
2001-03-30,920.3289762445274
