Date,WORLD ex EMU SMALL CAP
2000-12-29,1000.0
2001-01-01,1000.0
2001-01-02,985.3959895480277
2001-01-03,999.215563606249
2001-01-04,991.3412872431581
2001-01-05,984.4905777191545
2001-01-08,985.2004263461862
2001-01-09,981.1355548082917
2001-01-10,987.88974912762
2001-01-11,988.0811904765919
2001-01-12,991.4416393285825
2001-01-15,992.5085151270862
2001-01-16,1003.3574369047723
2001-01-17,1002.6960235649562
2001-01-18,1009.8845155309026
2001-01-19,1009.4108343927763
2001-01-22,1010.9970524337336
2001-01-23,1021.4067247464437
2001-01-24,1015.6394090115825
2001-01-25,1019.3139239690785
2001-01-26,1017.8819700536434
2001-01-29,1027.4107113914233
2001-01-30,1031.946616398934
2001-01-31,1034.9121584886793
2001-02-01,1043.1430595728727
2001-02-02,1037.4619110897047
2001-02-05,1037.7805462443634
2001-02-06,1038.8529462090291
2001-02-07,1039.007582001754
2001-02-08,1030.1746095978158
2001-02-09,1025.0996664089137
2001-02-12,1035.0970500358337
2001-02-13,1035.4493994519798
2001-02-14,1035.928323673736
2001-02-15,1038.9530737801574
2001-02-16,1032.2348309718748
2001-02-19,1029.7339462096188
2001-02-20,1024.960502819623
2001-02-21,1012.8535225164144
2001-02-22,1002.3019942499451
2001-02-23,1006.4672084546165
2001-02-26,1017.3240865314832
2001-02-27,1013.9846839401291
2001-02-28,1005.8817454913278
2001-03-01,1003.9911730729358
2001-03-02,1002.8080046993891
2001-03-05,1000.4087711653359
2001-03-06,1010.5277053944199
2001-03-07,1014.3996297095349
2001-03-08,1014.5206387028146
2001-03-09,1007.8695582505432
2001-03-12,983.1484788657579
2001-03-13,974.6196052508194
2001-03-14,961.0653019383026
2001-03-15,958.0530436823983
2001-03-16,944.0268296699343
2001-03-19,951.0144420419583
2001-03-20,945.3322591501366
2001-03-21,942.9293249170282
2001-03-22,926.1292789144699
2001-03-23,945.7484356514186
2001-03-26,960.0113648744949
2001-03-27,966.1855125202177
2001-03-28,958.9153426846473
2001-03-29,951.2210507697698
2001-03-30,957.303923091898
2001-04-02,945.5688132791589
