Date,CHINA IMI WITH PARTIAL A SHARES
2008-11-28,1098.6647964114816
2008-12-31,1114.6126196185019
2009-01-30,1116.9022759875415
2009-02-27,1096.30091725299
2009-03-31,1197.5880994337103
2009-04-30,1338.6263604862759
2009-05-29,1479.7085620267549
2009-06-30,1558.899226010097
2009-07-31,1719.7789663953483
2009-08-31,1568.4744921043643
2009-09-30,1611.9875263651177
2009-10-30,1705.6613620832252
2009-11-30,1732.683059644276
2009-12-31,1831.173806095184
2010-01-29,1733.0702063175308
2010-02-26,1810.7748072575657
2010-03-31,1929.0308478734444
2010-04-30,1951.3080694489474
2010-05-31,1980.8270560727651
2010-06-30,1999.7653705830749
2010-07-30,1973.485175513622
2010-08-31,1974.6212835917022
2010-09-30,2011.4875176577514
2010-10-29,2060.7675040381973
2010-11-30,2160.3962177961525
2010-12-31,2083.8910218386586
2011-01-31,2022.8340480229679
2011-02-28,1971.682222840844
2011-03-31,2010.872723028796
2011-04-29,1956.327408840531
2011-05-31,2013.5800570804927
2011-06-30,1922.1864674596227
2011-07-29,1922.7306699120627
2011-08-31,1733.5556890882197
2011-09-30,1543.6540992034688
2011-10-31,1704.3860626128635
2011-11-30,1619.7622112561514
2011-12-30,1706.5856797516692
2012-01-31,1862.5915205563101
2012-02-29,1954.5160314123736
2012-03-30,1826.03691034123
2012-04-30,1898.123450826354
2012-05-31,1828.5436257359859
2012-06-29,1807.3763068662518
2012-07-31,1873.8834426886344
2012-08-31,1780.0101412643337
2012-09-28,1853.4471904347529
2012-10-31,1942.0515278219386
2012-11-30,1968.7803575340947
2012-12-31,2053.6170637924906
2013-01-31,2086.828140920751
2013-02-28,2095.907172907468
2013-03-29,2038.8370062573742
2013-04-30,2008.8127347435852
2013-05-31,2048.2042161568743
2013-06-28,1885.6517360972084
2013-07-31,1913.9730495018973
2013-08-30,1980.0311735868265
2013-09-30,2025.4862990588679
2013-10-31,2067.092709171402
2013-11-29,2161.6415329563374
2013-12-31,2072.053632452595
2014-01-31,1993.6469435235786
2014-02-28,1992.3063609516416
2014-03-31,1958.7298162138013
2014-04-30,1900.0384326336878
2014-05-30,2014.0236285348958
2014-06-30,2069.415729604291
2014-07-31,2284.059132482066
2014-08-29,2329.754380998844
2014-09-30,2301.010878803493
2014-10-31,2409.3414290967003
2014-11-28,2461.881899200656
2014-12-31,2563.3681454390025
2015-01-30,2797.646166689907
2015-02-27,2898.721059276915
2015-03-31,3140.374413867085
2015-04-30,3553.955226020158
2015-05-29,3574.451789265958
2015-06-30,3282.3282102714934
2015-07-31,2922.59331773703
2015-08-31,2529.8805297561044
2015-09-30,2496.4472610736634
2015-10-30,2760.1256522943045
2015-11-30,2807.5562315689103
2015-12-31,2703.606009564275
2016-01-29,2335.082554408892
2016-02-29,2280.773067394129
2016-03-31,2425.702408339709
2016-04-29,2411.4187769812365
2016-05-31,2456.4871908582627
2016-06-30,2481.9514716274284
2016-07-29,2540.941168340893
2016-08-31,2734.6277204887983
2016-09-30,2770.303347251277
2016-10-31,2791.5064101069433
2018-03-30,3582.058111238863
2018-04-30,3644.616261760792
2018-05-01,3678.3114391178524
2018-05-31,3849.648369291123
