Date,ACWI IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1024.0299945027762
2010-05-28,1024.3829554126353
2010-05-31,1025.0116090775432
2010-06-01,1018.4906925401004
2010-06-02,1023.9412336484208
2010-06-03,1034.2682005090492
2010-06-04,1010.2237014022259
2010-06-07,998.1183076928978
2010-06-08,999.5086854815854
2010-06-09,1007.6768624638705
2010-06-10,1024.991191443544
2010-06-11,1029.7708635716367
2010-06-14,1041.6677000750615
2010-06-15,1052.511186583528
2010-06-16,1055.1075979475024
2010-06-17,1058.5554191592157
2010-06-18,1059.5585830109444
2010-06-21,1065.0766288120233
2010-06-22,1053.4738450711718
2010-06-23,1045.3286452523905
2010-06-24,1037.4906585468939
2010-06-25,1030.842138811028
2010-06-28,1038.7011769048904
2010-06-29,1013.3926689367049
2010-06-30,1011.0775459178187
2010-07-01,1006.9784977780976
2010-07-02,1011.5819681302713
2010-07-05,1009.0137383320042
2010-07-06,1027.5471444175114
2010-07-07,1040.0126848601499
2010-07-08,1053.144874217041
2010-07-09,1057.4312335749241
2010-07-12,1058.6133201674857
2010-07-13,1073.3231529401744
2010-07-14,1076.3658473399016
2010-07-15,1078.4409564203945
2010-07-16,1064.3984301462945
2010-07-19,1061.5604819974303
2010-07-20,1062.0992854983235
2010-07-21,1061.4222149420564
2010-07-22,1078.2551662310054
2010-07-23,1081.233772096609
2010-07-26,1092.7025734863728
2010-07-27,1097.0624101700707
2010-07-28,1094.9620129660962
2010-07-29,1096.7943673752563
2010-07-30,1092.5915338372374
2010-08-02,1118.9500104812482
2010-08-03,1121.3593809314116
2010-08-04,1122.2770616513144
2010-08-05,1121.215445110642
2010-08-06,1122.8934695277244
2010-08-09,1131.9709430794783
2010-08-10,1121.7687210995023
2010-08-11,1096.2093844407038
2010-08-12,1093.3693000587684
2010-08-13,1092.2923635327882
2010-08-16,1094.831786282366
2010-08-17,1104.751790578057
2010-08-18,1103.1408873036646
2010-08-19,1091.7969849096332
2010-08-20,1080.7605840844124
2010-08-23,1084.7076439605066
2010-08-24,1073.4192230974068
2010-08-25,1068.6892546925883
2010-08-26,1073.6348106703183
2010-08-27,1084.0355772140479
2010-08-30,1080.8845696848352
2010-08-31,1080.053916710576
2010-09-01,1106.3326876258452
2010-09-02,1109.2645421732018
2010-09-03,1118.7201564491263
2010-09-06,1122.983619002038
2010-09-07,1113.6306043950715
