Date,AC ASIA ex JAPAN IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1017.9498239172074
2010-05-28,1031.1532640529554
2010-05-31,1040.7333575310793
2010-06-01,1022.7810992780685
2010-06-02,1019.09481012233
2010-06-03,1040.8649656793084
2010-06-04,1038.68394855773
2010-06-07,1014.0918300835822
2010-06-08,1016.6163807693094
2010-06-09,1020.4664501382758
2010-06-10,1029.3292743813267
2010-06-11,1040.6302217197021
2010-06-14,1053.0727818777382
2010-06-15,1053.6163646717484
2010-06-16,1057.5112559118575
2010-06-17,1063.3181196960156
2010-06-18,1071.0692890950843
2010-06-21,1100.5089782190944
2010-06-22,1091.1649267981606
2010-06-23,1088.257497126061
2010-06-24,1082.5076124175027
2010-06-25,1079.160396565603
2010-06-28,1085.6266283328778
2010-06-29,1067.5682630557994
2010-06-30,1064.7015681097396
2010-07-01,1060.440839393777
2010-07-02,1057.365424715088
2010-07-05,1060.4465856071063
2010-07-06,1073.3643425857213
2010-07-07,1065.1842259966947
2010-07-08,1077.174779368373
2010-07-09,1089.922713537173
2010-07-12,1091.829886230117
2010-07-13,1089.4706304961976
2010-07-14,1097.3541274297195
2010-07-15,1089.595054439272
2010-07-16,1088.4002194041561
2010-07-19,1082.7984912926718
2010-07-20,1090.5291250131133
2010-07-21,1093.9501236652354
2010-07-22,1094.9294255722984
2010-07-23,1107.4084434492222
2010-07-26,1110.296952664496
2010-07-27,1118.0192372791687
2010-07-28,1120.685457733018
2010-07-29,1125.279075312622
2010-07-30,1124.6344021174434
2010-08-02,1142.9372825713524
2010-08-03,1141.988547457402
2010-08-04,1143.1083908298292
2010-08-05,1144.5532202530544
2010-08-06,1148.0291484348827
2010-08-09,1150.7652178373935
2010-08-10,1136.6879384825477
2010-08-11,1126.0115549697973
2010-08-12,1117.5244409325333
2010-08-13,1119.841159737998
2010-08-16,1121.2935867314463
2010-08-17,1124.6421170169756
2010-08-18,1127.0511048632745
2010-08-19,1134.339357335669
2010-08-20,1132.07201261113
2010-08-23,1131.239031505589
2010-08-24,1123.2144344503931
2010-08-25,1116.4651270468075
2010-08-26,1118.1260596246134
2010-08-27,1122.6560042183928
2010-08-30,1130.8024123414455
2010-08-31,1123.228475189078
2010-09-01,1133.9265777611192
2010-09-02,1140.663044664038
2010-09-03,1148.4114773625415
2010-09-06,1160.7768840372057
2010-09-07,1161.8414341934028
2010-09-08,1155.7595876358205
2010-09-09,1161.5196577585414
2010-09-10,1166.5300691247976
2010-09-13,1186.6109349325648
2010-09-14,1186.3411474636641
2010-09-15,1187.7440428412003
2010-09-16,1186.5410978371526
2010-09-17,1196.9052368247742
2010-09-20,1199.6138341555647
2010-09-21,1204.0620604245562
2010-09-22,1209.8754618381622
2010-09-23,1210.1252798315866
2010-09-24,1217.3517904182602
2010-09-27,1230.2256713130312
2010-09-28,1224.5087556867036
2010-09-29,1237.6207526703768
2010-09-30,1237.4828677052321
2010-10-01,1243.1069726799665
2010-10-04,1253.541777852115
2010-10-05,1253.2056156213803
2010-10-06,1268.5783255826777
2010-10-07,1268.9410836794132
2010-10-08,1264.4824171903197
2010-10-11,1275.5071095050766
2010-10-12,1264.7901494559458
2010-10-13,1279.3923125897945
2010-10-14,1296.664304649276
2010-10-15,1295.4547530124717
2010-10-18,1277.214258189665
2010-10-19,1282.2109995176397
2010-10-20,1277.466143928088
2010-10-21,1282.034796634278
2010-10-22,1281.1632168540898
2010-10-25,1294.5030275463766
2010-10-26,1291.9808984776357
2010-10-27,1270.600782032803
2010-10-28,1275.768061890171
2010-10-29,1275.4505741468727
2010-11-01,1301.4714185455548
2010-11-02,1303.1526371109976
2010-11-03,1317.6809196613813
2010-11-04,1333.4646384874834
2010-11-05,1344.854968927926
2010-11-08,1353.902341377171
2010-11-09,1350.1634220813066
2010-11-10,1344.067410701061
2010-11-11,1346.107108637215
2010-11-12,1324.1191041265042
2010-11-15,1315.5233511049175
2010-11-16,1305.34126918975
2010-11-17,1284.5145891898592
2010-11-18,1303.7727501583136
2010-11-19,1307.679265527712
2010-11-22,1313.095115157698
2010-11-23,1284.1692378948685
2010-11-24,1284.5457103759843
2010-11-25,1290.8203489207388
2010-11-26,1279.76706159955
2010-11-29,1289.9019690259418
2010-11-30,1283.8641080392533
2010-12-01,1299.285478290638
2010-12-02,1314.8962662097215
2010-12-03,1317.0315856043474
2010-12-06,1317.2059233682278
2010-12-07,1322.236900192775
2010-12-08,1312.135330247793
2010-12-09,1318.5708958408109
2010-12-10,1316.897488850112
2010-12-13,1322.6092186692283
2010-12-14,1328.5737755560483
2010-12-15,1315.1738589486781
2010-12-16,1307.6226932271038
2010-12-17,1313.059728850051
2010-12-20,1305.4017590778285
2010-12-21,1318.168134669319
2010-12-22,1323.2251138780455
2010-12-23,1321.126651183703
2010-12-24,1321.0278864640732
2010-12-27,1323.6466171454897
2010-12-28,1319.9953948438417
2010-12-29,1328.740322812454
2010-12-30,1335.8885947736114
2010-12-31,1339.5822073180973
2011-01-03,1355.1415986741467
2011-01-04,1360.5278840001513
2011-01-05,1356.471237293547
2011-01-06,1358.9064021655363
2011-01-07,1350.044484221447
2011-01-10,1344.8903915309816
2011-01-11,1355.2175664328936
2011-01-12,1368.2002717790085
2011-01-13,1371.3783961558413
2011-01-14,1369.1200330790962
2011-01-17,1362.835094270379
2011-01-18,1365.2410788814186
2011-01-19,1378.5350856746754
2011-01-20,1360.040037721248
2011-01-21,1351.0006812144347
2011-01-24,1345.3643976091842
2011-01-25,1346.9529716850252
2011-01-26,1355.658819127477
2011-01-27,1358.0057911288602
2011-01-28,1350.1974383902248
2011-01-31,1341.8100355969377
2011-02-01,1344.6662669019129
2011-02-02,1358.9593858959984
2011-02-03,1358.7696171187629
2011-02-04,1358.8170538996433
2011-02-07,1350.7461765539738
2011-02-08,1344.3837279474367
2011-02-09,1326.9686015736195
2011-02-10,1297.8733656263619
2011-02-11,1284.4523086052907
2011-02-14,1298.4639642611435
2011-02-15,1293.721412711269
2011-02-16,1300.1180191585258
2011-02-17,1301.4978626316765
2011-02-18,1313.926173322788
2011-02-21,1313.7349858687169
2011-02-22,1290.9490082391626
2011-02-23,1283.2855468383543
2011-02-24,1269.5658931990824
2011-02-25,1289.557657748521
2011-02-28,1293.8594540470958
2011-03-01,1315.8268778800968
2011-03-02,1302.8451440726653
2011-03-03,1310.7411259384207
2011-03-04,1323.506582318286
2011-03-07,1318.6804818902783
2011-03-08,1333.3521858448419
2011-03-09,1336.6375772828305
2011-03-10,1324.5597181109092
2011-03-11,1304.9677944333303
2011-03-14,1307.4906246778057
2011-03-15,1268.5079415034945
2011-03-16,1277.638899027508
2011-03-17,1263.3520359447414
2011-03-18,1268.7799886517532
2011-03-21,1287.2727023051216
2011-03-22,1297.3079062767963
2011-03-23,1298.8694582102953
2011-03-24,1308.0969543733454
2011-03-25,1321.2037800706246
2011-03-28,1313.209241316992
2011-03-29,1318.0620428350073
2011-03-30,1333.4748982039189
2011-03-31,1344.445746846164
2011-04-01,1357.3762354393018
2011-04-04,1371.1455170021086
2011-04-05,1370.8660168932447
2011-04-06,1385.4013417922215
2011-04-07,1387.3209687446883
2011-04-08,1390.4110861771717
