Date,EM LATIN AMERICA ex BRAZIL IMI
1998-12-31,1000.0
1999-01-01,1000.0854109369927
1999-01-04,994.221253936828
1999-01-05,991.868865549304
1999-01-06,996.6665451580476
1999-01-07,989.9331422608468
1999-01-08,991.4709695388665
1999-01-11,970.9920133945038
1999-01-12,935.7053923591486
1999-01-13,860.3839733155303
1999-01-14,851.8254468731507
1999-01-15,925.890013906691
1999-01-18,928.6190839760177
1999-01-19,924.7192473228159
1999-01-20,952.5964066938708
1999-01-21,933.7625736122982
1999-01-22,930.4736535617584
1999-01-25,939.5015318398821
1999-01-26,944.6563911698553
1999-01-27,960.0182309203803
1999-01-28,980.7654532928194
1999-01-29,987.391302266963
1999-02-01,1010.551337406172
1999-02-02,1005.6630363837976
1999-02-03,1008.5947439086195
1999-02-04,1013.0247755202811
1999-02-05,1015.6805218913603
1999-02-08,1018.9113069570344
1999-02-09,1007.3166203683191
1999-02-10,1012.2796816491384
1999-02-11,1037.6697232061576
1999-02-12,1039.0169398366786
1999-02-15,1043.9073350351616
1999-02-16,1057.3709787001758
1999-02-17,1042.5370591736287
1999-02-18,1050.3486040299967
1999-02-19,1078.0349900147073
1999-02-22,1087.725869857525
1999-02-23,1086.3215958468004
1999-02-24,1091.173795652019
1999-02-25,1076.1422377591434
1999-02-26,1086.4120651967544
1999-03-01,1085.361720128829
1999-03-02,1078.2200648607488
1999-03-03,1078.5469877004255
1999-03-04,1105.7991537198895
1999-03-05,1117.6787461970282
1999-03-08,1135.5159297558018
1999-03-09,1146.6525526633764
1999-03-10,1166.0811817052818
1999-03-11,1186.6389678468079
1999-03-12,1176.910411219193
1999-03-15,1192.9776004895807
1999-03-16,1209.9464579112528
1999-03-17,1196.4810285100318
1999-03-18,1203.441930898762
1999-03-19,1201.3738180385476
1999-03-22,1193.2649161110232
1999-03-23,1182.8818079905673
1999-03-24,1196.9927475879792
1999-03-25,1216.7776375421422
1999-03-26,1224.807370134797
1999-03-29,1241.4473571299532
1999-03-30,1242.059117945686
1999-03-31,1248.7965244290947
1999-04-01,1248.232051814373
1999-04-02,1252.7432343859145
1999-04-05,1291.342312276524
1999-04-06,1290.990928423349
1999-04-07,1290.0438700987343
1999-04-08,1295.5203023267045
