Date,ZHONG HUA IMI WITH PARTIAL A SHARES
2008-11-27,1059.1662826110921
2008-11-28,1099.7464216734215
2008-12-30,1061.8477748045
2008-12-31,1094.7006224483368
2009-01-29,1086.041634272227
2009-01-30,1127.5896478193047
2009-02-26,1103.5162230588558
2009-02-27,1099.9943294596233
2009-03-30,1163.7163994651012
2009-03-31,1165.4860799308037
2009-04-29,1280.4167372572156
2009-04-30,1323.0197113970112
2009-05-28,1462.1505882092697
2009-05-29,1468.2922546642665
2009-06-29,1537.769073538284
2009-06-30,1520.390233059248
2009-07-30,1674.1948184910361
2009-07-31,1688.3760245490637
2009-08-28,1575.143893144983
2009-08-31,1544.1356553206058
2009-09-29,1613.4782833573613
2009-09-30,1601.9544616349838
2009-10-29,1633.2006151058895
2009-10-30,1676.5579254811246
2009-11-27,1633.8411361475053
2009-11-30,1682.7166432976
2009-12-30,1760.8927657500215
2009-12-31,1784.348996876956
2010-01-28,1707.2129770941822
2010-01-29,1700.0343284890646
2010-02-25,1781.1789646110437
2010-02-26,1782.4642693715484
2010-03-30,1928.8842047621865
2010-03-31,1900.7570115594904
2010-04-29,1895.8079989713233
2010-04-30,1915.9595624882559
2010-05-28,1929.4976475566002
2010-05-31,1942.513651405414
2010-06-29,1987.7775207422915
2010-06-30,1973.0052939095222
2010-07-29,1943.5975773254381
2010-07-30,1951.9354105343393
2010-08-30,1985.1732014974218
2010-08-31,1972.074048160848
2010-09-29,2037.1195756074433
2010-09-30,2032.674118072362
2010-10-28,2073.7027505260817
2010-10-29,2071.02821776113
2010-11-29,2194.195022461096
2010-11-30,2197.2470130765905
2010-12-30,2142.10190997898
2010-12-31,2130.0601851250917
2011-01-28,2107.292842750835
2011-01-31,2082.799095395164
2011-02-25,1999.5266865491099
2011-02-28,2018.512721241712
2011-03-30,2041.4524257229625
2011-03-31,2038.0754716571764
2011-04-28,1995.6378658382046
2011-04-29,1989.178163843194
2011-05-30,2029.2124094622277
2011-05-31,2051.8476971162613
2011-06-29,1943.3005923266435
2011-06-30,1957.1767796169863
2011-07-28,1997.0598740314892
2011-07-29,1973.0645711729462
2011-08-30,1760.0099382820683
2011-08-31,1798.709108782451
2011-09-29,1617.5563774187217
2011-09-30,1601.6453711948732
2011-10-28,1750.087260243535
2011-10-31,1758.3820774096027
2011-11-29,1718.190218370828
2011-11-30,1677.494456331779
2011-12-29,1770.2840480171762
2011-12-30,1766.7805746325507
2012-01-30,1898.6601352980185
2012-01-31,1922.8297629044987
2012-02-28,2011.4434198713639
2012-02-29,2028.1004273531503
2012-03-29,1915.9178697263271
2012-03-30,1910.8489029250654
2012-04-27,1940.284441957152
2012-04-30,1971.040019094521
2012-05-30,1906.1701895627991
2012-05-31,1901.1605499996567
2012-06-28,1892.9012200158031
2012-06-29,1891.9296593726488
2012-07-30,1969.5224921606693
2012-07-31,1978.3318718131636
2012-08-30,1923.4704455850992
2012-08-31,1902.8780054117135
2012-09-27,1975.0449934198316
2012-09-28,1990.2717037454506
2012-10-30,2034.554210320677
2012-10-31,2058.8261547419397
2012-11-29,2092.228379109051
2012-11-30,2098.278452908192
2012-12-28,2144.5654194146177
2012-12-31,2156.1614835684395
2013-01-30,2211.364288231244
2013-01-31,2199.8598220871872
2013-02-27,2179.295306011636
2013-02-28,2230.3707190956543
2013-03-28,2193.195040495407
2013-03-29,2192.9979013729308
2013-04-29,2165.907174692499
2013-04-30,2169.359533930388
2013-05-30,2194.2266831629086
2013-05-31,2202.672197944669
2013-06-27,2004.959465029283
2013-06-28,2042.8021701435348
2013-07-30,2083.1312102943507
2013-07-31,2074.4737594013955
2013-08-29,2107.541135080283
2013-08-30,2121.7581214143975
2013-09-27,2199.9233042322057
2013-09-30,2175.6412242705032
2013-10-30,2194.9451729743087
2013-10-31,2218.0918131525855
2013-11-28,2285.046868424013
2013-11-29,2294.4705428029924
2013-12-30,2206.4091578288712
2013-12-31,2223.7905551646395
2014-01-30,2129.488698340412
2014-01-31,2141.859001006074
2014-02-27,2172.746824212831
2014-02-28,2154.450146620932
2014-03-28,2105.6885328769454
2014-03-31,2114.957438146302
2014-04-29,2114.0509212351644
2014-04-30,2083.8506423789313
2014-05-29,2204.3408384105032
2014-05-30,2207.6002715104023
2014-06-27,2254.458973595293
2014-06-30,2250.3350901876042
2014-07-30,2461.4760032396002
2014-07-31,2466.360264232284
2014-08-28,2501.731155186716
2014-08-29,2505.026768274866
2014-09-29,2472.0143100734176
2014-09-30,2457.583388092456
2014-10-30,2540.92881264289
2014-10-31,2591.8740163872562
2014-11-27,2633.9020681841484
2014-11-28,2640.3898203362014
2014-12-30,2668.969407548957
2014-12-31,2704.4018428676177
2015-01-29,2976.725703096798
2015-01-30,2979.4851749826175
2015-02-26,3067.2973260285935
2015-02-27,3056.2460903393235
2015-03-30,3246.3981207588577
2015-03-31,3283.03309556991
2015-04-29,3674.919248258143
2015-04-30,3635.8718585286797
2015-05-28,3695.6866551505505
2015-05-29,3672.319534440578
2015-06-29,3345.9364372115474
2015-06-30,3403.8421211608165
2015-07-30,3139.0118160398165
2015-07-31,3116.5711267960114
2015-08-28,2709.6018555932033
2015-08-31,2693.2510040726006
2015-09-29,2600.6649424295197
2015-09-30,2654.6694162655594
2015-10-29,2963.716374139834
2015-10-30,2926.886555883248
2015-11-27,2971.7484949789787
2015-11-30,2974.4028866387257
2015-12-30,2860.078177473279
2015-12-31,2875.6303541863217
2016-01-28,2424.680203759547
2016-01-29,2513.3585525970975
2016-02-26,2485.0050907906143
2016-02-29,2467.9453046671447
2016-03-30,2615.8589748400295
2016-03-31,2611.2771212804487
2016-04-28,2657.5108822047955
2016-04-29,2603.241121500774
2016-05-30,2625.4111371387844
2016-05-31,2652.0951864353055
2016-06-29,2633.4508976017846
2016-06-30,2676.5730874687447
2016-07-28,2828.0244836553243
2016-07-29,2763.9888565994424
2016-08-30,2937.4795819835444
2016-08-31,2928.476141285088
2016-09-29,3022.1751137546935
2016-09-30,2977.0118110689245
2016-10-28,3025.002921893451
2016-10-31,3004.952483191526
2018-03-30,3699.5103863573395
2018-04-11,3750.0295302037875
2018-04-12,3757.520201961472
2018-04-13,3728.971158440462
2018-04-16,3673.6530476311855
2018-04-17,3657.9406431294237
2018-04-18,3672.1503819606187
2018-04-19,3713.67306374773
2018-04-20,3692.8772870809203
2018-04-23,3676.600245073394
2018-04-24,3715.3586008693824
2018-04-25,3690.1849712843864
2018-04-26,3688.549161967855
2018-04-27,3732.3664385207253
2018-04-30,3791.846944028245
2018-05-01,3825.8467765721957
2018-05-02,3827.236341420438
2018-05-03,3794.745015914611
2018-05-04,3791.0618839300996
2018-05-07,3825.5840845929365
2018-05-08,3892.2603732858556
2018-05-09,3901.1325776982303
2018-05-10,3926.011968762172
2018-05-11,3925.2470626099257
2018-05-14,3968.809850666488
2018-05-15,3964.580449437097
2018-05-16,3992.6095580178758
2018-05-17,3977.771107022171
2018-05-18,3987.749052026948
2018-05-21,4009.6222989179455
2018-05-22,3999.3627653351778
2018-05-23,3984.163271415688
2018-05-24,3989.8643039233266
2018-05-25,4008.127326448247
2018-05-28,4039.7393626107437
2018-05-29,4020.810847306895
2018-05-30,3956.8724748900577
2018-05-31,3989.1864518723664
