Date,HONG KONG-LISTED SOUTHBOUND IMI
2007-05-31,1000.0
2007-06-01,1007.4010831427818
2007-06-04,1006.401455871714
2007-06-05,1007.041549443217
2007-06-06,1009.7258387358688
2007-06-07,1009.7255209275228
2007-06-08,1005.0058706582199
2007-06-11,1011.3139785416313
2007-06-12,1013.6197949521139
2007-06-13,1013.2395641916567
2007-06-14,1025.945487078672
2007-06-15,1030.2417149624243
2007-06-18,1049.1528494739268
2007-06-19,1048.1624747918981
2007-06-20,1054.3426011060412
2007-06-21,1066.9104686939295
2007-06-22,1066.0464134986455
2007-06-25,1054.8220438349877
2007-06-26,1050.5312677993181
2007-06-27,1046.682289822052
2007-06-28,1054.1320155442372
2007-06-29,1047.1682797377712
2007-07-02,1038.0293954024203
2007-07-03,1060.2273274232425
2007-07-04,1063.3952949282489
2007-07-05,1070.4698358278351
2007-07-06,1078.4604158840584
2007-07-09,1097.0031634022212
2007-07-10,1093.250710448772
2007-07-11,1074.1577752985165
2007-07-12,1080.0932701340098
2007-07-13,1091.9032629466221
2007-07-16,1086.6303437566469
2007-07-17,1090.5807999625508
2007-07-18,1078.3468704414859
2007-07-19,1083.3268733120115
2007-07-20,1097.090731325216
2007-07-23,1104.5915459555079
2007-07-24,1112.889146784106
2007-07-25,1116.734207857091
2007-07-26,1109.0760679097311
2007-07-27,1082.604963199325
2007-07-30,1085.9345140799137
2007-07-31,1108.1102229435908
2007-08-01,1075.1911925207587
2007-08-02,1071.4277980941254
2007-08-03,1067.9645838954177
2007-08-06,1034.250963090634
2007-08-07,1033.3527574408788
2007-08-08,1058.7753596564385
2007-08-09,1070.0496949125934
2007-08-10,1042.5055304550735
2007-08-13,1047.72484489408
2007-08-14,1054.7631350714164
2007-08-15,1033.730597526099
2007-08-16,998.8903981257739
2007-08-17,970.1970043945637
2007-08-20,1029.700051539777
2007-08-21,1041.3676577425335
2007-08-22,1065.49421445383
2007-08-23,1089.2724731279573
2007-08-24,1085.6602018698084
2007-08-27,1124.3804589127858
2007-08-28,1114.1557062480465
2007-08-29,1093.394639925038
2007-08-30,1113.9510405234332
2007-08-31,1138.076833382878
2007-09-03,1141.6258050102458
2007-09-04,1144.109727781365
2007-09-05,1144.716187984953
2007-09-06,1143.0145012959993
