Date,GOLDEN DRAGON IMI WITH PARTIAL A SHARES
2008-11-27,1059.3484391873503
2008-11-28,1092.5008810099107
2008-12-30,1048.2593683893265
2008-12-31,1075.9330445929218
2009-01-29,1057.7138940396267
2009-01-30,1092.5337293170276
2009-02-26,1089.8553185688477
2009-02-27,1091.2375534784444
2009-03-30,1175.7598653945843
2009-03-31,1175.1743212978472
2009-04-29,1285.6150199630958
2009-04-30,1350.3625069751254
2009-05-28,1497.3386540357428
2009-05-29,1493.9423727989597
2009-06-29,1499.8584281112458
2009-06-30,1494.215608345638
2009-07-30,1649.7682147265998
2009-07-31,1660.6873424206724
2009-08-28,1558.0402776790322
2009-08-31,1538.7755477828277
2009-09-29,1631.3298258002144
2009-09-30,1630.795067410771
2009-10-29,1625.0263743962623
2009-10-30,1656.8187871689545
2009-11-27,1634.1341820776047
2009-11-30,1674.564398444341
2009-12-30,1794.7755075252326
2009-12-31,1818.1957830807946
2010-01-28,1743.3193136773561
2010-01-29,1737.4428174871186
2010-02-25,1786.5044297640545
2010-02-26,1783.2015341970398
2010-03-30,1938.6640681285303
2010-03-31,1912.001100131502
2010-04-29,1939.8429147993909
2010-04-30,1948.61456136631
2010-05-28,1932.8405466364766
2010-05-31,1951.080722451184
2010-06-29,1984.750392642654
2010-06-30,1962.8716544089389
2010-07-29,1957.65950948022
2010-07-30,1961.940632894167
2010-08-30,2003.6937891086845
2010-08-31,1982.5517456642913
2010-09-29,2049.6540847377505
2010-09-30,2044.117601787037
2010-10-28,2078.180120321965
2010-10-29,2073.499238022562
2010-11-29,2209.6107516059255
2010-11-30,2213.7332203914607
2010-12-30,2234.9857254752646
2010-12-31,2223.81475561461
2011-01-28,2217.698611616248
2011-01-31,2195.2458488049224
2011-02-25,2073.2191332944767
2011-02-28,2083.4967513544943
2011-03-30,2090.524455979319
2011-03-31,2088.8376231712405
2011-04-28,2071.033079598568
2011-04-29,2063.9785353156954
2011-05-30,2100.6730225237634
2011-05-31,2126.956722858739
2011-06-29,2011.277207091273
2011-06-30,2026.2552535878585
2011-07-28,2076.883789663664
2011-07-29,2045.8990297482642
2011-08-30,1819.1208526175817
2011-08-31,1856.0364611909336
2011-09-29,1690.3610811548056
2011-09-30,1690.86082684231
2011-10-28,1803.5641058681872
2011-10-31,1815.7794180716978
2011-11-29,1757.523403764275
2011-11-30,1719.3801195954525
2011-12-29,1823.014356417745
2011-12-30,1817.2146449788306
2012-01-30,1948.1740808360673
2012-01-31,1977.8794711886433
2012-02-28,2060.1039158174904
2012-02-29,2090.5911274610207
2012-03-29,1993.5754606753972
2012-03-30,1993.8740913929405
2012-04-27,1985.2624021265137
2012-04-30,2011.8282834478166
2012-05-30,1975.3517687667122
2012-05-31,1975.6426240909107
2012-06-28,1951.43253655028
2012-06-29,1949.9053838099542
2012-07-30,2019.0969969942983
2012-07-31,2032.8375024271236
2012-08-30,1999.26327308726
2012-08-31,1982.0556508580435
2012-09-27,2059.0471488651797
