Date,EM (EMERGING MARKETS) IMI
1998-12-31,306.0186264722527
1999-01-01,306.0223701246688
1999-01-04,308.16030695449166
1999-01-05,311.0660902810364
1999-01-06,319.744620375168
1999-01-07,322.62514511896984
1999-01-08,324.4615226627224
1999-01-11,321.54724633654826
1999-01-12,314.13321407926384
1999-01-13,294.39368932033966
1999-01-14,288.3310289089007
1999-01-15,299.7750502244997
1999-01-18,301.44311932062266
1999-01-19,301.3217973845645
1999-01-20,305.65304412359825
1999-01-21,298.5035905396511
1999-01-22,292.70920128378947
1999-01-25,288.47235735159666
1999-01-26,290.87771885768973
1999-01-27,297.247971234511
1999-01-28,299.5049037123978
1999-01-29,300.4526527796994
1999-02-01,307.11884668605126
1999-02-02,305.60349691256863
1999-02-03,304.58643624059425
1999-02-04,304.0824092317716
1999-02-05,302.6875402238664
1999-02-08,305.1687203528261
1999-02-09,300.10840676460884
1999-02-10,300.8823057432346
1999-02-11,305.0389975055727
1999-02-12,308.68758125720103
1999-02-15,309.0662438205358
1999-02-16,312.30836338230034
1999-02-17,309.82052200133023
1999-02-18,309.1550500485233
1999-02-19,310.9845725421664
1999-02-22,313.7899211473868
1999-02-23,313.15601644124143
1999-02-24,313.8140183706928
1999-02-25,310.38228377644486
1999-02-26,314.83402939952686
1999-03-01,317.60108060404053
1999-03-02,317.0515545145829
1999-03-03,320.77446447364144
1999-03-04,324.702918544634
1999-03-05,328.43305253491116
1999-03-08,334.0095452763486
1999-03-09,336.9763963860115
1999-03-10,337.30470151132175
1999-03-11,342.5953187239219
1999-03-12,340.2913630303466
1999-03-15,345.0551236741709
1999-03-16,348.907872348938
1999-03-17,346.7826272426341
1999-03-18,348.7273122508806
1999-03-19,354.91913185931503
1999-03-22,355.22542203829863
1999-03-23,353.121697045116
1999-03-24,350.3063663880166
1999-03-25,357.1142808854503
1999-03-26,360.54174149247194
1999-03-29,361.1535287632785
1999-03-30,362.9580948250559
1999-03-31,363.1812789686101
1999-04-01,365.3030232365747
1999-04-02,368.27669919961295
1999-04-05,371.7806508911871
1999-04-06,373.3261629313491
1999-04-07,374.5165603710192
1999-04-08,374.86380542144406
1999-04-09,376.7043772483106
1999-04-12,374.84851527952014
1999-04-13,378.5405053472202
1999-04-14,381.99106147064776
1999-04-15,390.6963139033048
1999-04-16,399.8712684835745
1999-04-19,410.9445491582876
1999-04-20,407.55456271273397
1999-04-21,404.4641872097856
1999-04-22,406.68140311715536
1999-04-23,407.35400645829924
1999-04-26,410.15783212287596
1999-04-27,408.84921661184575
1999-04-28,413.0520977576946
1999-04-29,412.8529968127373
1999-04-30,417.2632437068133
1999-05-03,421.9771108134547
1999-05-04,426.1405312292392
1999-05-05,425.1551424996997
1999-05-06,429.28069783045754
1999-05-07,430.05223147373067
1999-05-10,433.07683153085065
1999-05-11,433.1475869129308
1999-05-12,427.98424434100315
1999-05-13,430.63109925153555
1999-05-14,428.35608283938717
1999-05-17,424.39695589692485
1999-05-18,429.3546068374214
1999-05-19,427.1912842068203
1999-05-20,425.1688944088137
1999-05-21,424.01014417182904
1999-05-24,417.1604379926432
1999-05-25,409.2394507800588
1999-05-26,418.3443617094922
1999-05-27,415.9872096969179
1999-05-28,415.01011633386304
1999-05-31,418.819951047937
1999-06-01,419.5999210999348
1999-06-02,425.2684037020096
1999-06-03,427.82106805776226
1999-06-04,435.9040798847363
1999-06-07,444.3355355965294
1999-06-08,443.40700509683614
1999-06-09,439.56537423191753
1999-06-10,442.61206375472574
1999-06-11,441.06572111612996
1999-06-14,440.2883614600765
1999-06-15,439.78158042811896
1999-06-16,452.8715367572819
1999-06-17,458.34855052020254
1999-06-18,458.2637182958156
1999-06-21,469.3895964049154
1999-06-22,473.2230358474348
1999-06-23,468.0375085052325
1999-06-24,462.3646202728474
1999-06-25,452.6865652414278
1999-06-28,460.22451667786737
1999-06-29,463.61842898714656
1999-06-30,467.01106253639176
1999-07-01,476.85232944385103
1999-07-02,482.37468222166103
1999-07-05,488.7963032904526
1999-07-06,487.6960724992102
1999-07-07,488.227960891259
1999-07-08,487.1869046074015
1999-07-09,488.9590185378928
1999-07-12,488.62789096971295
1999-07-13,482.1745267753526
1999-07-14,477.87522059621216
1999-07-15,480.28156562067505
1999-07-16,480.8671024174176
1999-07-19,485.45576018006176
1999-07-20,471.53842606332336
1999-07-21,464.29975630853824
1999-07-22,462.5897543915624
1999-07-23,453.28189856174174
1999-07-26,435.5961599028488
1999-07-27,439.6541263582934
1999-07-28,445.40843205049623
1999-07-29,441.77032755742704
1999-07-30,439.2486845757978
1999-08-02,434.49874015999336
1999-08-03,437.1086832966997
1999-08-04,432.8645210463475
1999-08-05,424.37670528693775
1999-08-06,421.6339016721103
1999-08-09,427.755196767292
1999-08-10,426.10954987233725
1999-08-11,426.72136808583514
1999-08-12,430.0238339729489
1999-08-13,434.0653326414842
1999-08-16,437.98001025099217
1999-08-17,437.32150000130054
1999-08-18,434.3635405126698
1999-08-19,430.0931892452233
1999-08-20,432.75416044507205
1999-08-23,443.8775400234097
1999-08-24,445.7815745679225
1999-08-25,455.1340259922707
1999-08-26,453.58846607237507
1999-08-27,451.21524395780773
1999-08-30,448.7443773669235
1999-08-31,442.5756127832537
1999-09-01,440.0599982634519
1999-09-02,432.30880202833083
1999-09-03,437.49257047389824
1999-09-06,443.8003883736163
1999-09-07,439.3345120633852
1999-09-08,436.94169887491654
1999-09-09,441.4201190062607
1999-09-10,449.7849123324194
1999-09-13,455.2317665322589
1999-09-14,452.311628486403
1999-09-15,448.5930369312539
