Date,EM FAR EAST IMI
1998-12-31,492.66435030157425
1999-01-01,492.6599960340367
1999-01-04,501.51759836457813
1999-01-05,505.68026253805095
1999-01-06,520.7433418872013
1999-01-07,543.9999880343192
1999-01-08,539.5181023896158
1999-01-11,543.0714156146162
1999-01-12,535.8041364504927
1999-01-13,518.546263950061
1999-01-14,502.65899314693513
1999-01-15,517.358699424691
1999-01-18,520.2543070358113
1999-01-19,518.0119151815612
1999-01-20,520.9400264930084
1999-01-21,509.7813300268331
1999-01-22,490.3436927426478
1999-01-25,475.3214513986244
1999-01-26,478.9928070012983
1999-01-27,495.3025699980647
1999-01-28,496.73308159948135
1999-01-29,495.95233590082444
1999-02-01,497.4371538069836
1999-02-02,486.26260429063484
1999-02-03,483.293485742833
1999-02-04,475.7099969142218
1999-02-05,474.0756072270254
1999-02-08,481.31347434574394
1999-02-09,467.90670091804077
1999-02-10,468.7642251732726
1999-02-11,470.29331262417054
1999-02-12,484.634925040556
1999-02-15,486.35347975158754
1999-02-16,489.2441950008361
1999-02-17,484.7806433322214
1999-02-18,478.91193788159615
1999-02-19,475.3028635620628
1999-02-22,482.7506499305515
1999-02-23,481.0677572778631
1999-02-24,481.54003185003177
1999-02-25,478.50230714909776
1999-02-26,491.4365348569173
1999-03-01,494.5153673643573
1999-03-02,495.9958995713993
1999-03-03,501.28494336319756
1999-03-04,500.63575203142085
1999-03-05,500.82899184932427
1999-03-08,512.8121344895552
1999-03-09,512.1902723073376
1999-03-10,507.9297971737738
1999-03-11,517.1517163086168
1999-03-12,515.5385215922634
1999-03-15,523.7876838753202
1999-03-16,532.165686673314
1999-03-17,530.131251446415
1999-03-18,531.4958661322871
1999-03-19,547.964728640578
1999-03-22,551.8458234525385
1999-03-23,551.5969588281768
1999-03-24,546.2244885743993
1999-03-25,550.0046095085474
1999-03-26,559.9809476013908
1999-03-29,552.9116897371171
1999-03-30,556.5071704192172
1999-03-31,552.959215741333
1999-04-01,564.6797622661202
1999-04-02,575.9463485294485
1999-04-05,577.2292523740222
1999-04-06,581.1383781128915
1999-04-07,583.810288531416
1999-04-08,590.3016952601525
1999-04-09,597.4499000180741
1999-04-12,594.8027890021909
1999-04-13,602.7841349543964
1999-04-14,605.7294548119479
1999-04-15,626.4809202618126
1999-04-16,640.542469385172
1999-04-19,677.7732225074396
1999-04-20,675.9419794310063
1999-04-21,661.0718068139397
1999-04-22,660.8840453119595
1999-04-23,667.4205950425439
1999-04-26,684.7676093174094
1999-04-27,688.1699586864955
1999-04-28,687.5835180404366
1999-04-29,672.9295903366083
1999-04-30,679.5891777881388
1999-05-03,684.501247058757
1999-05-04,704.176949115816
1999-05-05,698.919896899953
1999-05-06,707.4082905116722
1999-05-07,700.3645902868554
1999-05-10,703.5934772089998
1999-05-11,696.7147504665148
1999-05-12,693.9579413335491
1999-05-13,681.0902397798235
1999-05-14,681.4859077733929
1999-05-17,673.6963824273431
1999-05-18,682.5400052012894
1999-05-19,683.808165173178
1999-05-20,676.443472001409
1999-05-21,681.6328183144961
1999-05-24,676.5411529153372
1999-05-25,669.3536927156196
1999-05-26,682.5957449612798
1999-05-27,688.7020633517714
1999-05-28,685.2437839619793
1999-05-31,688.0874896714333
1999-06-01,696.644976115318
1999-06-02,715.6372382783676
1999-06-03,720.7311116596926
1999-06-04,735.3242591448516
1999-06-07,764.963845293818
1999-06-08,774.2535072643456
1999-06-09,760.4089955225459
1999-06-10,777.5393643642036
1999-06-11,772.9809023115027
1999-06-14,769.3409098690189
1999-06-15,764.7783070689259
1999-06-16,786.4699218976938
1999-06-17,798.3437741279885
1999-06-18,798.5792692810203
1999-06-21,828.1892712687765
1999-06-22,844.9165075029915
1999-06-23,842.2799712595009
1999-06-24,838.0756326596567
1999-06-25,817.9124842219343
1999-06-28,834.5697496368272
1999-06-29,841.8431257156076
1999-06-30,833.8211897171801
1999-07-01,854.0905452440621
1999-07-02,867.2565332296421
1999-07-05,880.4279970060943
1999-07-06,884.1951926474816
1999-07-07,887.478512430865
1999-07-08,886.6662086216236
1999-07-09,892.7159813068653
1999-07-12,887.4289106404725
1999-07-13,867.7794918356428
1999-07-14,836.8545135348999
1999-07-15,847.8553855572155
1999-07-16,845.8144319995887
1999-07-19,846.2557061225431
1999-07-20,829.3459740040445
1999-07-21,806.1453828938663
1999-07-22,801.9611667901471
1999-07-23,773.4305152825756
1999-07-26,736.2019828040692
1999-07-27,748.9087322627556
1999-07-28,766.9094511662398
1999-07-29,777.2329078246674
1999-07-30,765.6645100695907
1999-08-02,758.8371060273963
1999-08-03,766.0537642385968
1999-08-04,755.7649436185347
1999-08-05,731.4130179373396
1999-08-06,724.7403497870888
1999-08-09,737.2709511354835
