Date,EM EASTERN EUROPE ex RUSSIA IMI
2008-06-12,887.041230754998
2008-06-13,892.2285107491034
2008-06-16,884.1852577794698
2008-06-17,893.2681231212975
2008-06-18,889.2870452146675
2008-06-19,898.216763828229
2008-06-20,880.0381242831713
2008-06-23,873.795569596731
2008-06-24,867.1358245742941
2008-06-25,875.4689889711677
2008-06-26,871.3493086778395
2008-06-27,862.9747986994838
2008-06-30,866.6951208553286
2008-07-01,856.678457132833
2008-07-02,858.8988837607063
2008-07-03,854.9071246541822
2008-07-04,846.7131647857055
2008-07-07,858.1250792767341
2008-07-08,863.4503846843703
2008-07-09,882.7236636521015
2008-07-10,872.5428632067799
2008-07-11,866.6141391350094
2008-07-14,868.6627008493901
2008-07-15,849.1838613824358
2008-07-16,851.767051114063
2008-07-17,877.0122542550157
2008-07-18,881.7588735960559
2008-07-21,895.8262081485891
2008-07-22,889.1697215448278
2008-07-23,895.5659537436417
2008-07-24,893.1805408847373
2008-07-25,900.7931322367541
2008-07-28,908.2032705820086
2008-07-29,907.7689883079995
2008-07-30,936.7581751286577
2008-07-31,933.7034924099527
2008-08-01,919.3961394280136
2008-08-04,910.0333025939457
2008-08-05,918.2400609505855
2008-08-06,904.7792251780232
2008-08-07,892.5114666484419
2008-08-08,876.4350527892124
2008-08-11,881.2427035703256
2008-08-12,889.02581064576
2008-08-13,873.3424147637274
2008-08-14,871.8282213748447
2008-08-15,871.1405525870852
2008-08-18,876.0893055526743
2008-08-19,855.5222189369862
2008-08-20,863.7676598257202
2008-08-21,860.7365674691707
2008-08-22,872.9266458335152
2008-08-25,869.711794755382
2008-08-26,855.2284348041347
2008-08-27,848.3869816095809
2008-08-28,857.7417638058124
2008-08-29,874.7624687616624
2008-09-01,863.2903273080038
2008-09-02,876.0420284260949
2008-09-03,861.6804630384181
2008-09-04,853.5394309914558
2008-09-05,810.3815941920166
2008-09-08,829.7302210813715
2008-09-09,822.4472981705808
2008-09-10,813.541284346658
2008-09-11,799.3524102663669
2008-09-12,815.4618945321182
2008-09-15,788.777921219126
2008-09-16,755.7795435360975
2008-09-17,755.2374392273982
2008-09-18,754.811005902879
2008-09-19,818.526858891538
2008-09-22,815.5753205975153
2008-09-23,791.1017672296717
2008-09-24,787.1008246313868
2008-09-25,807.4376826332879
2008-09-26,808.9753277695818
2008-09-29,767.0820286261992
2008-09-30,778.4565332041124
2008-10-01,792.5973064436715
2008-10-02,774.9844399810346
2008-10-03,767.6312704834817
2008-10-06,700.9649866254788
2008-10-07,694.3640982064409
2008-10-08,663.0447439617985
2008-10-09,651.2620344506422
2008-10-10,584.1309096191366
2008-10-13,616.0126566684428
2008-10-14,664.6922483171861
2008-10-15,599.2985594069816
2008-10-16,560.0311306516786
2008-10-17,532.2376364201585
2008-10-20,527.841816242719
2008-10-21,525.3148867065418
2008-10-22,485.48581249580934
2008-10-23,475.3090554130329
2008-10-24,448.091179554279
2008-10-27,435.1106188701779
2008-10-28,467.3465257173071
2008-10-29,535.136775502138
2008-10-30,543.6318431983879
2008-10-31,561.6719629018074
2008-11-03,562.7168981563847
2008-11-04,597.9330820607096
2008-11-05,576.74964384559
2008-11-06,532.7590192189635
2008-11-07,536.0911087047987
2008-11-10,537.1366783869565
2008-11-11,516.6516523478127
2008-11-12,497.6184849669768
2008-11-13,480.63514574614754
2008-11-14,498.51759429399345
2008-11-17,485.27157140893115
2008-11-18,462.2657361477865
2008-11-19,464.88720870979324
2008-11-20,435.4709935616928
2008-11-21,441.28818200872036
2008-11-24,481.64798970110047
2008-11-25,495.52184234119113
2008-11-26,497.23124187213443
2008-11-27,505.6654907892618
2008-11-28,506.640513049449
2008-12-01,490.72851482081137
2008-12-02,492.05575750672585
2008-12-03,487.77047484461883
2008-12-04,500.84721817498337
2008-12-05,486.77615663323166
2008-12-08,506.3586786732188
2008-12-09,511.1097660576598
2008-12-10,510.22000102196495
2008-12-11,508.4061356444424
2008-12-12,482.7018604485634
2008-12-15,487.7480204976478
2008-12-16,487.56773675938217
2008-12-17,484.6188721337027
2008-12-18,483.08934134689616
2008-12-19,481.750458703544
2008-12-22,476.84046371185605
2008-12-23,478.1593503243065
2008-12-24,477.5644802293996
2008-12-25,477.5644802293996
2008-12-26,474.9498897948651
2008-12-29,477.80768730753744
2008-12-30,478.04740184898367
2008-12-31,477.87808401269456
2009-01-01,477.87808401269456
2009-01-02,476.9662174412834
2009-01-05,501.2656518570395
2009-01-06,527.3273507588104
2009-01-07,510.68347024313914
2009-01-08,501.1917114600483
2009-01-09,491.58447413943463
2009-01-12,481.74881556175484
2009-01-13,474.25681482690095
2009-01-14,457.3082538065305
2009-01-15,446.7870963431175
2009-01-16,447.87460556320724
2009-01-19,432.897021286443
2009-01-20,425.9462706691878
2009-01-21,429.2812557867365
2009-01-22,416.05794915475235
2009-01-23,405.95975819143223
2009-01-26,422.2431054278536
2009-01-27,411.73380890273313
2009-01-28,421.07799213025413
2009-01-29,413.9658556058653
2009-01-30,401.42703076516784
2009-02-02,391.06445866438577
2009-02-03,373.5301365382101
2009-02-04,374.23381067101576
2009-02-05,374.4523700094566
2009-02-06,384.6161904823416
2009-02-09,404.77949026163816
2009-02-10,399.3012028713075
2009-02-11,384.95148962701427
2009-02-12,373.3300788499383
2009-02-13,374.3442890616389
2009-02-16,351.4700731571527
2009-02-17,325.608654140659
2009-02-18,324.038782936972
2009-02-19,340.6543200210549
2009-02-20,333.96826613950685
2009-02-23,337.9597183849711
2009-02-24,335.38683657499524
2009-02-25,329.4036576868122
2009-02-26,338.2704779361739
2009-02-27,334.54848097905494
2009-03-02,329.6832759397033
2009-03-03,332.52972841100603
