Date,EFM LATIN AMERICA & CARIBBEAN INDEX IMI
2010-11-30,1000.0
2010-12-01,1020.3731051551865
2010-12-02,1020.0083308680514
2010-12-03,1011.1026230761563
2010-12-06,1020.344184705481
2010-12-07,1016.9522214301657
2010-12-08,1010.1739243996818
2010-12-09,1005.4174020798222
2010-12-10,1001.0417221352236
2010-12-13,1004.9080395998488
2010-12-14,1005.9291701706312
2010-12-15,1001.2843310417078
2010-12-16,1001.6636196507653
2010-12-17,1010.915668811368
2010-12-20,1010.0113157647013
2010-12-21,1023.220339237826
2010-12-22,1027.3231514165848
2010-12-23,1030.947352973541
2010-12-24,1028.4502260351603
2010-12-27,1018.8969915594188
2010-12-28,1023.006663359753
2010-12-29,1035.703488522019
2010-12-30,1037.4345166534545
2010-12-31,1031.3014396769688
2011-01-03,1046.5956693909036
2011-01-04,1044.5391772601972
2011-01-05,1064.8472063129966
2011-01-06,1056.5262881927597
2011-01-07,1057.428681722092
2011-01-10,1053.5745345183557
2011-01-11,1057.2328585342214
2011-01-12,1069.0720654716001
2011-01-13,1040.5134298862476
2011-01-14,1035.4743352014113
2011-01-17,1039.6192105020987
2011-01-18,1038.5194901415582
2011-01-19,1020.2724042351574
2011-01-20,1014.0776206798098
2011-01-21,1000.1445246270029
2011-01-24,999.2358362831437
2011-01-25,996.5801692639516
2011-01-26,993.3490922117537
2011-01-27,981.9749121333251
2011-01-28,967.3076910113241
2011-01-31,963.9134324177271
2011-02-01,981.6623168459441
2011-02-02,971.6362478373021
2011-02-03,979.0856596674226
2011-02-04,968.4533653857214
2011-02-07,969.8981357797013
2011-02-08,966.3523887838874
2011-02-09,944.9646242987316
2011-02-10,948.7440256760281
2011-02-11,970.3622707697525
2011-02-14,985.1157644077517
2011-02-15,980.2603639740179
2011-02-16,990.1491004686359
2011-02-17,989.5476913915633
2011-02-18,987.545299763814
2011-02-21,977.2377945612914
2011-02-22,964.6676624271302
2011-02-23,958.3263747400723
2011-02-24,957.6087082354348
2011-02-25,968.1849519090721
2011-02-28,972.6969337480489
2011-03-01,959.7811833001124
2011-03-02,966.7380135122146
2011-03-03,974.9598252167558
2011-03-04,974.9508723474821
2011-03-07,966.7309967107763
2011-03-08,973.9613120737151
2011-03-09,962.6911992204408
2011-03-10,950.2805385519175
2011-03-11,954.1333880933876
2011-03-14,948.1677160204192
2011-03-15,943.2166170524525
2011-03-16,931.6713445604456
2011-03-17,927.7359957624302
2011-03-18,925.9676279304947
2011-03-21,930.3626368412514
2011-03-22,940.9071323812825
2011-03-23,954.4947721772884
2011-03-24,953.0771165810628
2011-03-25,957.309802456049
2011-03-28,951.8896971947748
2011-03-29,957.134869061983
2011-03-30,972.5981263444635
2011-03-31,979.859671763697
2011-04-01,996.3545374512657
2011-04-04,994.6534409045971
2011-04-05,1000.819954819275
2011-04-06,988.5775109144806
2011-04-07,991.6259198724408
2011-04-08,985.6066354810831
2011-04-11,979.0613126696232
2011-04-12,955.6233917858541
2011-04-13,951.1793703223891
2011-04-14,952.2507776676356
2011-04-15,963.507932960907
2011-04-18,951.7972899984168
2011-04-19,960.7907583365937
2011-04-20,967.2243742675165
2011-04-21,965.349686541777
2011-04-22,965.349686541777
2011-04-25,963.3924874250622
