Date,EMERGING MARKETS IMI WTH PARTIAL A SHRES
2008-11-27,1059.1332558068227
2008-11-28,1076.8372689427854
2008-12-30,1043.7142635968569
2008-12-31,1064.5786639787948
2009-01-29,1064.0557430643144
2009-01-30,1081.1635307441823
2009-02-26,1040.686567698715
2009-02-27,1032.1461184562695
2009-03-30,1121.3032208591853
2009-03-31,1129.0218309191555
2009-04-29,1287.952597739699
2009-04-30,1326.001924249238
2009-05-28,1462.1668464972652
2009-05-29,1461.256440551489
2009-06-29,1460.840559924885
2009-06-30,1457.7684587143
2009-07-30,1599.9257303745685
2009-07-31,1607.4408041915938
2009-08-28,1601.8713728027267
2009-08-31,1582.9469433894535
2009-09-29,1699.2083887718277
2009-09-30,1693.1091112438648
2009-10-29,1685.2107462896017
2009-10-30,1681.1381441482595
2009-11-27,1705.132673031344
2009-11-30,1724.6193900516496
2009-12-30,1870.977361035418
2009-12-31,1881.297742475854
2010-01-28,1841.3522519019189
2010-01-29,1837.533969499503
2010-02-25,1869.4849808054291
2010-02-26,1878.3353684505594
2010-03-30,2063.0135875071405
2010-03-31,2048.8474716707665
2010-04-29,2108.9802847370515
2010-04-30,2112.7076356257703
2010-05-28,2052.9796157027163
2010-05-31,2083.131616385051
2010-06-29,2101.7773035229184
2010-06-30,2076.475059850891
2010-07-29,2107.4026440204607
2010-07-30,2112.7889904112385
2010-08-30,2140.109131891437
2010-08-31,2130.042000579983
2010-09-29,2202.5172547703282
2010-09-30,2205.184807515609
2010-10-28,2227.397896518968
2010-10-29,2233.8616762029255
2010-11-29,2318.313835503877
2010-11-30,2323.795642446781
2010-12-30,2422.74207475405
2010-12-31,2411.043017280542
2011-01-28,2322.3534260122497
2011-01-31,2293.72626943309
2011-02-25,2242.730124125048
2011-02-28,2248.334706201879
2011-03-30,2306.251923252318
2011-03-31,2312.620649901722
2011-04-28,2279.8551227708936
2011-04-29,2284.012148802003
2011-05-30,2271.6450538229496
2011-05-31,2293.936727205042
2011-06-29,2227.8050651855533
2011-06-30,2238.5176943822635
2011-07-28,2281.315644401548
2011-07-29,2254.933236265932
2011-08-30,2001.5808497612595
2011-08-31,2043.9955579078758
2011-09-29,1865.6329735887964
2011-09-30,1870.4318609560346
2011-10-28,2024.9816429843843
2011-10-31,2029.6294726630151
2011-11-29,1942.6705002369488
2011-11-30,1959.2813303420573
2011-12-29,2011.2512673093263
2011-12-30,2006.3943197075598
2012-01-30,2179.765933806969
2012-01-31,2212.9877450941026
2012-02-28,2272.41240463878
2012-02-29,2302.431442040902
2012-03-29,2222.9284151554048
2012-03-30,2235.553447580184
2012-04-27,2202.7509118747053
2012-04-30,2221.3434802759475
2012-05-30,2116.5787179195577
2012-05-31,2118.6648211859874
2012-06-28,2117.112424655251
2012-06-29,2140.550927728892
2012-07-30,2246.926452049478
2012-07-31,2242.550777367335
2012-08-30,2201.8938136531965
2012-08-31,2189.6250357429108
2012-09-27,2264.5468796048176
2012-09-28,2274.942647550782
2012-10-30,2233.577923501735
2012-10-31,2242.8663815818286
2012-11-29,2260.5110237381405
2012-11-30,2263.0393172906347
2012-12-28,2336.226086364224
2012-12-31,2343.399947386595
2013-01-30,2310.8089769857397
2013-01-31,2311.5851330748205
2013-02-27,2351.8252211912936
2013-02-28,2376.6944588726665
2013-03-28,2377.7607311990587
2013-03-29,2383.059331091081
2013-04-29,2330.3393523245345
2013-04-30,2341.700349763659
2013-05-30,2328.697515711604
2013-05-31,2329.006288278206
2013-06-27,2119.8580298254474
2013-06-28,2165.7090348750985
2013-07-30,2159.706791125549
2013-07-31,2141.2479100479727
2013-08-29,2091.429185213781
2013-08-30,2116.6465903982707
2013-09-27,2219.657659309274
2013-09-30,2195.5800741555554
2013-10-30,2276.3741383764486
2013-10-31,2288.1149832092933
2013-11-28,2240.647961021226
2013-11-29,2251.7733323359125
2013-12-30,2186.7022358657864
2013-12-31,2194.8243546417357
2014-01-30,2094.7249132861457
2014-01-31,2107.373418240765
2014-02-27,2140.011681581443
2014-02-28,2127.3376214370155
2014-03-28,2177.2342782283336
2014-03-31,2193.556941660964
2014-04-29,2204.781188240298
2014-04-30,2187.8288319623475
2014-05-29,2325.6562073853556
2014-05-30,2299.0144903311584
2014-06-27,2347.801159859913
2014-06-30,2350.261105065167
2014-07-30,2476.628014635274
2014-07-31,2449.338706589938
2014-08-28,2541.5787586945708
2014-08-29,2544.485066188018
2014-09-29,2467.34781335784
2014-09-30,2469.4189318661406
2014-10-30,2472.3322144448084
2014-10-31,2509.938310093785
2014-11-27,2511.7985177413707
2014-11-28,2496.5749191615223
2014-12-30,2445.1643062927747
2014-12-31,2464.6131797311104
2015-01-29,2677.7396840890356
2015-01-30,2661.1786557492555
2015-02-26,2766.428999328854
2015-02-27,2757.698760086082
2015-03-30,2811.681355134346
2015-03-31,2850.938860049544
2015-04-29,2996.1444815695786
2015-04-30,2952.2255337525485
2015-05-28,2944.709975255349
2015-05-29,2920.3803569999213
2015-06-29,2746.5465956268745
2015-06-30,2787.6550134260447
2015-07-30,2618.440178248243
2015-07-31,2608.837709994917
2015-08-28,2338.082820026759
2015-08-31,2335.448363384823
2015-09-29,2229.9942319901697
2015-09-30,2282.398423410296
2015-10-29,2484.630620066801
2015-10-30,2469.2696413072463
2015-11-27,2515.0538769076234
2015-11-30,2489.215301203821
2015-12-30,2357.1943633696765
2015-12-31,2374.5758204030503
2016-01-28,2130.6923876229675
2016-01-29,2211.2557244893014
