Date,EM ASIA IMI WITH PARTIAL A SHARES
2008-11-27,1067.7284037760435
2008-11-28,1094.166254840468
2008-12-30,1094.1458109507187
2008-12-31,1115.7439200386243
2009-01-29,1105.5160479709157
2009-01-30,1134.6093795622446
2009-02-26,1080.1071075978355
2009-02-27,1077.387678595129
2009-03-30,1191.857823562376
2009-03-31,1195.9522948789902
2009-04-29,1339.2240674184661
2009-04-30,1405.5699047182084
2009-05-28,1538.2223100557403
2009-05-29,1533.3201884585296
2009-06-29,1539.706429995027
2009-06-30,1539.0193653912415
2009-07-30,1701.2026196576135
2009-07-31,1716.0602071623614
2009-08-28,1662.1770851825574
2009-08-31,1646.6319366410366
2009-09-29,1764.7770468886256
2009-09-30,1763.4347240151487
2009-10-29,1711.3038420430776
2009-10-30,1734.1152233090893
2009-11-27,1723.732865413815
2009-11-30,1761.9443815281925
2009-12-30,1919.2652176650909
2009-12-31,1933.8234569904694
2010-01-28,1890.3648232146247
2010-01-29,1878.6339281205142
2010-02-25,1915.9564646492822
2010-02-26,1915.3762503739615
2010-03-30,2108.4549452349984
2010-03-31,2085.058672616871
2010-04-29,2154.416152550588
2010-04-30,2170.5115063112685
2010-05-28,2114.9896622991932
2010-05-31,2142.602277958535
2010-06-29,2195.2797799589216
2010-06-30,2175.4966879562226
2010-07-29,2160.0429249634053
2010-07-30,2162.928414840818
2010-08-30,2217.0676981984793
2010-08-31,2190.5694664047496
2010-09-29,2275.8331083948146
2010-09-30,2271.2585138537847
2010-10-28,2301.939648867805
2010-10-29,2294.8674617191145
2010-11-29,2399.52876681646
2010-11-30,2400.3271037637683
2010-12-30,2481.060404419278
2010-12-31,2469.663294445856
2011-01-28,2417.229895901338
2011-01-31,2379.184785790128
2011-02-25,2270.1630849678513
2011-02-28,2267.839348714051
2011-03-30,2349.1527272596295
2011-03-31,2355.4028973518816
2011-04-28,2347.56663262382
2011-04-29,2338.789662623856
2011-05-30,2346.688663920463
2011-05-31,2372.3398128332146
2011-06-29,2287.7395958892284
2011-06-30,2302.4410325996537
2011-07-28,2385.634728600303
2011-07-29,2348.421168625649
2011-08-30,2057.9537787186455
2011-08-31,2095.160879962918
2011-09-29,1938.2517132111454
2011-09-30,1953.9103288735598
2011-10-28,2081.3077176584356
2011-10-31,2098.2860176875556
2011-11-29,2018.9975758473092
2011-11-30,1988.9767973719645
2011-12-29,2077.688806233653
2011-12-30,2070.2183404928555
2012-01-30,2229.455251531777
2012-01-31,2268.313633509783
2012-02-28,2315.9179502437805
2012-02-29,2357.38331126392
2012-03-29,2277.0035295551975
2012-03-30,2289.2955303559406
2012-04-27,2266.8100566492776
2012-04-30,2294.042436977545
2012-05-30,2229.9172850712125
2012-05-31,2230.8175674172703
2012-06-28,2219.279918035523
2012-06-29,2224.965707564341
2012-07-30,2304.4420871838774
2012-07-31,2328.4301788257894
2012-08-30,2287.2932917135836
2012-08-31,2266.436982135625
2012-09-27,2356.6229137264877
2012-09-28,2380.2394981865755
2012-10-30,2330.3356300532473
2012-10-31,2349.4875202334933
2012-11-29,2392.822225295622
2012-11-30,2403.73845831381
2012-12-28,2447.519557381211
2012-12-31,2458.2984901721743
2013-01-30,2428.752641138004
2013-01-31,2420.6085613183923
2013-02-27,2485.3937108970053
2013-02-28,2517.8139040294554
2013-03-28,2505.397369827524
2013-03-29,2512.9733581619703
2013-04-29,2475.441065292953
2013-04-30,2487.560641823253
2013-05-30,2518.6711091682187
2013-05-31,2521.066284097527
2013-06-27,2292.5974927629777
2013-06-28,2350.7159128516378
2013-07-30,2352.288043764798
2013-07-31,2329.9429235658813
2013-08-29,2281.926882546316
2013-08-30,2314.768847119555
2013-09-27,2405.031113429035
2013-09-30,2374.9049787698104
2013-10-30,2454.680117983222
2013-10-31,2473.0444277202355
2013-11-28,2458.9251442083546
2013-11-29,2470.43422246339
2013-12-30,2401.1478402104435
2013-12-31,2413.9207205604725
2014-01-30,2345.3481717608843
2014-01-31,2360.980646544808
2014-02-27,2397.6501796396715
2014-02-28,2382.2531019895923
2014-03-28,2407.5248651372103
2014-03-31,2419.7872228463484
2014-04-29,2431.770047702051
2014-04-30,2408.3617143989895
2014-05-29,2560.283120179744
2014-05-30,2544.4618483357485
2014-06-27,2593.965962480092
2014-06-30,2604.871247756695
2014-07-30,2773.102382648361
2014-07-31,2750.157730835019
2014-08-28,2830.4370078187767
2014-08-29,2828.0425925346535
2014-09-29,2795.0730826293825
2014-09-30,2793.939080130654
2014-10-30,2797.6077188429394
2014-10-31,2842.2738638103747
2014-11-27,2857.522867999479
2014-11-28,2857.25620446271
2014-12-30,2864.7110820605667
2014-12-31,2897.678188250746
2015-01-29,3184.872598345208
2015-01-30,3180.102066754191
2015-02-26,3282.5452652314507
2015-02-27,3276.4806806676947
2015-03-30,3404.3094131120556
2015-03-31,3452.128387110338
2015-04-29,3610.2805722292806
