Date,EM IMI WITH CHINA ALL SHARES
2010-12-31,2352.433171251153
2015-08-07,2853.7407819717178
2016-11-08,2770.010437830736
2016-11-09,2738.5250942825987
2016-11-10,2755.0311964541384
2016-11-11,2701.0693958512575
2016-11-14,2711.346181160003
2016-11-15,2714.7197545210597
2016-11-16,2741.2571626128865
2016-11-17,2740.5729497578777
2016-11-18,2753.7548126674133
2016-11-21,2749.4409956890163
2016-11-22,2787.7658454672755
2016-11-23,2797.1714441650106
2016-11-24,2776.1866701514027
2016-11-25,2778.7911041440257
2016-11-28,2805.109718591451
2016-11-29,2786.42442806393
2016-11-30,2795.6774428871317
2016-12-01,2786.613868160032
2016-12-02,2753.848189106148
2016-12-05,2730.953894236892
2016-12-06,2748.159568561787
2016-12-07,2758.5837612224104
2016-12-08,2825.422156531559
2016-12-09,2841.3505415828345
2016-12-12,2785.6262995114503
2016-12-13,2791.8720356052445
2016-12-14,2774.0809716179583
2016-12-15,2800.793910841203
2016-12-16,2798.9806673078315
2016-12-19,2777.54083545958
2016-12-20,2788.770248996855
2016-12-21,2780.4896554469956
2016-12-22,2753.8298608007112
2016-12-23,2744.4269157834497
2016-12-26,2748.200736560397
2016-12-27,2754.319791163956
2016-12-28,2788.3673223090927
2016-12-29,2779.3143129666246
2016-12-30,2775.706825507153
2017-01-02,2775.0025200195446
2017-01-03,2839.732171766448
2017-01-04,2829.349593519081
2017-01-05,2828.4385938566743
2017-01-06,2825.280746308611
2017-01-09,2826.23698247925
2017-01-10,2833.395352301698
2017-01-11,2863.691736346496
2017-01-12,2835.6517225693397
2017-01-13,2838.278864369306
2017-01-16,2817.57961874521
2017-01-17,2813.269617144266
2017-01-18,2826.024806528571
2017-01-19,2832.807013603115
2017-01-20,2818.8742543593867
2017-01-23,2827.361291283086
2017-01-24,2840.6244751503305
2017-01-25,2850.977525179905
2017-01-26,2884.166034739922
2017-01-27,2872.593765503861
2017-01-30,2870.29666072503
2017-01-31,2831.273222531527
2017-02-01,2854.0354183591226
2017-02-02,2847.949356285376
2017-02-03,2859.388798379033
2017-02-06,2887.0697070136384
2017-02-07,2892.6991701068614
2017-02-08,2896.564503837742
2017-02-09,2922.833752555038
2017-02-10,2945.295770604401
2017-02-13,2967.9998611820915
2017-02-14,2978.643256358799
2017-02-15,2989.3915511636205
2017-02-16,2975.8314512002494
2017-02-17,2967.045620709587
2017-02-20,2987.431904995387
2017-02-21,3019.4890335186255
2017-02-22,3032.9089270499344
2017-02-23,3020.274226618699
2017-02-24,3008.296068673674
2017-02-27,2983.7690191223533
2017-02-28,2973.84679357842
2017-03-01,2999.227202062758
2017-03-02,2997.3983783170825
2017-03-03,2971.7058921629696
2017-03-06,2975.3083742134622
2017-03-07,2987.122604075566
2017-03-08,2987.7772701814224
2017-03-09,2946.636386670636
2017-03-10,2932.872206888624
2017-03-13,2964.049506332531
2017-03-14,2973.6872676019693
2017-03-15,2987.3421482868125
2017-03-16,3011.419343199923
2017-03-17,3009.319268945673
2017-03-20,3023.3911808283124
2017-03-21,3012.366835797641
2017-03-22,2998.480714082107
2017-03-23,3006.836177278433
2017-03-24,3008.638139208935
2017-03-27,2977.725152410526
2017-03-28,2990.631082114103
2017-03-29,3025.851669084799
2017-03-30,3017.209128807654
2017-03-31,3005.009188398191
2017-04-03,3033.9230643421715
2017-04-04,3030.8669110937135
2017-04-05,3051.9565398540403
2017-04-06,3041.4220614833343
2017-04-07,3050.5676307986882
2017-04-10,3042.9118414304994
2017-04-11,3030.9837691720495
2017-04-12,3039.769022011934
2017-04-13,3052.7724011307696
2017-04-14,3038.6555739217406
2017-04-17,3027.6016885075205
2017-04-18,3002.5971720112075
2017-04-19,2981.456449167111
2017-04-20,2980.560066850269
2017-04-21,3009.4897320125833
2017-04-24,2970.296834721967
2017-04-25,2981.6003667321625
2017-04-26,2995.8744409694527
2017-04-27,2992.378055949879
2017-04-28,2982.6340846954245
2017-05-01,2979.048624508486
2017-05-02,3002.2125045802372
2017-05-03,2993.183830779483
2017-05-04,2968.3117386467275
