Date,HK-LISTED SOUTHBOUND + CHINA A IMI
2009-11-30,1000.0
2009-12-01,1011.4672764045322
2009-12-02,1023.8396177378029
2009-12-03,1029.8410589247949
2009-12-04,1043.092418259435
2009-12-07,1049.178454379352
2009-12-08,1046.6446429914415
2009-12-09,1028.4712491125547
2009-12-10,1032.277336724781
2009-12-11,1043.771522636342
2009-12-14,1048.8823915976448
2009-12-15,1047.1901293688043
2009-12-16,1036.5187775310028
2009-12-17,1032.7859317697187
2009-12-18,1016.9561502152183
2009-12-21,1011.8103205011254
2009-12-22,1008.6420672034832
2009-12-23,1013.1758352234624
2009-12-24,1030.762041485944
2009-12-25,1030.4993132589104
2009-12-28,1036.148291986525
2009-12-29,1037.9766764764202
2009-12-30,1050.9246338950902
2009-12-31,1058.8512391585184
2010-01-01,1058.8512391585184
2010-01-04,1049.906904837528
2010-01-05,1067.9509644018863
2010-01-06,1071.5164740820296
2010-01-07,1062.6571538204428
2010-01-08,1066.5382273011203
2010-01-11,1055.5177731567849
2010-01-12,1063.3997303597948
2010-01-13,1039.678577639839
2010-01-14,1052.2528753303645
2010-01-15,1062.1681566493307
2010-01-18,1059.9061808070455
2010-01-19,1072.2965467464578
2010-01-20,1059.5387144700462
2010-01-21,1053.9607700062795
2010-01-22,1034.4335685164754
2010-01-25,1022.0084008319593
2010-01-26,1000.3699572026516
2010-01-27,991.9216389811412
2010-01-28,1009.0961559607119
2010-01-29,1009.327389556481
2010-02-01,1006.3135661823419
2010-02-02,1003.3521102748084
2010-02-03,1028.386168659232
2010-02-04,1029.0120668804043
2010-02-05,1007.6136013034159
2010-02-08,1001.0873644067532
2010-02-09,1004.4318090603643
2010-02-10,1018.8433473827324
2010-02-11,1035.4275688666028
2010-02-12,1040.6779224521852
2010-02-15,1041.7109632580796
2010-02-16,1033.6973836288607
2010-02-17,1044.091644513371
2010-02-18,1043.8219296558325
2010-02-19,1039.4910464628772
2010-02-22,1044.902680226395
2010-02-23,1051.7199614600881
2010-02-24,1054.2726960819712
2010-02-25,1067.1225703199166
2010-02-26,1061.8459837913686
2010-03-01,1092.0749437826294
2010-03-02,1078.790166335827
2010-03-03,1074.3303822114497
2010-03-04,1059.2626684601396
2010-03-05,1066.5783923080471
2010-03-08,1078.7770311579643
2010-03-09,1086.5298603105427
2010-03-10,1075.2295032887876
2010-03-11,1073.4547064934472
2010-03-12,1058.8295579114208
2010-03-15,1056.386044902388
2010-03-16,1050.4131951590061
2010-03-17,1073.8880211437188
2010-03-18,1084.3027121199686
2010-03-19,1095.9856848915142
2010-03-22,1087.4449654905648
2010-03-23,1083.3194929477236
2010-03-24,1099.7601373816426
2010-03-25,1088.4052147800453
2010-03-26,1099.0032135602055
2010-03-29,1107.4676751077334
2010-03-30,1116.5837259576626
2010-03-31,1101.6004892776448
2010-04-01,1117.0077649505824
2010-04-02,1119.2816236136757
2010-04-05,1121.9372464956803
2010-04-06,1132.362191081768
2010-04-07,1145.1007201722243
2010-04-08,1137.1583779536838
2010-04-09,1144.4035463656428
2010-04-12,1127.0056055924304
2010-04-13,1130.1774897982366
2010-04-14,1128.8614904034305
2010-04-15,1132.6003113442182
2010-04-16,1125.7146087461972
2010-04-19,1089.3210769227633
2010-04-20,1098.446283389494
2010-04-21,1115.0324984390522
2010-04-22,1118.2465074983509
2010-04-23,1105.6026283864114
2010-04-26,1116.381153427491
2010-04-27,1097.1368879342267
2010-04-28,1095.3185564615103
2010-04-29,1078.2100530182738
2010-04-30,1079.4469754163606
2010-05-03,1081.1359245029373
2010-05-04,1085.5118020524355
2010-05-05,1092.8879268544824
2010-05-06,1076.473683417375
2010-05-07,1063.9011956590648
2010-05-10,1063.561047251677
2010-05-11,1057.3832569437993
2010-05-12,1057.3664350694721
2010-05-13,1086.0965084888326
2010-05-14,1089.520269265022
2010-05-17,1052.7417278430398
2010-05-18,1064.4478983392464
2010-05-19,1054.7472665850228
2010-05-20,1042.9555178440726
2010-05-21,1032.3155323566994
2010-05-24,1071.8766077903028
2010-05-25,1053.1973770320922
2010-05-26,1064.7328536041277
2010-05-27,1080.2999914853501
2010-05-28,1085.460524904236
2010-05-31,1077.315785442979
2010-06-01,1058.8771625470952
2010-06-02,1069.7845220010606
2010-06-03,1076.3651340272995
2010-06-04,1095.3052395908362
2010-06-07,1084.2093053466417
2010-06-08,1087.9429110778053
2010-06-09,1094.832270119522
2010-06-10,1087.8531323195305
2010-06-11,1097.2034892265062
2010-06-14,1088.0550641016123
2010-06-15,1086.0108403432134
2010-06-16,1085.2952180949728
2010-06-17,1082.1741186116606
2010-06-18,1070.9630069884695
2010-06-21,1106.9044758370312
2010-06-22,1112.786379575617
2010-06-23,1112.971357379429
2010-06-24,1103.2255503225501
2010-06-25,1098.0251937108262
2010-06-28,1088.0332696057192
2010-06-29,1063.5792601548053
2010-06-30,1050.2824509902232
2010-07-01,1025.8716514931996
2010-07-02,1006.6823930619521
2010-07-05,1006.1325995328813
2010-07-06,1015.2391565576378
2010-07-07,1016.0936651649258
2010-07-08,1017.663568936336
2010-07-09,1044.5545578483598
2010-07-12,1056.6182175611527
2010-07-13,1040.7413065987053
2010-07-14,1043.723951506346
2010-07-15,1013.5446009938067
2010-07-16,1010.4226555290184
2010-07-19,1015.0285991941777
2010-07-20,1039.1280415383142
2010-07-21,1052.9110586301508
2010-07-22,1054.5039299180207
2010-07-23,1070.3014041186877
2010-07-26,1065.0526573690966
2010-07-27,1063.539735488939
2010-07-28,1076.28254159116
2010-07-29,1073.7775650608635
2010-07-30,1076.5129347101222
2010-08-02,1082.92158112962
2010-08-03,1073.5361986851406
2010-08-04,1084.5076069807556
2010-08-05,1081.7066128772913
2010-08-06,1081.153871877723
2010-08-09,1092.5254507965265
2010-08-10,1080.6836825283706
2010-08-11,1095.4246597752233
2010-08-12,1087.5483612801863
2010-08-13,1102.7603182367354
2010-08-16,1106.6839626655758
2010-08-17,1110.7836593515751
2010-08-18,1110.8253754993616
2010-08-19,1113.7890521606787
2010-08-20,1115.7831149285116
2010-08-23,1115.8956280110945
2010-08-24,1112.5245902190698
2010-08-25,1104.3936065554503
2010-08-26,1096.4533255045349
2010-08-27,1098.4686797267045
2010-08-30,1117.2110136634756
2010-08-31,1111.3025448131866
2010-09-01,1101.6950490029378
2010-09-02,1117.579883202563
2010-09-03,1119.8569807758313
2010-09-06,1136.091810262422
2010-09-07,1152.5482708855848
2010-09-08,1144.7362694052745
2010-09-09,1140.5504792521754
2010-09-10,1147.9525372007497
2010-09-13,1153.4002977156658
2010-09-14,1147.992057878541
2010-09-15,1135.2807411519912
2010-09-16,1118.1960370252186
2010-09-17,1131.9055774579128
2010-09-20,1126.2008456842298
2010-09-21,1124.3671950000712
2010-09-22,1102.5238217806734
2010-09-23,1108.937008652479
2010-09-24,1098.4707507547234
2010-09-27,1116.7583841092592
2010-09-28,1101.429849682104
2010-09-29,1101.0248257719268
2010-09-30,1105.3085871148407
2010-10-01,1098.0785905167772
2010-10-04,1110.990134116025
2010-10-05,1098.5810660579345
2010-10-06,1100.467459692209
2010-10-07,1096.3036904741732
2010-10-08,1114.4765408016822
2010-10-11,1132.6963792461793
2010-10-12,1140.2396671398203
2010-10-13,1145.096668963018
2010-10-14,1139.612897754151
2010-10-15,1154.935314439552
2010-10-18,1146.1489925153726
2010-10-19,1180.7687378546875
2010-10-20,1161.430676931733
2010-10-21,1161.7062214227553
2010-10-22,1168.1054643265738
2010-10-25,1182.6999618490213
2010-10-26,1190.2567196382754
2010-10-27,1176.828260623397
2010-10-28,1166.336636649196
2010-10-29,1167.23639493389
2010-11-01,1194.9654168220027
2010-11-02,1183.4539877088177
2010-11-03,1187.984307689147
2010-11-04,1191.23769225596
2010-11-05,1224.231558695604
2010-11-08,1244.5897186621967
2010-11-09,1240.7821070341156
2010-11-10,1254.0988243933284
2010-11-11,1260.761203470024
2010-11-12,1205.2244063985918
2010-11-15,1217.1280080157715
2010-11-16,1190.1706972991472
2010-11-17,1160.7447642609297
2010-11-18,1176.8811726503268
2010-11-19,1181.3118569282153
2010-11-22,1186.9517845412765
2010-11-23,1175.7618872452188
2010-11-24,1194.6153011674705
2010-11-25,1205.981392601331
2010-11-26,1209.6478889925916
2010-11-29,1227.9934569889786
2010-11-30,1218.8523821735157
2010-12-01,1221.0391239859484
2010-12-02,1220.4607115917236
2010-12-03,1198.8352501740023
2010-12-06,1203.8480755543012
2010-12-07,1209.495920655459
2010-12-08,1208.499507033392
2010-12-09,1203.3513428300237
2010-12-10,1204.7472030935842
2010-12-13,1208.7396758866544
2010-12-14,1217.5077678016673
2010-12-15,1209.1704257078275
2010-12-16,1209.5329937703611
2010-12-17,1216.5889122551039
2010-12-20,1207.3197064200074
2010-12-21,1224.0873694978752
2010-12-22,1224.3945423482712
2010-12-23,1216.869131857767
2010-12-24,1204.4746501504844
2010-12-27,1187.65701809961
2010-12-28,1172.8930353904802
2010-12-29,1186.7160942843896
2010-12-30,1178.8384797293882
2010-12-31,1181.50599209088
2011-01-03,1196.7345469859868
2011-01-04,1216.1833831437934
2011-01-05,1233.2232376818852
2011-01-06,1241.3400878191353
2011-01-07,1243.7985143001736
2011-01-10,1228.870968207748
2011-01-11,1236.36688972191
2011-01-12,1237.7266234823658
2011-01-13,1214.6285633864077
2011-01-14,1203.541765520506
2011-01-17,1183.3155051192714
2011-01-18,1177.2785189911172
2011-01-19,1187.0977357456661
2011-01-20,1164.1861350135428
2011-01-21,1151.0674446982416
2011-01-24,1132.1326686676414
2011-01-25,1128.107651347985
2011-01-26,1135.2788542290577
2011-01-27,1139.683394937392
2011-01-28,1147.7490887352474
2011-01-31,1141.7261175387935
2011-02-01,1137.4022635693698
2011-02-02,1146.6383277042953
2011-02-03,1161.7047373661273
2011-02-04,1168.2188996688585
2011-02-07,1162.0632143922007
2011-02-08,1149.7105963998204
2011-02-09,1133.5508307021619
2011-02-10,1143.2075591615157
2011-02-11,1152.7826263552356
2011-02-14,1183.8230389627201
2011-02-15,1174.9763985429693
2011-02-16,1187.1106335047625
2011-02-17,1187.0969574712617
2011-02-18,1184.4125306401884
2011-02-21,1187.874129818769
2011-02-22,1154.7149769306884
2011-02-23,1149.7178472443766
2011-02-24,1140.275873569161
2011-02-25,1155.7171836869945
2011-02-28,1166.6410518363161
2011-03-01,1170.2711457739692
2011-03-02,1157.1316646072999
2011-03-03,1149.6681636193696
2011-03-04,1160.660955521787
