Date,EM EASTERN EUROPE IMI
1998-12-31,108.11420465896968
1999-01-01,108.11420465896968
1999-01-04,109.94294965217281
1999-01-05,112.4074876887617
1999-01-06,115.10269454579671
1999-01-07,119.90560755289084
1999-01-08,121.47138353245143
1999-01-11,121.06306622528969
1999-01-12,118.68368655012736
1999-01-13,108.60950591723545
1999-01-14,107.39295706869265
1999-01-15,105.25741715074082
1999-01-18,111.9610006635397
1999-01-19,113.76697641006915
1999-01-20,116.65755713321317
1999-01-21,118.0907407451245
1999-01-22,112.9792130695625
1999-01-25,111.69582956850614
1999-01-26,115.0240150414225
1999-01-27,116.42993345611364
1999-01-28,115.61417548867473
1999-01-29,118.12444014880604
1999-02-01,118.24078404082354
1999-02-02,116.25272832989832
1999-02-03,116.10438054329606
1999-02-04,118.63720756771289
1999-02-05,116.03272480405276
1999-02-08,115.16853525369325
1999-02-09,114.90963082489962
1999-02-10,115.47053722926215
1999-02-11,118.052884167294
1999-02-12,118.68296876257361
1999-02-15,116.28508892138831
1999-02-16,117.81452360439917
1999-02-17,116.36895333714817
1999-02-18,115.63743241841445
1999-02-19,115.80846228221712
1999-02-22,116.57752341816582
1999-02-23,114.61039643629664
1999-02-24,114.71784142830391
1999-02-25,110.3401720383849
1999-02-26,110.1091789750625
1999-03-01,113.33051689436574
1999-03-02,113.4599597431508
1999-03-03,111.88282094519657
1999-03-04,110.38219364716812
1999-03-05,112.04475675255578
1999-03-08,115.1686302978235
1999-03-09,117.6653999313888
1999-03-10,118.35593635794119
1999-03-11,121.69302104922733
1999-03-12,122.30158812504789
1999-03-15,121.90817444781446
1999-03-16,123.4007937766527
1999-03-17,123.56779385603011
1999-03-18,123.21978342399318
1999-03-19,125.65247694845213
1999-03-22,123.3937809140884
1999-03-23,121.39046849696354
1999-03-24,115.42659425963788
1999-03-25,120.11207603168808
1999-03-26,120.18547036513091
1999-03-29,119.93843858522739
1999-03-30,121.29018947980333
1999-03-31,121.14658753834173
1999-04-01,120.67958546192607
