Date,EFM EUROPE + CIS (E+C) IMI
2010-11-30,1000.0
2010-12-01,1022.2413166215066
2010-12-02,1037.5546472607964
2010-12-03,1036.356017186714
2010-12-06,1051.5073315031461
2010-12-07,1055.595725439743
2010-12-08,1047.8731439841374
2010-12-09,1047.602240681877
2010-12-10,1042.8877783267344
2010-12-13,1045.8953757400905
2010-12-14,1049.9626331497025
2010-12-15,1053.903286082287
2010-12-16,1050.8254873683377
2010-12-17,1051.9467309363954
2010-12-20,1048.3902816261968
2010-12-21,1058.6677966025318
2010-12-22,1068.2439291158908
2010-12-23,1074.378662843045
2010-12-24,1071.4046253006884
2010-12-27,1066.1605255310676
2010-12-28,1065.0875585463782
2010-12-29,1067.8731195381247
2010-12-30,1059.6882217757975
2010-12-31,1051.825287309365
2011-01-03,1060.3163815617772
2011-01-04,1067.3059441462108
2011-01-05,1079.19677075806
2011-01-06,1086.9283830919144
2011-01-07,1082.922557784018
2011-01-10,1076.6443975641687
2011-01-11,1094.2879465193691
2011-01-12,1119.2115325205289
2011-01-13,1104.2503814437412
2011-01-14,1096.7051381738213
2011-01-17,1111.5054550889827
2011-01-18,1109.6567925623528
2011-01-19,1100.1402563557788
2011-01-20,1077.9875700280513
2011-01-21,1079.8122603241015
2011-01-24,1062.851278368574
2011-01-25,1061.4545658531506
2011-01-26,1074.505885136802
2011-01-27,1076.478138639929
2011-01-28,1058.9434821781315
2011-01-31,1050.255432415873
2011-02-01,1075.5288871295218
2011-02-02,1083.12421515779
2011-02-03,1082.7802981194743
2011-02-04,1102.6039329636349
2011-02-07,1106.4892494914322
2011-02-08,1088.0035966998669
2011-02-09,1082.9570324876809
2011-02-10,1063.2874298821996
2011-02-11,1081.7491037045163
2011-02-14,1080.1603527782954
2011-02-15,1072.0465441718766
2011-02-16,1078.1690845260946
2011-02-17,1067.6076323644618
2011-02-18,1065.8175822368269
2011-02-21,1067.1443337393728
2011-02-22,1055.909708047491
2011-02-23,1046.712076346575
2011-02-24,1049.947320832574
2011-02-25,1069.0949285776715
2011-02-28,1079.1060884008557
2011-03-01,1065.5800655038843
2011-03-02,1072.7562896345194
2011-03-03,1084.7074368096985
2011-03-04,1083.552841139175
2011-03-07,1086.1910216934275
2011-03-08,1095.91079580893
2011-03-09,1093.621087108346
2011-03-10,1075.7260555155167
2011-03-11,1068.9787083262493
2011-03-14,1071.0173771427349
2011-03-15,1055.3337957267727
2011-03-16,1056.870881593887
2011-03-17,1068.8613381452808
2011-03-18,1069.8270272959858
2011-03-21,1077.4241706639884
2011-03-22,1075.752398542997
2011-03-23,1087.225087294756
2011-03-24,1098.605779505824
2011-03-25,1108.1624999980243
2011-03-28,1111.4422600177024
2011-03-29,1101.0288226644295
2011-03-30,1110.039438063606
2011-03-31,1107.042751971101
2011-04-01,1131.6257593137739
2011-04-04,1138.620078533521
2011-04-05,1140.09107045674
2011-04-06,1148.1147621883767
2011-04-07,1148.0365895853336
2011-04-08,1145.6813120501624
2011-04-11,1140.3971274557764
2011-04-12,1112.976920170641
2011-04-13,1119.48281977278
2011-04-14,1106.342024508978
2011-04-15,1113.2509912634423
2011-04-18,1082.6370797880897
2011-04-19,1100.4556918238466
2011-04-20,1111.2655207308655
2011-04-21,1114.2911119091855
2011-04-22,1118.5933360972963
2011-04-25,1111.2582925934112
2011-04-26,1108.9599686675215
2011-04-27,1102.5342335914959
2011-04-28,1101.2845667715897
2011-04-29,1102.3766448788472
2011-05-02,1100.9203036459974
2011-05-03,1082.5569339305755
2011-05-04,1061.1983862402822
2011-05-05,1062.4884807608416
2011-05-06,1078.1413423247834
2011-05-09,1082.3441370469288
2011-05-10,1082.7369814177134
2011-05-11,1072.855393301978
2011-05-12,1059.9886423084874
2011-05-13,1053.391527595104
2011-05-16,1050.1085702602534
2011-05-17,1044.0155786634348
2011-05-18,1048.9241433637958
2011-05-19,1051.634897946746
2011-05-20,1042.8294374535687
2011-05-23,1022.6953206854423
2011-05-24,1038.6663803848992
2011-05-25,1040.928659654772
2011-05-26,1042.2632784898135
2011-05-27,1048.912457788634
2011-05-30,1048.7469003551162
2011-05-31,1059.0921210075364
2011-06-01,1053.5737130627751
2011-06-02,1053.3437862621781
2011-06-03,1039.0052238541787
2011-06-06,1037.3962844268005
2011-06-07,1053.723371681126
2011-06-08,1055.5607982736376
2011-06-09,1070.1427038606314
2011-06-10,1069.2549266298083
2011-06-13,1068.1038857115454
2011-06-14,1062.864184066424
2011-06-15,1061.7822049339086
2011-06-16,1057.6812724750857
2011-06-17,1045.345977370511
2011-06-20,1032.6306091135666
2011-06-21,1040.4468644835508
2011-06-22,1035.807898288529
2011-06-23,1025.7476522357365
2011-06-24,1036.9359654613183
2011-06-27,1025.40356169253
2011-06-28,1033.1990184688016
2011-06-29,1042.880848060973
2011-06-30,1044.2682072841449
2011-07-01,1058.7803181643237
2011-07-04,1060.548100625393
2011-07-05,1060.0371601766033
2011-07-06,1057.9657106027148
2011-07-07,1079.7071456702515
2011-07-08,1072.6349794029509
2011-07-11,1063.414184378826
2011-07-12,1057.7860404976363
2011-07-13,1064.5616779155166
2011-07-14,1058.8357324620467
2011-07-15,1059.9159167705182
2011-07-18,1042.7646632609105
2011-07-19,1043.2040216985552
2011-07-20,1046.503187095532
2011-07-21,1053.5922739717248
2011-07-22,1050.5928719240017
2011-07-25,1049.4012584382347
2011-07-26,1047.1159735882306
2011-07-27,1043.8659197587401
2011-07-28,1058.125689085334
2011-07-29,1047.8207681956205
2011-08-01,1059.1544945432865
2011-08-02,1044.9144707839896
2011-08-03,1008.5856451381854
2011-08-04,983.1601569516793
2011-08-05,951.6372288644418
2011-08-08,884.7198804863456
2011-08-09,861.2275628018442
2011-08-10,821.2076199941265
2011-08-11,837.8196537954047
2011-08-12,859.179640935219
2011-08-15,879.160497103657
2011-08-16,874.6070809687708
2011-08-17,884.6820778196717
2011-08-18,846.4545992295215
2011-08-19,839.4651142303059
2011-08-22,845.0341768255722
2011-08-23,846.4540095941815
2011-08-24,856.776397748395
2011-08-25,852.319525136548
2011-08-26,858.1266977458009
2011-08-29,876.9031983964501
2011-08-30,884.1621499482959
2011-08-31,905.3195929110562
2011-09-01,905.4544954469982
2011-09-02,886.0510913173523
2011-09-05,864.3455355531074
2011-09-06,868.0728561720073
2011-09-07,894.1879605304182
2011-09-08,900.7796678457785
2011-09-09,878.6111472841981
2011-09-12,859.2005215136395
