Date,EM EUROPE & MIDDLE EAST IMI
2007-05-31,1000.0
2007-06-01,1023.3296882958474
2007-06-04,1018.2715259830472
2007-06-05,1018.1891058317352
2007-06-06,1007.6156037809031
2007-06-07,998.0460367288998
2007-06-08,995.2359465355167
2007-06-11,1002.3097755461444
2007-06-12,1000.2910645431465
2007-06-13,1009.9227998327207
2007-06-14,1034.506692288581
2007-06-15,1046.9428571857693
2007-06-18,1048.279639615666
2007-06-19,1044.977459970287
2007-06-20,1050.8899839110873
2007-06-21,1044.1663752032402
2007-06-22,1046.3728073449474
2007-06-25,1039.1189447551355
2007-06-26,1049.1435692450245
2007-06-27,1039.7730435797662
2007-06-28,1051.466398021411
2007-06-29,1055.6647351365832
2007-07-02,1057.490884045262
2007-07-03,1072.8819793078549
2007-07-04,1074.591000280077
2007-07-05,1079.8378146937644
2007-07-06,1083.308092459904
2007-07-09,1094.0776005062307
2007-07-10,1072.6549022694953
2007-07-11,1075.522987799507
2007-07-12,1102.2083105062845
2007-07-13,1107.6732114481872
2007-07-16,1110.316365862992
2007-07-17,1105.4644135551287
2007-07-18,1096.8114162131194
2007-07-19,1117.1146587770986
2007-07-20,1109.8068939161933
2007-07-23,1126.9000506613268
2007-07-24,1109.6878240672704
2007-07-25,1111.3613132581813
2007-07-26,1073.9755647722532
2007-07-27,1061.7861300902582
2007-07-30,1058.6465723982967
2007-07-31,1082.2048121062555
2007-08-01,1053.3635525700995
2007-08-02,1063.2771561566758
2007-08-03,1057.5561380800307
2007-08-06,1038.1227675206608
2007-08-07,1049.782053224203
2007-08-08,1068.0502985165547
2007-08-09,1046.2856107136938
2007-08-10,1026.1955511963342
2007-08-13,1048.5141888979254
2007-08-14,1040.2522863838867
2007-08-15,1023.4526508434762
2007-08-16,976.6176033055351
2007-08-17,993.8114399642238
2007-08-20,996.7961310350566
2007-08-21,982.8775660333336
2007-08-22,1009.656460658078
2007-08-23,1012.1001826105462
2007-08-24,1010.9595505970598
2007-08-27,1024.8599655352727
2007-08-28,1013.5201690244697
2007-08-29,1015.4255554506167
2007-08-30,1021.9321029347609
2007-08-31,1042.4411198790442
2007-09-03,1044.6552301988374
2007-09-04,1045.133360117565
2007-09-05,1034.1948072788982
2007-09-06,1038.4651951660292
2007-09-07,1021.2389341997848
2007-09-10,1014.4328539025329
2007-09-11,1025.5382128300262
2007-09-12,1023.0972973570575
2007-09-13,1039.5165061956277
2007-09-14,1043.9395096086423
2007-09-17,1034.639172203789
2007-09-18,1047.4677789265888
2007-09-19,1084.0855777840302
2007-09-20,1074.7378473909932
2007-09-21,1077.7529032441164
2007-09-24,1082.1301550248588
2007-09-25,1068.2625559696555
2007-09-26,1086.2753297495747
2007-09-27,1089.5861915716525
2007-09-28,1085.0934523443964
2007-10-01,1084.8148974151522
2007-10-02,1108.9209108817981
2007-10-03,1103.1892381019052
2007-10-04,1106.380347812603
2007-10-05,1125.0231979076384
2007-10-08,1134.3528093439736
2007-10-09,1144.1877594565044
2007-10-10,1137.189115438366
2007-10-11,1150.4956262808296
2007-10-12,1149.397895867544
2007-10-15,1148.0684111105938
2007-10-16,1139.2940248291955
2007-10-17,1144.1639821590277
2007-10-18,1126.4562030824472
2007-10-19,1123.619821680606
2007-10-22,1109.820952851838
2007-10-23,1126.8717118223603
2007-10-24,1121.7995562744304
2007-10-25,1134.5107087659778
2007-10-26,1151.4406299850205
2007-10-29,1163.5275286681592
2007-10-30,1154.018465433094
2007-10-31,1161.7748790311493
