Date,EFM CEEC ex RU IMI
2010-11-30,1000.0
2010-12-01,1022.942397654739
2010-12-02,1031.7014315385504
2010-12-03,1043.6183479001204
2010-12-06,1042.7512110804898
2010-12-07,1047.2471067842826
2010-12-08,1043.779698952015
2010-12-09,1043.4431351204573
2010-12-10,1044.188150010696
2010-12-13,1052.7638275878912
2010-12-14,1057.8112911684823
2010-12-15,1063.963473005331
2010-12-16,1055.110826722912
2010-12-17,1058.5559960893129
2010-12-20,1051.3113704565742
2010-12-21,1058.5661582861942
2010-12-22,1062.074333669879
2010-12-23,1064.5002098313068
2010-12-24,1064.2756506337005
2010-12-27,1059.6151231513634
2010-12-28,1053.7807474633887
2010-12-29,1066.4968575339678
2010-12-30,1061.1907641111684
2010-12-31,1059.682967487375
2011-01-03,1077.1021372521618
2011-01-04,1076.0241610394635
2011-01-05,1081.0954396339619
2011-01-06,1089.216811139031
2011-01-07,1081.8360364308558
2011-01-10,1066.5962305474563
2011-01-11,1081.3010968063081
2011-01-12,1100.811391521439
2011-01-13,1097.527785142121
2011-01-14,1093.9542189122942
2011-01-17,1103.108064725633
2011-01-18,1124.444016213978
2011-01-19,1116.7751545862109
2011-01-20,1097.544186250786
2011-01-21,1110.961138152577
2011-01-24,1104.1842569147218
2011-01-25,1096.947775313913
2011-01-26,1104.0200135369803
2011-01-27,1104.8087907324602
2011-01-28,1085.5869335462648
2011-01-31,1084.7368758048513
2011-02-01,1104.0717569269038
2011-02-02,1102.3692771462836
2011-02-03,1104.9557135203172
2011-02-04,1114.8117737403359
2011-02-07,1120.211298489557
2011-02-08,1114.0446883871768
2011-02-09,1106.7470422332851
2011-02-10,1087.3059405721485
2011-02-11,1096.5353925952245
2011-02-14,1089.5396570218031
2011-02-15,1087.9877103174285
2011-02-16,1089.5952032267292
2011-02-17,1076.995567671104
2011-02-18,1080.7035509236434
2011-02-21,1075.1905005426627
2011-02-22,1070.2444019976972
2011-02-23,1068.187307263102
2011-02-24,1062.9365067558724
2011-02-25,1074.5866896512312
2011-02-28,1089.1549338966518
2011-03-01,1077.8517264443685
2011-03-02,1079.9665092461228
2011-03-03,1090.730617027405
2011-03-04,1099.2883170213493
2011-03-07,1101.1016314562473
2011-03-08,1099.5464445822035
2011-03-09,1093.5237086474224
2011-03-10,1080.645634051206
2011-03-11,1077.016240206696
2011-03-14,1073.2526716685288
2011-03-15,1064.9171287147087
2011-03-16,1050.39077682134
2011-03-17,1066.3914735238054
2011-03-18,1072.282419354165
2011-03-21,1086.9402611324958
2011-03-22,1082.687028920118
2011-03-23,1083.9199798263107
2011-03-24,1093.5565840194113
2011-03-25,1109.2243908621438
2011-03-28,1111.9996608509566
2011-03-29,1107.9141383754643
2011-03-30,1106.5001625911007
2011-03-31,1106.1054807563175
2011-04-01,1122.9303228497997
2011-04-04,1126.2902952079164
2011-04-05,1132.2492040481875
2011-04-06,1155.021180820296
2011-04-07,1155.9028368131635
2011-04-08,1152.0459763933259
2011-04-11,1148.7832377541285
2011-04-12,1133.1639120554337
2011-04-13,1149.6701008398054
2011-04-14,1143.7373239603764
2011-04-15,1148.8610019810171
2011-04-18,1121.4294176600947
2011-04-19,1133.9947829894707
2011-04-20,1148.8340840117032
2011-04-21,1149.7958074629603
2011-04-22,1148.878660436209
2011-04-25,1148.5137471341939
2011-04-26,1157.6289946037903
2011-04-27,1157.4432838216942
2011-04-28,1162.7594936428764
2011-04-29,1158.5179145836719
2011-05-02,1164.0900830601743
2011-05-03,1154.8404405255521
2011-05-04,1143.0424882603406
2011-05-05,1135.960982811348
2011-05-06,1142.6887853284024
2011-05-09,1133.240878829095
2011-05-10,1146.1708755856932
2011-05-11,1145.3796213144317
2011-05-12,1132.093318523749
2011-05-13,1130.082193202965
2011-05-16,1131.570175654421
2011-05-17,1117.8916169997474
2011-05-18,1122.5327399301013
2011-05-19,1125.8210037932965
2011-05-20,1124.2488009381386
2011-05-23,1110.8702127402535
2011-05-24,1118.323047104407
2011-05-25,1118.3108076663525
2011-05-26,1118.3900448879479
2011-05-27,1126.764346518828
2011-05-30,1125.685407681533
2011-05-31,1141.8159822123762
2011-06-01,1139.4564975076273
2011-06-02,1135.9319067430044
2011-06-03,1133.780584951679
2011-06-06,1128.976948217717
2011-06-07,1138.8970427193688
2011-06-08,1134.143568350183
2011-06-09,1132.9635665917563
2011-06-10,1128.384234190947
2011-06-13,1133.2610484411923
2011-06-14,1139.100894819079
