Date,EM EUROPE SMALL GROWTH
1998-12-31,151.40093698946376
1999-01-01,151.40093698946376
1999-01-04,154.25141660549042
1999-01-05,156.52458492307235
1999-01-06,158.41237450363002
1999-01-07,157.90487728650925
1999-01-08,157.47560223058002
1999-01-11,156.87576392941907
1999-01-12,155.73673011483635
1999-01-13,145.24880040335876
1999-01-14,145.43870753710843
1999-01-15,145.37724938587485
1999-01-18,148.3438532766479
1999-01-19,148.65142729449215
1999-01-20,150.27124977678739
1999-01-21,151.4664441996126
1999-01-22,148.32055593870052
1999-01-25,145.7270262991056
1999-01-26,147.30960754128537
1999-01-27,149.48584712437435
1999-01-28,148.96383882815206
1999-01-29,151.56996820428625
1999-02-01,152.07923200292873
1999-02-02,150.0999380034576
1999-02-03,149.6027023164825
1999-02-04,152.67777703202896
1999-02-05,150.49376618306542
1999-02-08,149.94565237910086
1999-02-09,149.66288052514315
1999-02-10,148.6450670116993
1999-02-11,149.24525461436946
1999-02-12,150.0258039026893
1999-02-15,149.71853934414423
1999-02-16,152.15091756063669
1999-02-17,152.8799373575913
1999-02-18,154.21387914010916
1999-02-19,156.58349295855
1999-02-22,156.3100048117497
1999-02-23,154.18306123814563
1999-02-24,154.13016134183812
1999-02-25,153.61438863541522
1999-02-26,154.00472488680694
1999-03-01,157.57366421851984
1999-03-02,157.60659893541776
1999-03-03,157.68820538986418
1999-03-04,155.20401841519353
1999-03-05,157.8188280686406
1999-03-08,161.14642005941116
1999-03-09,161.9324875710261
1999-03-10,160.4752972346542
1999-03-11,167.7991028636082
1999-03-12,166.88795319076507
1999-03-15,164.6397268784121
1999-03-16,163.09096590540196
1999-03-17,165.67091194168623
1999-03-18,167.36850052092657
1999-03-19,170.99082009072248
1999-03-22,171.09461584405784
1999-03-23,171.13204988755652
1999-03-24,164.87485559501755
1999-03-25,171.28588946213785
1999-03-26,173.37975017758103
1999-03-29,174.2638203822048
1999-03-30,176.194376351081
1999-03-31,177.0694251697573
1999-04-01,176.41910803040562
1999-04-02,177.39196958679116
1999-04-05,178.99909803493193
1999-04-06,181.90467573336807
1999-04-07,182.81578954630012
1999-04-08,180.07812500050267
1999-04-09,176.77761895787228
1999-04-12,171.4869696810456
1999-04-13,163.66772261847112
1999-04-14,168.9458724255019
1999-04-15,167.84942649599606
1999-04-16,171.98795414656405
1999-04-19,173.51591583124818
1999-04-20,178.02870775172778
1999-04-21,178.33370049066045
1999-04-22,181.67306009037011
1999-04-23,182.17053794901327
1999-04-26,185.91877363948652
1999-04-27,186.41851561987494
1999-04-28,186.00103934071552
1999-04-29,185.45368143652257
1999-04-30,185.3010128101665
1999-05-03,187.68910056450355
1999-05-04,188.67973530100298
1999-05-05,190.46539931434504
1999-05-06,192.55989660804053
1999-05-07,193.02216915373145
1999-05-10,194.5886894955127
1999-05-11,199.62680554167324
1999-05-12,193.60118251860686
1999-05-13,195.70506896202505
1999-05-14,200.8850298133168
1999-05-17,200.42256585767456
1999-05-18,203.54597041144675
1999-05-19,207.4025815367659
1999-05-20,209.54367214825052
1999-05-21,209.63561444449354
1999-05-24,207.54469198598443
1999-05-25,203.92497697378022
1999-05-26,205.84857811221025
1999-05-27,206.0018289660304
1999-05-28,205.98957553915125
1999-05-31,203.68740333618695
1999-06-01,204.3329025730003
1999-06-02,201.90567343083015
1999-06-03,203.30721035834108
1999-06-04,206.033257285563
1999-06-07,205.39702169936638
1999-06-08,204.57125801803372
1999-06-09,204.9353186299921
1999-06-10,208.10224783218223
1999-06-11,209.7171955748287
1999-06-14,210.46581368782856
1999-06-15,209.46691906391126
1999-06-16,207.9417279711527
1999-06-17,217.89234042082188
1999-06-18,216.93791541543763
1999-06-21,209.76997485744553
1999-06-22,208.6719363846484
1999-06-23,204.90633924779064
1999-06-24,204.65423424485414
1999-06-25,201.3148238344352
1999-06-28,199.22520542847997
1999-06-29,200.448047403158
1999-06-30,205.00017225278458
1999-07-01,209.57844149689376
1999-07-02,207.93752515134514
1999-07-05,210.87474572696667
1999-07-06,210.1421756960097
1999-07-07,208.53970116040887
1999-07-08,211.37061237847846
1999-07-09,213.99784604663623
1999-07-12,218.65534219271348
1999-07-13,214.2393872120417
1999-07-14,216.76361877930592
1999-07-15,218.13782684875918
1999-07-16,216.49204503314127
1999-07-19,219.0923724463255
1999-07-20,215.72383342593025
1999-07-21,212.5434699966424
1999-07-22,211.6245970457584
1999-07-23,212.18033043211713
1999-07-26,208.0714883656379
1999-07-27,208.18996807213057
1999-07-28,207.69493434301606
1999-07-29,205.67486919359732
1999-07-30,207.82465953312072
1999-08-02,206.13722642797384
