Date,EM LATIN AMERICA SMALL GROWTH
1998-12-31,193.5133531362761
1999-01-01,193.50267918617416
1999-01-04,191.61354988534234
1999-01-05,191.07333897933808
1999-01-06,192.37398394043882
1999-01-07,190.67341729777732
1999-01-08,191.61473214605994
1999-01-11,189.21471997046584
1999-01-12,185.3220312886869
1999-01-13,173.3005857546187
1999-01-14,171.38961585519098
1999-01-15,175.18022887714233
1999-01-18,172.2109234548652
1999-01-19,171.5757978365465
1999-01-20,172.8641988945726
1999-01-21,167.20332090666645
1999-01-22,166.23227134822136
1999-01-25,165.1358284528182
1999-01-26,164.7824491745288
1999-01-27,165.03013494889487
1999-01-28,167.12167574458718
1999-01-29,166.0051214510516
1999-02-01,171.78467098863277
1999-02-02,173.9419447626438
1999-02-03,173.10553630617073
1999-02-04,173.82333799092913
1999-02-05,174.02967514966454
1999-02-08,172.20285588408288
1999-02-09,171.03791784086707
1999-02-10,171.93117883062433
1999-02-11,173.82915462326773
1999-02-12,173.86091833541067
1999-02-15,174.5424728480849
1999-02-16,175.37448026924892
1999-02-17,174.055300116639
1999-02-18,174.83011661889077
1999-02-19,176.61744646120616
1999-02-22,176.72130237290102
1999-02-23,176.66437260351546
1999-02-24,176.78116167205553
1999-02-25,173.4943809861961
1999-02-26,175.98200290139357
1999-03-01,175.00127320302528
1999-03-02,173.83965384205692
1999-03-03,174.2891634780881
1999-03-04,178.75662453649423
1999-03-05,181.1512961087519
1999-03-08,182.23593574864898
1999-03-09,185.2030113162785
1999-03-10,187.03580523853373
1999-03-11,190.0555410939161
1999-03-12,190.4578444547582
1999-03-15,192.15005342153307
1999-03-16,194.15131660443544
1999-03-17,193.6549395699547
1999-03-18,194.92742392049811
1999-03-19,194.89410512708025
1999-03-22,194.9616211284199
1999-03-23,194.6660078437297
1999-03-24,195.04106674385832
1999-03-25,200.3199870138392
1999-03-26,203.46771449065986
1999-03-29,205.0841497739528
1999-03-30,205.07644921968853
1999-03-31,206.65270889297796
1999-04-01,206.7472021022276
1999-04-02,207.33724485351973
1999-04-05,210.3166224747146
1999-04-06,209.73858265564354
1999-04-07,209.32897383281008
1999-04-08,210.37205011800782
1999-04-09,211.5370264363772
1999-04-12,211.4578894793095
1999-04-13,213.7964027115956
1999-04-14,214.66891533175644
1999-04-15,217.85355925865244
1999-04-16,221.56293432655866
1999-04-19,223.1543668266475
1999-04-20,221.07018466479016
1999-04-21,223.63672612178996
1999-04-22,225.38679336689597
1999-04-23,223.99574810834125
1999-04-26,224.7387849567735
1999-04-27,221.3332771375744
1999-04-28,223.66314607869793
1999-04-29,226.583150411923
1999-04-30,227.16190858197635
1999-05-03,228.4229464081908
1999-05-04,226.9076484278853
1999-05-05,226.38084957572224
1999-05-06,226.01500510778783
1999-05-07,229.6982169708198
1999-05-10,232.99217502753498
1999-05-11,234.5977270449666
1999-05-12,234.58718068005908
1999-05-13,238.09725428822117
1999-05-14,235.98445597849067
1999-05-17,234.84944018967337
1999-05-18,236.37108567716047
1999-05-19,234.86945456300484
