Date,EM FAR EAST SMALL GROWTH
1998-12-31,920.3333883623716
1999-01-01,920.3333883623716
1999-01-04,943.5336736809843
1999-01-05,952.7697007544183
1999-01-06,986.2987558828763
1999-01-07,1019.427888525575
1999-01-08,1020.8658717591276
1999-01-11,1045.5263432268277
1999-01-12,1038.8277941224776
1999-01-13,1004.1702942304213
1999-01-14,958.1135073685873
1999-01-15,992.1299377784999
1999-01-18,1002.2257003520106
1999-01-19,989.6274777753557
1999-01-20,979.5718475644255
1999-01-21,947.1044602410642
1999-01-22,918.5511335287722
1999-01-25,885.7582355782555
1999-01-26,874.4425885633384
1999-01-27,909.0133450464242
1999-01-28,909.124626013549
1999-01-29,914.3326244326519
1999-02-01,931.2147040484051
1999-02-02,916.1446033468126
1999-02-03,901.0296546578497
1999-02-04,889.0156903888869
1999-02-05,885.5988377769274
1999-02-08,894.2470743320546
1999-02-09,869.185709779482
1999-02-10,876.1314970367674
1999-02-11,881.2588600350448
1999-02-12,905.0552866158907
1999-02-15,911.9873511129335
1999-02-16,915.4518169636775
1999-02-17,907.0177026183329
1999-02-18,901.7228926739564
1999-02-19,892.291546388402
1999-02-22,884.819417440528
1999-02-23,877.0527754060201
1999-02-24,869.658292344794
1999-02-25,856.92583044345
1999-02-26,885.6122220851481
1999-03-01,894.3167219785529
1999-03-02,898.1021911259077
1999-03-03,897.3851380265613
1999-03-04,903.5512653469422
1999-03-05,902.916913853225
1999-03-08,927.9783475926664
1999-03-09,923.7187611725984
1999-03-10,914.8804732973648
1999-03-11,939.3771756954931
1999-03-12,937.4471138355663
1999-03-15,947.8052769802629
1999-03-16,957.0085078447365
1999-03-17,952.0011768464334
1999-03-18,947.0294293940387
1999-03-19,978.8914290724261
1999-03-22,981.7604720198397
1999-03-23,985.4132005354254
1999-03-24,977.1317897614352
1999-03-25,985.7943708930974
1999-03-26,1002.1124320719647
1999-03-29,992.4070554847451
1999-03-30,993.1740241229021
1999-03-31,989.656681540285
1999-04-01,1004.4012801347326
1999-04-02,1017.8594260386751
1999-04-05,1018.4245799870035
1999-04-06,1036.5635006833713
1999-04-07,1037.2753096811105
1999-04-08,1045.4261856938783
1999-04-09,1063.0427597340315
1999-04-12,1058.507619074618
1999-04-13,1070.5231914940105
1999-04-14,1073.4836887284016
1999-04-15,1118.6265945008056
1999-04-16,1128.341546022234
1999-04-19,1174.359729202483
1999-04-20,1188.46342450798
1999-04-21,1179.4315752203934
1999-04-22,1176.0871154232748
1999-04-23,1181.5149883849706
1999-04-26,1223.3834463835683
1999-04-27,1231.3517068188737
1999-04-28,1243.648389924362
1999-04-29,1230.9080512765343
1999-04-30,1256.3012918792383
1999-05-03,1277.69768775088
1999-05-04,1298.6333037634352
1999-05-05,1294.661942929463
1999-05-06,1299.8241536618966
1999-05-07,1299.8949122004726
1999-05-10,1324.134500361736
1999-05-11,1298.844182216382
1999-05-12,1281.7331032409725
1999-05-13,1247.9627928479986
