Date,EM ASIA SMALL GROWTH
1998-12-31,720.9596326122248
1999-01-01,720.9596326122248
1999-01-04,738.0131151518593
1999-01-05,745.6772233812032
1999-01-06,767.941305816097
1999-01-07,789.3292685051343
1999-01-08,796.2716190829774
1999-01-11,815.2387239738442
1999-01-12,807.853437683662
1999-01-13,785.3603637254406
1999-01-14,755.7612915940659
1999-01-15,775.8392856997065
1999-01-18,785.6077591214118
1999-01-19,776.4012303055163
1999-01-20,770.7744111632668
1999-01-21,755.7759039937285
1999-01-22,738.1713336638483
1999-01-25,719.1591620429306
1999-01-26,712.0045085538113
1999-01-27,738.4779276328396
1999-01-28,736.6466609392478
1999-01-29,741.0648651528538
1999-02-01,751.3164113111931
1999-02-02,738.5872385576573
1999-02-03,732.1361899878166
1999-02-04,723.8893263744724
1999-02-05,721.0104642577265
1999-02-08,726.7392756784853
1999-02-09,712.2275743477405
1999-02-10,719.2798170001317
1999-02-11,725.5869091945704
1999-02-12,743.1984504704446
1999-02-15,750.6253074539567
1999-02-16,758.5933667194258
1999-02-17,755.9508568915037
1999-02-18,752.173314539969
1999-02-19,745.850296675322
1999-02-22,737.7224405737663
1999-02-23,732.6628402296222
1999-02-24,727.3186208114332
1999-02-25,716.9954546480765
1999-02-26,731.949059540668
1999-03-01,761.7386010359971
1999-03-02,764.4282628584641
1999-03-03,769.2615036283538
1999-03-04,769.8865165190981
1999-03-05,772.3106358675924
1999-03-08,790.5290450387278
1999-03-09,789.927324352434
1999-03-10,787.6398321457137
1999-03-11,800.0606345711581
1999-03-12,798.9046985974834
1999-03-15,811.7953879476295
1999-03-16,817.5016977348697
1999-03-17,810.7212538190469
1999-03-18,808.4019153380833
1999-03-19,829.52469192407
1999-03-22,840.0895276743626
1999-03-23,843.183956502193
1999-03-24,830.4907677877329
1999-03-25,836.6967142889695
1999-03-26,843.2051902723215
1999-03-29,837.6826919178292
1999-03-30,841.1416357928699
1999-03-31,844.7623510599292
1999-04-01,851.8887410536771
1999-04-02,860.520829704873
1999-04-05,850.1545848495238
1999-04-06,858.2958546978809
1999-04-07,856.6593884342399
1999-04-08,857.466642210042
1999-04-09,864.5482160631552
1999-04-12,860.1386340550678
1999-04-13,864.6817356574466
1999-04-14,866.3260143601556
1999-04-15,886.3503400813494
1999-04-16,902.3494669860036
1999-04-19,923.8506335618284
1999-04-20,934.0078619037911
1999-04-21,934.7447251907972
1999-04-22,930.6241556330017
1999-04-23,930.5300364964098
1999-04-26,944.7880405456743
1999-04-27,948.8203282948361
1999-04-28,958.5562154845496
1999-04-29,957.108370699286
1999-04-30,973.0645868994187
1999-05-03,989.0520715844484
1999-05-04,1007.5784800867929
1999-05-05,1004.9944607913042
1999-05-06,1005.5898432803438
1999-05-07,1009.6076405022737
1999-05-10,1029.5031345912957
1999-05-11,1017.8241134869603
1999-05-12,1002.437150718717
1999-05-13,987.1435841688016
1999-05-14,975.8875658923549
1999-05-17,952.3402096284992
1999-05-18,961.1593451968839
1999-05-19,968.7019734404498
1999-05-20,950.8639267374222
1999-05-21,953.1048907891266
1999-05-24,951.601373289234
1999-05-25,954.8675904201867
1999-05-26,970.3757040253288
1999-05-27,969.648909818869
