Date,BRIC SMALL GROWTH
1998-12-31,143.0099609790356
1999-01-01,143.0099609790356
1999-01-04,144.2815605508211
1999-01-05,145.19335506510987
1999-01-06,147.71835833669073
1999-01-07,147.59533847931286
1999-01-08,150.8763688350408
1999-01-11,151.2358525014989
1999-01-12,148.99209985334886
1999-01-13,142.3154803928871
1999-01-14,140.98994970371874
1999-01-15,139.83819271543206
1999-01-18,138.85354343719936
1999-01-19,138.30519376335488
1999-01-20,138.25671063839386
1999-01-21,137.81975508799846
1999-01-22,137.11241444035608
1999-01-25,136.33234427560032
1999-01-26,136.30828967786354
1999-01-27,139.9383059150601
1999-01-28,139.11276822054478
1999-01-29,138.98678492398142
1999-02-01,142.38949742554513
1999-02-02,142.70921397856523
1999-02-03,142.72480866827615
1999-02-04,142.0010607789647
1999-02-05,141.11611216093758
1999-02-08,139.8312555795294
1999-02-09,140.87956238485273
1999-02-10,143.2228224096602
1999-02-11,145.06608167791669
1999-02-12,146.74020201393765
1999-02-15,148.23413075255885
1999-02-16,151.7759333099581
1999-02-17,153.0476709016147
1999-02-18,152.88419255836624
1999-02-19,152.38430074615084
1999-02-22,149.14786748362133
1999-02-23,148.08831413202603
1999-02-24,147.88730856838524
1999-02-25,145.9768063078036
1999-02-26,145.52038121017333
1999-03-01,157.61250570496222
1999-03-02,157.1220234895018
1999-03-03,160.0850815617719
1999-03-04,160.0631301512843
1999-03-05,163.11956555129672
1999-03-08,164.48790740577704
1999-03-09,166.89316990902586
1999-03-10,168.94793277474918
1999-03-11,169.30888634489537
1999-03-12,168.39921551210304
1999-03-15,172.12273404392457
1999-03-16,172.81452975823115
1999-03-17,171.79260202501487
1999-03-18,174.09282835197084
1999-03-19,175.7328555484713
1999-03-22,180.6935961198722
1999-03-23,181.30034654356947
1999-03-24,175.91147026482773
1999-03-25,178.6371839586422
1999-03-26,177.90193023616084
1999-03-29,178.74776097456268
1999-03-30,180.72147905221024
1999-03-31,184.84592424454465
1999-04-01,183.6326933827256
1999-04-02,184.00590945345422
1999-04-05,178.9900782369182
1999-04-06,177.70315055624403
1999-04-07,176.27932140808483
1999-04-08,174.4560826072337
1999-04-09,171.94324307683215
1999-04-12,171.66440271321173
1999-04-13,170.5938504548361
1999-04-14,170.59499040533882
1999-04-15,167.14215436605272
1999-04-16,172.94487273291747
1999-04-19,169.14759629253564
1999-04-20,168.28165571458857
1999-04-21,172.2231873186428
1999-04-22,172.01196139614984
1999-04-23,170.0073390683532
1999-04-26,163.9584623204927
1999-04-27,162.42576871261545
1999-04-28,164.23760188503778
1999-04-29,169.11636561918772
1999-04-30,170.3584151404465
1999-05-03,171.54679523212596
1999-05-04,174.0383987482294
1999-05-05,174.69114084049758
1999-05-06,173.9476946823802
1999-05-07,178.06208325143234
1999-05-10,180.8952315266225
1999-05-11,183.37916600475893
1999-05-12,179.91960760243748
1999-05-13,184.36818709420206
1999-05-14,183.85228006241644
1999-05-17,181.20226654125736
1999-05-18,183.82351848322045
1999-05-19,187.19900006069219
1999-05-20,188.0113571081435
1999-05-21,185.86218449228448
1999-05-24,185.80554107770635
1999-05-25,184.48228638065214
1999-05-26,185.9290925306165
1999-05-27,182.67020228257675
1999-05-28,180.21718176256968
1999-05-31,185.59142656523537
1999-06-01,183.71579687912705
1999-06-02,185.25064413360514
1999-06-03,185.53457789602538
1999-06-04,186.84104387812226
1999-06-07,186.3126310594756
1999-06-08,185.1979592526509
1999-06-09,184.85662532148731
1999-06-10,186.17882836004634
1999-06-11,185.03190901076232
1999-06-14,184.1469547577421
1999-06-15,181.8086681637317
1999-06-16,187.53741554144565
1999-06-17,194.34695494567995
1999-06-18,193.07273362273105
1999-06-21,195.1279941125394
