Date,EM EUROPE & MIDDLE EAST SMALL GROWTH
2007-05-31,1000.0
2007-06-01,1009.4919754036341
2007-06-04,1002.1645316704085
2007-06-05,996.5941837316914
2007-06-06,987.2446072591157
2007-06-07,978.094542048665
2007-06-08,979.2518224148366
2007-06-11,987.8005265420526
2007-06-12,982.4623501159233
2007-06-13,988.86478691961
2007-06-14,997.153258046703
2007-06-15,1006.6652824660534
2007-06-18,1011.0985577650549
2007-06-19,1014.1211318768738
2007-06-20,1012.8986850949501
2007-06-21,1009.2609226550028
2007-06-22,1008.7365856645736
2007-06-25,1006.4710600378952
2007-06-26,1005.0766567480146
2007-06-27,998.8799386385111
2007-06-28,1008.1547113139421
2007-06-29,1016.0455417505859
2007-07-02,1018.030606443343
2007-07-03,1029.878914179275
2007-07-04,1035.67857808229
2007-07-05,1037.685707580173
2007-07-06,1036.5181498825186
2007-07-09,1042.8421611820695
2007-07-10,1026.9401405119238
2007-07-11,1020.8021738661338
2007-07-12,1031.0561958981664
2007-07-13,1036.2909683917262
2007-07-16,1029.2204165503115
2007-07-17,1028.0114133707696
2007-07-18,1023.5308490042239
2007-07-19,1036.5265538995895
2007-07-20,1026.563880021121
2007-07-23,1038.620483805521
2007-07-24,1032.9490331744557
2007-07-25,1025.5283960391062
2007-07-26,999.9353929364563
2007-07-27,987.5439461018454
2007-07-30,981.4603343647286
2007-07-31,994.2503672030579
2007-08-01,973.207825586481
2007-08-02,985.1858900337636
2007-08-03,976.3537097095906
2007-08-06,963.0056536543566
2007-08-07,973.1694027241304
2007-08-08,991.5995448905361
2007-08-09,970.7340206507951
2007-08-10,956.7454565485456
2007-08-13,979.160616075491
2007-08-14,969.145810418807
2007-08-15,956.2718761301362
2007-08-16,899.510594945041
2007-08-17,915.4560268098843
2007-08-20,927.1852156209003
2007-08-21,917.5397146181272
2007-08-22,937.3144544693632
2007-08-23,938.849405883112
2007-08-24,939.5180907068271
2007-08-27,949.1045789773186
2007-08-28,941.6963220435293
2007-08-29,948.0473875207639
2007-08-30,944.2261543662156
2007-08-31,965.849169897834
2007-09-03,970.4869422931728
2007-09-04,980.035640593163
2007-09-05,966.5718026378769
2007-09-06,959.9749295365485
2007-09-07,952.1938250650323
2007-09-10,940.7032088889655
2007-09-11,947.8415377932797
2007-09-12,947.7392575617359
2007-09-13,954.7949545257254
2007-09-14,959.902367518458
2007-09-17,957.016395873013
2007-09-18,962.2885227157433
2007-09-19,982.3284359648981
