Date,EM LATIN AMERICA ex BRAZIL SMALL GROWTH
2013-09-05,3964.140105057614
2013-09-06,4065.742997847439
2013-09-09,4155.4732122376
2013-09-10,4160.517186257125
2013-09-11,4108.609491969398
2013-09-12,4045.323297434716
2013-09-13,4045.137701444012
2013-09-16,4080.55347082161
2013-09-17,4057.7686848665867
2013-09-18,4108.922058860096
2013-09-19,4099.839231955353
2013-09-20,4075.0048671885493
2013-09-23,4153.962683598587
2013-09-24,4130.651317932305
2013-09-25,4117.221877523723
2013-09-26,4156.13555811003
2013-09-27,4079.5074198507355
2013-09-30,4006.2283430123116
2013-10-01,4046.1061990982084
2013-10-02,4025.80132110046
2013-10-03,3990.1411744166235
2013-10-04,4030.6098037188353
2013-10-07,4035.7990764242454
2013-10-08,4005.115963716601
2013-10-09,3954.480293135681
2013-10-10,4046.524160513261
2013-10-11,4076.2759462348713
2013-10-14,4082.084560844249
2013-10-15,4073.2573377362482
2013-10-16,4102.592979183208
2013-10-17,4061.8934107123805
2013-10-18,4063.31316678083
2013-10-21,4025.9544294353627
2013-10-22,4071.726059301437
2013-10-23,3998.084583044304
2013-10-24,3930.9949114058013
2013-10-25,3979.4186065763456
2013-10-28,4005.8484745691585
2013-10-29,4000.814277002816
2013-10-30,3962.897552826027
2013-10-31,3974.7013291629005
2013-11-01,4003.5212477985315
2013-11-04,3983.775788884288
2013-11-05,3931.431284105063
2013-11-06,3885.7449111376704
2013-11-07,3909.1536236056886
2013-11-08,3876.743430175504
2013-11-11,3818.7202327226255
2013-11-12,3811.1095878252863
2013-11-13,3799.300310828469
2013-11-14,3850.4192283810407
2013-11-15,3874.8818567389976
2013-11-18,3883.034717406518
2013-11-19,3878.8549702197333
2013-11-20,3854.168481338248
2013-11-21,3776.212732760147
2013-11-22,3769.916868629447
2013-11-25,3749.9285496396324
2013-11-26,3681.5779315407417
2013-11-27,3700.7556709427604
2013-11-28,3726.500137283709
2013-11-29,3759.597860611293
2013-12-02,3794.3037442403993
2013-12-03,3746.5503278713786
2013-12-04,3774.873295522138
2013-12-05,3773.6865097014697
2013-12-06,3817.082247967149
2013-12-09,3811.335880042739
2013-12-10,3794.7892485463344
2013-12-11,3754.0991193912
2013-12-12,3738.6814376433636
2013-12-13,3759.8752183556253
2013-12-16,3760.9145531764802
2013-12-17,3745.2202352752656
2013-12-18,3760.496868645656
2013-12-19,3778.8746745883814
2013-12-20,3808.280178508962
2013-12-23,3825.3355710218448
2013-12-24,3849.701293459391
2013-12-25,3849.701293459391
2013-12-26,3842.2189173821766
2013-12-27,3836.2003795242417
2013-12-30,3831.313126293923
2013-12-31,3824.0540222336467
2014-01-01,3824.0540222336467
2014-01-02,3845.786678157592
2014-01-03,3866.1576397796302
2014-01-06,3880.2603768054364
2014-01-07,3926.6408952364714
2014-01-08,3907.4457543982285
2014-01-09,3876.3443941777036
2014-01-10,3932.240075712246
2014-01-13,3944.124835654699
2014-01-14,3910.1655192013077
2014-01-15,3948.8737598283424
2014-01-16,3924.077378178801
2014-01-17,3951.951946214352
2014-01-20,3942.2750397976647
2014-01-21,3895.367564235655
2014-01-22,3875.545796585204
2014-01-23,3779.4264129382873
2014-01-24,3666.0260022209327
2014-01-27,3651.8126734546227
