Date,EM EASTERN EUROPE ex RUSSIA SMALL GROWTH
2007-05-31,1000.0
2007-06-01,1004.2572577250444
2007-06-04,989.7453690421938
2007-06-05,978.1688829294613
2007-06-06,968.5658989414667
2007-06-07,968.663254685389
2007-06-08,968.5947530386907
2007-06-11,986.3759446108646
2007-06-12,985.2684315631182
2007-06-13,984.4557506853511
2007-06-14,988.7810703658715
2007-06-15,1002.9210358851655
2007-06-18,1005.8535301188543
2007-06-19,1019.2409361020335
2007-06-20,1013.7193668863845
2007-06-21,1012.4665212124352
2007-06-22,1015.6593090890142
2007-06-25,1019.3429393366696
2007-06-26,1017.1705009116611
2007-06-27,1004.9575315434148
2007-06-28,1012.5588839409727
2007-06-29,1019.9326681916991
2007-07-02,1013.518850821338
2007-07-03,1017.5184175984269
2007-07-04,1021.6374786189394
2007-07-05,1028.6783706660096
2007-07-06,1027.3164084892799
2007-07-09,1029.1640897926027
2007-07-10,1007.714300983606
2007-07-11,1000.9882920754206
2007-07-12,1001.6298755574525
2007-07-13,1013.6370639273938
2007-07-16,997.9956019989243
2007-07-17,998.982966291875
2007-07-18,995.4252348036819
2007-07-19,1010.1304438635148
2007-07-20,999.485681599679
2007-07-23,988.6628381705079
2007-07-24,973.0136001756117
2007-07-25,961.9815998565297
2007-07-26,941.2993731860477
2007-07-27,922.4212749870824
2007-07-30,919.9378852198911
2007-07-31,923.9998079327617
2007-08-01,900.2077994541894
2007-08-02,916.1091201034864
2007-08-03,914.0865305488126
2007-08-06,909.8461810120871
2007-08-07,910.495260119933
2007-08-08,913.9761633609107
2007-08-09,899.0176032702893
2007-08-10,874.3034603676343
2007-08-13,898.5675419474969
2007-08-14,886.1502228035608
2007-08-15,881.4574964439546
2007-08-16,804.3707146784578
2007-08-17,825.5111997556296
2007-08-20,818.6971668504845
2007-08-21,804.8817035069645
2007-08-22,834.5644757916642
2007-08-23,843.3997811129391
2007-08-24,864.7058470920585
2007-08-27,879.4610469401022
2007-08-28,870.8873776284415
