Date,EM ESG SELECTION P-SERIES
2018-05-31,1000.0
2018-06-01,1010.2632124009838
2018-06-04,1026.1781968307102
2018-06-05,1023.9130968178741
2018-06-06,1030.7184746394098
2018-06-07,1031.276112749249
2018-06-08,1016.9211257961198
2018-06-11,1019.8877098730616
2018-06-12,1019.8395089886006
2018-06-13,1018.1336874362364
2018-06-14,1005.8232748795028
2018-06-15,997.9868074142971
2018-06-18,990.1628695455736
2018-06-19,969.7869792336389
2018-06-20,978.8237008751152
2018-06-21,968.0512752617246
2018-06-22,976.5682441558516
2018-06-25,963.0045320731939
2018-06-26,958.4778134956787
2018-06-27,944.4060782607943
2018-06-28,939.4762941405713
2018-06-29,964.9729712719458
2018-07-02,955.4242157411345
2018-07-03,955.5380965717295
2018-07-04,955.3709236879931
2018-07-05,954.1378491324995
2018-07-06,958.7909486149914
2018-07-09,975.8372145972367
2018-07-10,974.0183920310699
2018-07-11,965.2106749682482
2018-07-12,969.4106367099605
2018-07-13,975.3525961511305
2018-07-16,969.6257195150862
2018-07-17,971.0983163506206
2018-07-18,970.9970897611321
2018-07-19,964.3045236368318
2018-07-20,974.5530382308805
2018-07-23,971.2778942845052
2018-07-24,980.387462725071
2018-07-25,984.6337062083751
2018-07-26,985.3797819243597
2018-07-27,990.6356873802023
2018-07-30,987.6238680776485
2018-07-31,981.6231139427028
2018-08-01,984.6417781871131
2018-08-02,965.3274233526031
2018-08-03,974.5113226365997
2018-08-06,972.361880015064
2018-08-07,978.6296829419232
2018-08-08,982.6356360991338
2018-08-09,982.8291298403735
2018-08-10,967.1394258801882
2018-08-13,948.8038517584805
2018-08-14,947.3812166071652
2018-08-15,927.0931906407926
2018-08-16,923.4346140220811
2018-08-17,925.5242687474806
2018-08-20,936.2255901047981
2018-08-21,946.0483312316803
2018-08-22,953.0111430737979
2018-08-23,955.8511083748263
2018-08-24,956.0995625827624
2018-08-27,972.322185161175
2018-08-28,977.4169124877333
2018-08-29,977.2061042166553
2018-08-30,963.980659414588
2018-08-31,956.4483018754026
2018-09-03,946.622649611322
2018-09-04,940.30056581426
2018-09-05,924.6411676538352
2018-09-06,921.3624003196574
2018-09-07,927.1702493470248
2018-09-10,918.1780582997253
2018-09-11,908.9000118536926
2018-09-12,907.1775011023179
2018-09-13,918.5384465741624
2018-09-14,930.3206558778384
2018-09-17,920.0269619994486
2018-09-18,920.3827615526423
2018-09-19,928.9751023806575
2018-09-20,934.1999799962787
2018-09-21,949.8488983905858
