Date,KOKUSAI INDEX (WORLD ex JP) SMALL GROWTH
1994-05-31,242.60173176634854
1994-06-30,234.95224824394722
1994-07-29,240.76545341018627
1994-08-31,253.04540334846251
1994-09-30,252.57779773986243
1994-10-31,256.59333703807624
1994-11-30,244.18949004136215
1994-12-30,247.74637394425235
1995-01-31,243.44811003793683
1995-02-28,251.62690653178092
1995-03-31,259.6977151058726
1995-04-28,262.93313552131497
1995-05-31,267.1160240851022
1995-06-30,279.29066809482333
1995-07-31,296.45000305741445
1995-08-31,295.2361066488291
1995-09-29,301.86644499049874
1995-10-31,291.5766561409663
1995-11-30,295.6410625494432
1995-12-29,301.93029499285467
1996-01-31,301.4699266984889
1996-02-29,313.40783221590743
1996-03-29,321.53241990796727
1996-04-30,339.8671426938608
1996-05-31,351.88082399434177
1996-06-28,340.56971424081564
1996-07-31,313.82246533325394
1996-08-30,329.372182188714
1996-09-30,339.3840113279974
1996-10-31,336.08584251461923
1996-11-29,344.89648102700505
1996-12-31,350.5360306319047
1997-01-01,350.5778776943331
1997-01-02,347.50888241434666
1997-01-03,349.7784445921995
1997-01-06,350.7856582622777
1997-01-07,353.7771693993498
1997-01-08,354.36383312540175
1997-01-09,356.00075290941066
1997-01-10,355.88582179315614
1997-01-13,355.6762843055539
1997-01-14,356.91267474993634
1997-01-15,357.38538765800376
1997-01-16,357.9901709802725
1997-01-17,357.9214466616583
1997-01-20,358.9737146370435
1997-01-21,359.75566941034646
1997-01-22,359.75622149082506
1997-01-23,358.8396946406691
1997-01-24,357.0245431627595
1997-01-27,353.9618735837468
1997-01-28,353.4768285737694
1997-01-29,353.6080023769377
1997-01-30,355.3484322326764
1997-01-31,356.3248796079196
1997-02-03,356.1055257909183
1997-02-04,355.7662811374213
1997-02-05,354.2333261464424
1997-02-06,354.1874892938705
1997-02-07,353.8715346472059
1997-02-10,352.40157888239884
1997-02-11,350.55383511021563
1997-02-12,352.47940134990307
1997-02-13,353.92650124404804
1997-02-14,354.4129121247429
1997-02-17,354.0115670437847
1997-02-18,353.5957585076529
1997-02-19,353.01281162918104
1997-02-20,351.0011691010571
1997-02-21,350.10477496045297
1997-02-24,351.22260966962625
1997-02-25,351.51141088288193
1997-02-26,348.6614978177752
1997-02-27,345.79612370491344
1997-02-28,344.762846751603
1997-03-03,343.74475912172664
1997-03-04,344.8810806859778
1997-03-05,346.7564636767134
1997-03-06,346.72944758242414
1997-03-07,347.83009458165225
1997-03-10,349.19266746740976
1997-03-11,349.21763901315717
1997-03-12,346.4039834580684
1997-03-13,343.23278468603803
