Date,EUROPE ex SWITZERLAND SMALL GROWTH
2007-05-31,1000.0
2007-06-01,1003.3576907441153
2007-06-04,1003.7546688481923
2007-06-05,1004.5104450915895
2007-06-06,982.7107965438645
2007-06-07,963.9063831798541
2007-06-08,955.9527693966425
2007-06-11,964.283805177065
2007-06-12,956.774942594997
2007-06-13,957.3580771077786
2007-06-14,970.995604838271
2007-06-15,983.8362165010064
2007-06-18,985.8289099389049
2007-06-19,983.5423772850046
2007-06-20,989.1155193565396
2007-06-21,976.9473344973158
2007-06-22,978.124265615728
2007-06-25,974.9044181120031
2007-06-26,971.3701524264627
2007-06-27,965.6715267864175
2007-06-28,979.9413028128198
2007-06-29,988.2019467631561
2007-07-02,1000.1400843945926
2007-07-03,1009.3308617534689
2007-07-04,1016.3365591260704
2007-07-05,1011.4073975570825
2007-07-06,1019.1311756485024
2007-07-09,1021.008367872328
2007-07-10,1019.676640594991
2007-07-11,1019.3019501191169
2007-07-12,1030.5199512488364
2007-07-13,1034.7329543482924
2007-07-16,1033.0352509504366
2007-07-17,1029.2312661972364
2007-07-18,1026.062808666289
2007-07-19,1035.710876188243
2007-07-20,1030.7700889149514
2007-07-23,1030.8453295817387
2007-07-24,1017.6074569757882
2007-07-25,996.0417604522434
2007-07-26,969.9764877086615
2007-07-27,953.3923084604986
2007-07-30,960.3271133845117
2007-07-31,981.6436411285725
2007-08-01,966.0140359815534
2007-08-02,971.5053865160168
2007-08-03,968.8224567667519
2007-08-06,950.1420506363318
2007-08-07,956.793754314187
2007-08-08,980.9138158044974
2007-08-09,958.835132259274
2007-08-10,931.3623224937186
2007-08-13,939.3936706551444
2007-08-14,929.0350849789583
2007-08-15,912.4366713349319
2007-08-16,867.0829622434763
2007-08-17,882.4640951975781
2007-08-20,887.9657522579382
2007-08-21,884.9356012214976
2007-08-22,908.6230531852366
2007-08-23,917.9289484680611
2007-08-24,924.8354834459935
2007-08-27,928.0809217727777
2007-08-28,914.0043105369913
2007-08-29,918.793252380454
2007-08-30,929.3042835288733
2007-08-31,944.250430396932
2007-09-03,949.1483743993634
2007-09-04,955.7593643866068
2007-09-05,945.666494375524
2007-09-06,949.9135709641824
2007-09-07,938.6624688752361
2007-09-10,927.1097956280894
2007-09-11,946.5592792200015
2007-09-12,949.4732293986035
2007-09-13,945.9408316148871
2007-09-14,929.9571991648639
2007-09-17,911.9304981430096
2007-09-18,918.5177605206433
2007-09-19,946.3586035403732
2007-09-20,948.82949085688
2007-09-21,958.162772362578
2007-09-24,959.7006383687575
2007-09-25,946.519470282554
2007-09-26,951.7350350803516
2007-09-27,960.3282166698715
2007-09-28,967.3435974090979
2007-10-01,975.3104319009701
2007-10-02,979.3633258659972
2007-10-03,983.51721878235
2007-10-04,984.9798668620733
2007-10-05,993.6732254958847
2007-10-08,989.7217913196318
2007-10-09,994.3268156445037
2007-10-10,1004.2645718745099
2007-10-11,1017.7805830476707
2007-10-12,1012.8733436706108
2007-10-15,1013.629005163461
2007-10-16,1000.499280461202
2007-10-17,1015.476331177386
2007-10-18,1011.529805115644
2007-10-19,1002.7026276391343
2007-10-22,975.3923058444063
2007-10-23,998.9254745779726
2007-10-24,992.9271638639995
2007-10-25,1009.3676712162722
2007-10-26,1013.5492177649448
