Date,EUROPE ex UK SMALL GROWTH
1994-05-31,300.7143865413259
1994-06-30,296.86025749813695
1994-07-29,303.92812833833216
1994-08-31,308.6046868192518
1994-09-30,306.2234594449253
1994-10-31,309.8348526259955
1994-11-30,296.16393275873634
1994-12-30,300.52235532695846
1995-01-31,298.1415232748066
1995-02-28,303.7244487737279
1995-03-31,309.7622860930842
1995-04-28,312.05999850297155
1995-05-31,316.29724091225944
1995-06-30,324.5815861453426
1995-07-31,333.5049264506239
1995-08-31,318.8719340489726
1995-09-29,325.800961772234
1995-10-31,317.62149295749083
1995-11-30,307.4290972131428
1995-12-29,314.3110920996698
1996-01-31,313.85205796174694
1996-02-29,323.7599310797902
1996-03-29,329.8581094945041
1996-04-30,329.2843312268418
1996-05-31,334.8132195192288
1996-06-28,339.1762817108392
1996-07-31,336.08293481601225
1996-08-30,338.57144733446734
1996-09-30,334.6367154658904
1996-10-31,340.4976188898545
1996-11-29,349.44917114356946
1996-12-31,356.4386515029048
1997-01-01,356.4386515029048
1997-01-02,356.2247707428106
1997-01-03,355.2293833760154
1997-01-06,355.4276649053756
1997-01-07,357.89886240989097
1997-01-08,359.3789808619447
1997-01-09,360.39896364130215
1997-01-10,359.33884707566233
1997-01-13,361.3773890444624
1997-01-14,362.29465326757656
1997-01-15,363.8921985871593
1997-01-16,365.3616470491718
1997-01-17,362.7435980321563
1997-01-20,362.05035330370055
1997-01-21,360.6484242615357
1997-01-22,359.4407867228331
1997-01-23,359.64615781436544
1997-01-24,362.14224061136605
1997-01-27,359.3309883272609
1997-01-28,357.4629376723958
1997-01-29,357.7330994329682
1997-01-30,360.4309837371347
1997-01-31,362.93673958069724
1997-02-03,363.0186016449101
1997-02-04,364.16400775602847
1997-02-05,364.469351883724
1997-02-06,365.1978311573203
1997-02-07,362.71634645503576
1997-02-10,366.65824898343965
1997-02-11,363.82746779268945
1997-02-12,362.78695215781005
1997-02-13,362.497066628887
1997-02-14,363.3018737788835
1997-02-17,361.4355198853716
1997-02-18,362.95983202754036
1997-02-19,361.35425026873315
1997-02-20,361.34284383846074
1997-02-21,363.10645761335707
1997-02-24,365.73264785300455
1997-02-25,366.0678197145348
1997-02-26,363.5273409229533
1997-02-27,362.6105823729802
1997-02-28,361.21699689844496
1997-03-03,358.97614742250994
1997-03-04,358.91092410060253
1997-03-05,360.3699610959992
1997-03-06,361.3085283032242
1997-03-07,361.7769916430442
1997-03-10,366.36548344710195
1997-03-11,366.8636456928132
1997-03-12,366.0372665012224
1997-03-13,364.89536925620064
1997-03-14,363.67681594303406
1997-03-17,365.0424962994757
1997-03-18,364.5025805133708
1997-03-19,363.3149997366881
1997-03-20,359.34602001975225
1997-03-21,362.0096877082098
1997-03-24,360.7198690347221
1997-03-25,361.8499368771402
1997-03-26,362.92133724489287
1997-03-27,367.27141306858886
1997-03-28,367.78718942606724
1997-03-31,369.5472847052964
1997-04-01,362.2195996809549
1997-04-02,361.1538309073066
1997-04-03,359.4094228286558
1997-04-04,360.3450206652218
1997-04-07,356.80831431855626
1997-04-08,357.57478199794076
1997-04-09,357.6362428602845
1997-04-10,357.39837562433837
1997-04-11,356.90163300200913
1997-04-14,355.10934365733686
1997-04-15,354.9589397761985
1997-04-16,355.9447045596492
1997-04-17,356.7502257660878
1997-04-18,357.80837784497345
1997-04-21,359.621110739522
1997-04-22,357.6442769732606
1997-04-23,358.71524203033164
1997-04-24,358.2004895814024
