Date,EUROPE & MIDDLE EAST SMALL GROWTH
2010-05-26,1000.0
2010-05-27,1034.431426805513
2010-05-28,1035.6764421992732
2010-05-31,1037.5274689022851
2010-06-01,1039.0420679415263
2010-06-02,1033.0751902346858
2010-06-03,1052.4730917034697
2010-06-04,1023.6035690824706
2010-06-07,1002.8383359637544
2010-06-08,988.8313167044753
2010-06-09,1019.3406056898712
2010-06-10,1040.3906438177569
2010-06-11,1041.6720874573055
2010-06-14,1075.3059813228354
2010-06-15,1084.561150789626
2010-06-16,1081.196592847169
2010-06-17,1081.2942648113572
2010-06-18,1088.313456776814
2010-06-21,1099.5766892971028
2010-06-22,1089.3540709774913
2010-06-23,1079.2855971764518
2010-06-24,1065.7315140504336
2010-06-25,1057.6814222036608
2010-06-28,1071.6144306883327
2010-06-29,1027.4078771262086
2010-06-30,1028.887050485085
2010-07-01,1017.6386843666897
2010-07-02,1037.8739662128999
2010-07-05,1035.0804613798384
2010-07-06,1071.193583345199
2010-07-07,1075.478360215626
2010-07-08,1091.7588131823666
2010-07-09,1091.4758875780226
2010-07-12,1090.820821915468
2010-07-13,1116.0410993151597
2010-07-14,1120.188212088304
2010-07-15,1124.3369994078423
2010-07-16,1114.5552945411878
2010-07-19,1103.1310345025508
2010-07-20,1093.159270502268
2010-07-21,1109.6422736640368
2010-07-22,1132.854963237878
2010-07-23,1139.90367858928
2010-07-26,1158.6047947196253
2010-07-27,1161.456345636046
2010-07-28,1159.5348349776148
2010-07-29,1165.6631709710377
2010-07-30,1155.2056442040894
2010-08-02,1196.5740195011651
2010-08-03,1200.116965606403
2010-08-04,1193.3877715820013
2010-08-05,1195.3845835288682
2010-08-06,1200.2985885669882
2010-08-09,1210.6004750636735
2010-08-10,1182.7793478541485
2010-08-11,1141.3972996494385
2010-08-12,1129.01044860698
2010-08-13,1126.6222812382787
2010-08-16,1136.3597214829567
2010-08-17,1153.389334865912
2010-08-18,1151.5723626756394
2010-08-19,1143.5014348857355
2010-08-20,1118.5377259703268
2010-08-23,1121.1961383552239
2010-08-24,1100.128378013674
2010-08-25,1085.6640068892243
2010-08-26,1105.4407432629455
2010-08-27,1109.2741133614184
2010-08-30,1110.3749148473132
2010-08-31,1113.3380754589216
2010-09-01,1150.6781260171106
2010-09-02,1155.3620964489016
2010-09-03,1166.4499348131878
2010-09-06,1171.9232340693893
2010-09-07,1152.7443624378973
2010-09-08,1167.0183963148954
2010-09-09,1177.8516665873892
2010-09-10,1179.1276972585508
2010-09-13,1201.425607755663
2010-09-14,1210.4370098868737
2010-09-15,1214.9726700193287
2010-09-16,1212.637570009484
2010-09-17,1213.518865664478
2010-09-20,1226.7951345906886
2010-09-21,1233.6091466436094
2010-09-22,1242.971168140888
2010-09-23,1237.3882837478577
2010-09-24,1260.7630868483104
2010-09-27,1265.0186801244308
2010-09-28,1268.8395394885333
2010-09-29,1273.4972983969596
2010-09-30,1273.2511570371737
2010-10-01,1283.0362586534661
2010-10-04,1274.98318470784
2010-10-05,1298.9218880792794
2010-10-06,1312.3687738288643
2010-10-07,1312.827825638169
2010-10-08,1313.4326102921239
2010-10-11,1321.622746863998
2010-10-12,1313.8286679648136
2010-10-13,1344.8166114978806
2010-10-14,1359.0925160558584
2010-10-15,1350.9501804613697
2010-10-18,1347.9058842776094
2010-10-19,1323.736017894387
2010-10-20,1341.4340843305142
2010-10-21,1355.5487530302873
2010-10-22,1348.3497370392897
2010-10-25,1364.0166322458203
2010-10-26,1354.1368987706105
2010-10-27,1334.3411339922611
2010-10-28,1346.2888754979833
2010-10-29,1351.6711813488307
2010-11-01,1357.9000260579403
2010-11-02,1371.9409608271278
2010-11-03,1365.963871817669
2010-11-04,1403.172698204838
2010-11-05,1395.509068088593
2010-11-08,1383.094487665411
2010-11-09,1396.298320272629
2010-11-10,1365.766716882928
2010-11-11,1357.0147961210112
2010-11-12,1351.9927384421862
2010-11-15,1355.356249431556
2010-11-16,1319.540771738669
