Date,EASEA INDEX (EAFE ex JAPAN) SMALL GROWTH
1994-05-31,280.8176531934578
1994-06-30,275.6022876536643
1994-07-29,283.2455331869538
1994-08-31,289.151596403248
1994-09-30,287.08830223467135
1994-10-31,291.4189379945359
1994-11-30,276.59772378716946
1994-12-30,278.7663399002631
1995-01-31,273.53429687408396
1995-02-28,276.9181651018258
1995-03-31,284.5204162500206
1995-04-28,286.7380009435926
1995-05-31,292.69516155465647
1995-06-30,297.67206427673744
1995-07-31,309.27179904695436
1995-08-31,301.36853818549815
1995-09-29,310.1461690284404
1995-10-31,304.2539287640751
1995-11-30,295.8942577078729
1995-12-29,303.48116604029394
1996-01-31,305.8220852755092
1996-02-29,316.40462915227135
1996-03-29,322.4120045648963
1996-04-30,326.62048242782816
1996-05-31,333.9774604029265
1996-06-28,334.41178325939603
1996-07-31,327.4750799803859
1996-08-30,334.8795053428356
1996-09-30,333.85962822093705
1996-10-31,345.92913366739145
1996-11-29,357.22499491713944
1996-12-31,365.2350365676985
1997-01-01,365.3429523041314
1997-01-02,363.5971470340288
1997-01-03,363.81872494780197
1997-01-06,364.6380574527523
1997-01-07,367.4103230753141
1997-01-08,368.66183640996735
1997-01-09,369.6164837273454
1997-01-10,368.27381178732605
1997-01-13,369.38518485668976
1997-01-14,370.4222667357741
1997-01-15,372.5089248685815
1997-01-16,373.70714796200286
1997-01-17,372.23731828764113
1997-01-20,371.75675757588925
1997-01-21,370.37747896602775
1997-01-22,369.18063332787676
1997-01-23,367.6810598025662
1997-01-24,368.9143762496345
1997-01-27,366.7900207591472
1997-01-28,364.5017579931759
1997-01-29,365.2125747576609
1997-01-30,367.0457369574669
1997-01-31,368.12368213971655
1997-02-03,368.60964629790146
1997-02-04,370.10243252049696
1997-02-05,371.6754701176802
1997-02-06,372.05001836684096
1997-02-07,370.2278555339788
1997-02-10,373.5488305354593
1997-02-11,372.43235140773805
1997-02-12,371.22807047942973
1997-02-13,370.33906980099744
1997-02-14,370.85950189306965
1997-02-17,369.8188315544743
1997-02-18,369.01700881147525
1997-02-19,368.99158401994805
1997-02-20,369.71796205116465
1997-02-21,371.41285437492144
1997-02-24,374.1043781430254
1997-02-25,374.64524552233047
1997-02-26,372.81012803964654
1997-02-27,371.59342994639576
1997-02-28,371.28786569051596
1997-03-03,369.223980615822
1997-03-04,368.862388382529
1997-03-05,369.415022679094
1997-03-06,370.3865688211844
1997-03-07,370.30557778607783
1997-03-10,373.217762609994
1997-03-11,373.79409012608096
1997-03-12,372.4405028364205
1997-03-13,371.8569151487939
1997-03-14,370.77940373924696
1997-03-17,370.7899011098883
1997-03-18,369.6870194964912
1997-03-19,368.96502746581365
1997-03-20,364.10845947632555
1997-03-21,366.1857260812087
1997-03-24,366.37477035692297
1997-03-25,367.7589642038174
1997-03-26,368.9489651980589
1997-03-27,371.6269386071905
1997-03-28,372.21799011297907
1997-03-31,373.5928008717332
1997-04-01,367.406854365271
1997-04-02,366.92863146367273
1997-04-03,365.437828414619
1997-04-04,365.59214771524483
1997-04-07,363.10389892289754
1997-04-08,363.4680272494565
1997-04-09,363.88444966893377
1997-04-10,363.89622056012786
1997-04-11,363.8203570878848
1997-04-14,361.97976783496085
1997-04-15,362.45426022282504
1997-04-16,363.1936767989533
1997-04-17,364.3958513208757
1997-04-18,365.1797492477437
1997-04-21,366.84812822018915
1997-04-22,365.6882652998361
1997-04-23,365.36917414042574
1997-04-24,364.77460164437963
1997-04-25,362.5065708922352
1997-04-28,361.3060962364817
1997-04-29,362.0101056675311
1997-04-30,361.3470794909203
1997-05-01,363.08937564267904
1997-05-02,362.3793705804534
1997-05-05,363.77994284247495
1997-05-06,366.94840238360234
1997-05-07,367.9595785525485
1997-05-08,368.1195906776527
1997-05-09,370.8425106554538
1997-05-12,371.7064949268695
1997-05-13,373.7848816963912
1997-05-14,374.41077063791045
1997-05-15,374.66932910057943
1997-05-16,375.81822116410575
1997-05-19,374.0851147802587
1997-05-20,375.5315697481345
1997-05-21,376.56369274674165
1997-05-22,375.81983291938144
1997-05-23,376.4102886087047
1997-05-26,377.6755930857867
1997-05-27,375.84320783873807
1997-05-28,376.37158894367406
1997-05-29,376.0287615601618
1997-05-30,373.64431110138526
1997-06-02,371.3955061592235
1997-06-03,372.4375409148313
1997-06-04,372.1327216653121
1997-06-05,372.7925162953072
1997-06-06,373.097231129874
1997-06-09,376.19526036589514
1997-06-10,375.4871337705382
1997-06-11,375.6602556604614
1997-06-12,374.6100677541858
1997-06-13,374.12579493964114
1997-06-16,375.09332640411486
1997-06-17,373.85446509031084
1997-06-18,373.527709897221
1997-06-19,374.5317519377618
1997-06-20,374.9358798662375
1997-06-23,376.260649037614
1997-06-24,375.3988701206917
1997-06-25,377.77720949673375
1997-06-26,377.29390736965286
1997-06-27,376.28160239983134
1997-06-30,375.9666068119478
1997-07-01,376.9300647614186
1997-07-02,376.2128737172848
1997-07-03,380.0387710630585
1997-07-04,380.0722117105038
1997-07-07,381.7604727263945
1997-07-08,380.3162688610184
1997-07-09,380.396057664629
1997-07-10,380.460434839326
1997-07-11,380.7329163314337
1997-07-14,379.55752696968364
