Date,WORLD ex ISRAEL SMALL GROWTH
2010-05-26,1000.0
2010-05-27,1035.5780015323578
2010-05-28,1030.8447904273633
2010-05-31,1032.7880498112993
2010-06-01,1014.0542791719486
2010-06-02,1028.635284195927
2010-06-03,1043.8967987553144
2010-06-04,1009.7846511479265
2010-06-07,984.4565696541939
2010-06-08,983.2131532056853
2010-06-09,991.0521814938095
2010-06-10,1017.938213328767
2010-06-11,1028.3963752536006
2010-06-14,1041.333671920287
2010-06-15,1059.4833097126009
2010-06-16,1058.9503672433973
2010-06-17,1057.7548365522164
2010-06-18,1061.7013952431744
2010-06-21,1061.7859127231527
2010-06-22,1045.1726388379004
2010-06-23,1038.16609098899
2010-06-24,1025.3682505508284
2010-06-25,1031.4501697368983
2010-06-28,1031.0360668529715
2010-06-29,994.0343595356666
2010-06-30,986.9938802107101
2010-07-01,979.7682246294736
2010-07-02,979.3483654618323
2010-07-05,978.8006437105802
2010-07-06,985.1042827103118
2010-07-07,1004.46729963842
2010-07-08,1016.4472179716399
2010-07-09,1025.7062836392581
2010-07-12,1019.7082612294491
2010-07-13,1040.6486257059871
2010-07-14,1043.6828439175604
2010-07-15,1041.168839192847
2010-07-16,1016.4636720024777
2010-07-19,1014.2311650923741
2010-07-20,1021.9217452218056
2010-07-21,1017.5391848723949
2010-07-22,1041.318558490909
2010-07-23,1058.20282856724
2010-07-26,1076.9228090778063
2010-07-27,1070.9027493572826
2010-07-28,1062.9181816254566
2010-07-29,1063.1996772958828
2010-07-30,1061.988055629524
2010-08-02,1082.7971811994025
2010-08-03,1081.7640674531683
2010-08-04,1085.5167878699883
2010-08-05,1083.5838906079532
2010-08-06,1083.5752073243632
2010-08-09,1091.9210644257557
2010-08-10,1072.8130517957366
2010-08-11,1038.0127513886641
2010-08-12,1029.99843251994
2010-08-13,1026.4454808696512
2010-08-16,1032.1780299671323
2010-08-17,1047.721006805231
2010-08-18,1050.27521585603
2010-08-19,1037.6916945449875
2010-08-20,1027.2750692600614
2010-08-23,1021.6167343653381
2010-08-24,1007.0181085734295
2010-08-25,1007.6789030320472
2010-08-26,1009.7379985075397
2010-08-27,1026.878905327424
2010-08-30,1018.1580588014474
2010-08-31,1014.7687270807838
2010-09-01,1045.0474951900155
2010-09-02,1057.721881339697
2010-09-03,1072.017732807017
2010-09-06,1077.0401051926956
2010-09-07,1062.751822379934
2010-09-08,1068.7146609705678
2010-09-09,1073.303483997244
2010-09-10,1076.4092679680753
2010-09-13,1097.1146560815453
2010-09-14,1099.8122393965098
2010-09-15,1101.244903190014
2010-09-16,1098.1290546311502
2010-09-17,1102.5998325211665
2010-09-20,1120.4061219614207
2010-09-21,1118.2684120052002
2010-09-22,1114.9668553896704
2010-09-23,1108.1346649643433
2010-09-24,1130.4391500775073
2010-09-27,1132.3539916042369
2010-09-28,1140.0803495396256
2010-09-29,1145.1224515858119
2010-09-30,1141.7109505673388
