Date,WORLD ex EMU SMALL GROWTH
1994-05-31,339.97276891378306
1994-06-30,345.1442195748089
1994-07-29,344.6680883063663
1994-08-31,354.36051403565926
1994-09-30,348.2076535493435
1994-10-31,354.8592652302254
1994-11-30,332.80600148769605
1994-12-30,339.11226963433194
1995-01-31,327.85075091580853
1995-02-28,327.5099249528231
1995-03-31,341.169321629476
1995-04-28,346.29772591569474
1995-05-31,339.9731860963067
1995-06-30,345.95371246645675
1995-07-31,370.91355223611225
1995-08-31,371.06483936343096
1995-09-29,375.5241006727936
1995-10-31,361.8937031548755
1995-11-30,373.778890573377
1995-12-29,385.91642592606036
1996-01-31,385.7930421185081
1996-02-29,394.0568758192989
1996-03-29,405.12749633938586
1996-04-30,437.4165878278041
1996-05-31,442.755751300045
1996-06-28,429.40715268413
1996-07-31,392.44453223484936
1996-08-30,404.373949185079
1996-09-30,414.2131175752243
1996-10-31,402.3963799396295
1996-11-29,406.234160564713
1996-12-31,399.45757931144715
1997-01-01,399.5011796872841
1997-01-02,396.5542052110557
1997-01-03,398.69904992772524
1997-01-06,400.3642841069305
1997-01-07,402.5266855660138
1997-01-08,401.29619388046547
1997-01-09,400.34831935611464
1997-01-10,398.2823638913418
1997-01-13,399.1267855419806
1997-01-14,400.38119596740154
1997-01-15,400.41650342421315
1997-01-16,402.29923814225117
1997-01-17,402.36250861478214
1997-01-20,401.67056318214395
1997-01-21,401.9485307391164
1997-01-22,402.4856502637551
1997-01-23,400.7307871112075
1997-01-24,398.1094429769237
1997-01-27,394.1418540241645
1997-01-28,392.9879729298019
1997-01-29,393.02999770142407
1997-01-30,393.89401554036186
1997-01-31,395.8079789613204
1997-02-03,395.43247774911356
1997-02-04,395.30795053331076
1997-02-05,391.6190232467837
1997-02-06,390.6005144252959
1997-02-07,389.03999228345157
1997-02-10,388.2006714373937
1997-02-11,386.5448130339157
1997-02-12,388.0684859802576
1997-02-13,389.4328165015089
1997-02-14,390.0816572635379
1997-02-17,390.3423100345583
1997-02-18,389.5554087896651
1997-02-19,388.9192072121367
1997-02-20,388.4395407646988
1997-02-21,387.4383906965057
1997-02-24,388.90223187737894
1997-02-25,389.0913079983508
1997-02-26,386.36631570760943
1997-02-27,384.0267895438498
1997-02-28,382.49281322082254
1997-03-03,380.9553551617872
1997-03-04,381.4514544431893
1997-03-05,382.8012398863568
1997-03-06,381.85070893613016
1997-03-07,382.4838091326157
1997-03-10,383.0092552591987
1997-03-11,382.7757849992296
1997-03-12,379.10301183121254
1997-03-13,375.34669144660705
1997-03-14,374.6186828109039
1997-03-17,371.08505997980706
1997-03-18,369.8090934819919
1997-03-19,366.6255711712345
1997-03-20,365.67762778622665
1997-03-21,367.1772044441651
1997-03-24,364.37821053727885
1997-03-25,365.09819159213384
1997-03-26,367.17933287507924
1997-03-27,365.21105455886885
1997-03-28,365.17772695058534
1997-03-31,360.8268356560494
1997-04-01,357.36018639948975
1997-04-02,355.38035539716964
1997-04-03,354.3125498910929
1997-04-04,356.7511219494808
1997-04-07,356.75233528230297
1997-04-08,356.2359994925324
1997-04-09,355.3333397947216
1997-04-10,352.9532161638105
1997-04-11,349.15358501046114
1997-04-14,348.0713632734246
1997-04-15,349.28245146431675
1997-04-16,349.4410748838256
1997-04-17,350.65500327438593
1997-04-18,353.12473869169645
1997-04-21,352.36183273813833
1997-04-22,352.0655368312269
1997-04-23,352.8236969956398
1997-04-24,352.65636731408836
1997-04-25,349.5817906759944
1997-04-28,348.17228213969565
1997-04-29,350.48164817834794
1997-04-30,353.4708543886415
1997-05-01,356.710554301539
1997-05-02,362.71972231753443
1997-05-05,370.0506150951906
1997-05-06,372.96785300493514
1997-05-07,372.58945580070025
1997-05-08,373.16785948681303
1997-05-09,375.5793780684618
1997-05-12,380.2361312070441
1997-05-13,380.4995525159936
1997-05-14,381.9736762251634
1997-05-15,384.9297364167588
1997-05-16,386.2153609363471
1997-05-19,386.2897141146431
1997-05-20,389.78064740252205
1997-05-21,390.5565623598158
1997-05-22,389.29043535180614
1997-05-23,392.8811706686706
1997-05-26,392.71323434637947
1997-05-27,393.51532467358385
1997-05-28,396.66998177036425
1997-05-29,397.1945137923473
1997-05-30,398.1177980192675
1997-06-02,399.7348808359151
1997-06-03,400.1075126920524
1997-06-04,399.6946384515595
1997-06-05,401.5452279805355
1997-06-06,403.1578039369597
1997-06-09,406.0480202494395
1997-06-10,405.2543337681897
1997-06-11,405.7670314248801
1997-06-12,404.3523171668698
1997-06-13,404.7749854341138
1997-06-16,406.62554753129774
1997-06-17,407.38889299110593
1997-06-18,407.03002631137036
1997-06-19,408.8800791295617
1997-06-20,408.2891322335389
1997-06-23,406.3471525966448
1997-06-24,407.75196028918185
1997-06-25,408.55615402965645
1997-06-26,408.25186664301543
1997-06-27,408.9137759504351
1997-06-30,412.9822006533625
1997-07-01,410.7651224231996
1997-07-02,411.5328145344319
1997-07-03,413.82027563942876
1997-07-04,413.0715399014049
1997-07-07,412.87455363358197
1997-07-08,413.8131703745892
1997-07-09,412.3550730435465
1997-07-10,413.6387271075313
1997-07-11,415.85821057262376
1997-07-14,416.97976840567895
1997-07-15,417.2539598675238
1997-07-16,420.15050190698327
