Date,PACIFIC ex JAPAN SMALL GROWTH
1997-05-30,327.8598935605046
1997-06-02,327.6197954929144
1997-06-03,328.1555736706833
1997-06-04,328.360932930864
1997-06-05,329.215413546769
1997-06-06,329.799614573809
1997-06-09,330.7471214294764
1997-06-10,330.33380317242205
1997-06-11,327.46996305643484
1997-06-12,322.13480473960516
1997-06-13,323.05536726917927
1997-06-16,323.5464285082811
1997-06-17,324.172717987764
1997-06-18,323.87102159336797
1997-06-19,325.225129338149
1997-06-20,328.95843752259907
1997-06-23,329.5697105607667
1997-06-24,328.1066865104885
1997-06-25,330.2549088550374
1997-06-26,329.45211269646876
1997-06-27,329.56075984654615
1997-06-30,331.305002932292
1997-07-01,331.95710386016026
1997-07-02,332.0401045337085
1997-07-03,331.6074840468729
1997-07-04,329.5729583086829
1997-07-07,328.88910776971073
1997-07-08,326.60315815000473
1997-07-09,324.9840133168781
1997-07-10,325.45428053471926
1997-07-11,327.3824793043137
1997-07-14,327.68510502958594
1997-07-15,326.1636497147122
1997-07-16,325.5178253651662
1997-07-17,327.4674775327783
1997-07-18,329.05976414262267
1997-07-21,328.54418925755635
1997-07-22,327.7782999599374
1997-07-23,330.189524489095
1997-07-24,331.79181715258676
1997-07-25,335.1197629218745
1997-07-28,336.1833258378112
1997-07-29,336.53995334033027
1997-07-30,336.61255285734006
1997-07-31,338.42186578281047
1997-08-01,339.29143944294236
1997-08-04,338.8080056318005
1997-08-05,339.86919453189887
1997-08-06,341.4792543972939
1997-08-07,340.49135095634847
1997-08-08,339.0390857364653
1997-08-11,337.16660312573146
1997-08-12,336.97531179419997
1997-08-13,335.11142095311266
1997-08-14,335.4025938744287
1997-08-15,335.6194664890777
1997-08-18,330.85054826429683
1997-08-19,327.69732697519265
1997-08-20,334.2370971075343
1997-08-21,335.99391866978607
1997-08-22,335.6032936731897
1997-08-25,336.50359052457185
1997-08-26,335.9954907227585
1997-08-27,333.9154774293025
1997-08-28,327.61225065925294
1997-08-29,319.65919772989827
1997-09-01,312.5441764985617
1997-09-02,305.91107929583575
1997-09-03,315.8779775316155
1997-09-04,314.1030524890133
1997-09-05,316.65457514729184
1997-09-08,321.3148968330132
1997-09-09,323.9061608743701
1997-09-10,323.5257531431804
1997-09-11,319.8273103388231
1997-09-12,319.98307334623877
1997-09-15,322.35522961553073
1997-09-16,320.40014803597546
1997-09-17,320.70114906608313
1997-09-18,318.41463472147757
1997-09-19,319.90969528142057
1997-09-22,315.9491779792291
