Date,WORLD ex AUSTRALIA SMALL GROWTH
1994-05-31,354.1313327376855
1994-06-30,357.9408304783237
1994-07-29,358.83306069955063
1994-08-31,368.490161738598
1994-09-30,362.47318521277015
1994-10-31,368.5610614864235
1994-11-30,346.5528450357594
1994-12-30,352.8741737861109
1995-01-31,342.00834496130227
1995-02-28,342.53568388750307
1995-03-31,355.8288886827551
1995-04-28,360.62457936257965
1995-05-31,355.5986217693157
1995-06-30,362.21661590456677
1995-07-31,385.7761477282851
1995-08-31,383.2446538526278
1995-09-29,387.93647296031065
1995-10-31,374.2961416467411
1995-11-30,383.0927913939879
1995-12-29,395.078467519776
1996-01-31,395.1298500276198
1996-02-29,404.1888779370896
1996-03-29,414.966312439383
1996-04-30,443.4415326769569
1996-05-31,449.4556860031198
1996-06-28,438.30687516469555
1996-07-31,404.75928212518886
1996-08-30,415.5848643718163
1996-09-30,423.76590415293606
1996-10-31,413.72258774683047
1996-11-29,418.13400215569874
1996-12-31,413.14966842030555
1997-01-01,413.18917872565504
1997-01-02,410.5578459538709
1997-01-03,412.3424270949268
1997-01-06,413.8198680122306
1997-01-07,416.1125458132678
1997-01-08,415.1379348388836
1997-01-09,414.4441937659829
1997-01-10,412.54672873220017
1997-01-13,413.5749207338309
1997-01-14,414.84556793488804
1997-01-15,415.1206231406822
1997-01-16,416.9355540315554
1997-01-17,416.63449389311734
1997-01-20,416.0279242065526
1997-01-21,416.07744964703676
1997-01-22,416.3299260232507
1997-01-23,414.8164134742389
1997-01-24,412.7647295725628
1997-01-27,408.7459090836435
1997-01-28,407.40074535061956
1997-01-29,407.4804489652604
1997-01-30,408.6038757849014
1997-01-31,410.6903749943964
1997-02-03,410.4099292726626
1997-02-04,410.47661429495366
1997-02-05,407.27247971583836
1997-02-06,406.42270349785366
1997-02-07,404.61793761811214
1997-02-10,404.44066697097554
1997-02-11,402.56115374662755
1997-02-12,403.8228511823857
1997-02-13,404.9587389251427
1997-02-14,405.66752958899946
1997-02-17,405.60366229407526
1997-02-18,405.1186370812851
1997-02-19,404.2886956113383
1997-02-20,403.924313165319
1997-02-21,403.2267368967381
1997-02-24,404.9957735213825
1997-02-25,405.27778868503896
1997-02-26,402.540927058843
1997-02-27,400.3220616475473
1997-02-28,398.78781956665915
1997-03-03,397.1478599067734
1997-03-04,397.54702657254785
1997-03-05,398.894538892735
1997-03-06,398.116214752976
1997-03-07,398.7820534255162
1997-03-10,399.8530437147772
1997-03-11,399.74642854480095
1997-03-12,396.3211207140753
1997-03-13,392.75317081509286
1997-03-14,392.0328936479481
1997-03-17,389.04479547477956
1997-03-18,387.8660484786395
1997-03-19,384.7425448348815
1997-03-20,383.34317569084703
